riz_id,tf_minutes,side,t0_pos,q,b,c,M,a,d,s,p0,u,k,ttc,r,cls,code,exit_bar,E,status,net_identified,net_favorable,net_adverse,q_utc
riz_1251a48af1d15d5ea15181b62ff67c94,50,north,6443764,6443769,30212.25,30229.75,30244.0,30244.25,17.5,14.5,0.453125,1.2844036697247707,5,293.0,0.8285714285714286,boundary_first,0,6443778,30229.75,taken_boundary_first,-18.5,-18.5,-18.5,2026-05-28 15:07:00+00:00
riz_19911e902d2c8773e6b0b72686b6da8d,150,north,6443764,6443769,30212.25,30229.75,30244.0,30244.25,17.5,14.5,0.453125,1.2844036697247707,5,293.0,0.8285714285714286,boundary_first,0,6443778,30229.75,skipped_overlap,,,,2026-05-28 15:07:00+00:00
riz_3dd348d07003912685e1b372dacb21b9,217,north,6443763,6443769,30200.75,30229.75,30244.0,30244.25,29.0,14.5,0.3333333333333333,1.8084632516703787,6,293.0,0.5,target_first,1,6443785,30229.75,skipped_overlap,,,,2026-05-28 15:07:00+00:00
riz_4142b74b68a432151805e730e4a98beb,58,north,6443764,6443769,30212.25,30229.75,30244.0,30244.25,17.5,14.5,0.453125,1.2844036697247707,5,293.0,0.8285714285714286,boundary_first,0,6443778,30229.75,skipped_overlap,,,,2026-05-28 15:07:00+00:00
riz_5db7483c7befdcd8bc10b614c4222e65,115,north,6443763,6443769,30188.75,30229.75,30244.0,30244.25,41.0,14.5,0.26126126126126126,2.5567928730512253,6,293.0,0.35365853658536583,target_first,1,6443785,30229.75,skipped_overlap,,,,2026-05-28 15:07:00+00:00
riz_6487d5b1ab2d6e9b90301f29be236b14,230,north,6443763,6443769,30188.75,30229.75,30244.0,30244.25,41.0,14.5,0.26126126126126126,2.5567928730512253,6,293.0,0.35365853658536583,target_first,1,6443785,30229.75,skipped_overlap,,,,2026-05-28 15:07:00+00:00
riz_7699fe79fcc4803403dbb7a388702334,23,north,6443763,6443769,30199.5,30229.75,30244.0,30244.25,30.25,14.5,0.3240223463687151,1.8864142538975501,6,293.0,0.4793388429752066,target_first,1,6443785,30229.75,skipped_overlap,,,,2026-05-28 15:07:00+00:00
riz_7e8be5a64767b59c969e7048c5580e6a,153,north,6443763,6443769,30201.0,30229.75,30244.0,30244.25,28.75,14.5,0.3352601156069364,1.7928730512249444,6,293.0,0.5043478260869565,target_first,1,6443785,30229.75,skipped_overlap,,,,2026-05-28 15:07:00+00:00
riz_7f87ad0c34566469399f3c58188eeae0,121,north,6443764,6443769,30212.25,30229.75,30244.0,30244.25,17.5,14.5,0.453125,1.2844036697247707,5,293.0,0.8285714285714286,boundary_first,0,6443778,30229.75,skipped_overlap,,,,2026-05-28 15:07:00+00:00
riz_8290f0d3a4db23443cb8a4282f43a676,3,north,6443763,6443769,30199.5,30229.75,30244.0,30244.25,30.25,14.5,0.3240223463687151,1.8864142538975501,6,293.0,0.4793388429752066,target_first,1,6443785,30229.75,skipped_overlap,,,,2026-05-28 15:07:00+00:00
riz_9b594d211e277dedb6bbfbc82525366c,216,north,6443763,6443769,30204.0,30229.75,30244.0,30244.25,25.75,14.5,0.36024844720496896,1.6057906458797329,6,293.0,0.5631067961165048,target_first,1,6443785,30229.75,skipped_overlap,,,,2026-05-28 15:07:00+00:00
riz_b990d232f363552a12a5b86f85d2bb4f,220,north,6443763,6443769,30197.25,30229.75,30244.0,30244.25,32.5,14.5,0.30851063829787234,2.0267260579064588,6,293.0,0.4461538461538462,target_first,1,6443785,30229.75,skipped_overlap,,,,2026-05-28 15:07:00+00:00
riz_bf26a4ff5db87ff330490f1dae681e31,39,north,6443764,6443769,30212.25,30229.75,30244.0,30244.25,17.5,14.5,0.453125,1.2844036697247707,5,293.0,0.8285714285714286,boundary_first,0,6443778,30229.75,skipped_overlap,,,,2026-05-28 15:07:00+00:00
riz_c272dc061ddf6340d29c5774c2c87ddb,154,north,6443763,6443769,30201.0,30229.75,30244.0,30244.25,28.75,14.5,0.3352601156069364,1.7928730512249444,6,293.0,0.5043478260869565,target_first,1,6443785,30229.75,skipped_overlap,,,,2026-05-28 15:07:00+00:00
