version,kind,date,riz_id,tf_minutes,t0_utc,zone_bottom,zone_top,target_E,gap_intervals,missing_minutes,max_gap_minutes,gap_in_forming_C3,gap_before_or_at_first_span,gap_after_first_span,nearest_observed_gap_edge_to_E_points
v1,prefix_selection,2021-01-27,riz_9b24b938b8485d915ad982d9bddd06b3,1,2021-01-27 11:43:00+00:00,13496.25,13496.5,13469.0,1,1,1,False,False,True,77.75
v1,prefix_selection,2021-01-29,riz_d87ffa6f63ada3199536050e96bf0b6f,1205,2021-01-29 17:46:00+00:00,12880.75,12881.0,12727.0,1,1,1,False,False,True,819.75
v1,prefix_selection,2021-02-02,riz_23a03e399191da01e7f904545958d4c7,38,2021-02-02 14:49:00+00:00,13414.0,13415.25,13599.75,1,1,1,False,True,False,48.5
v1,prefix_selection,2021-02-03,riz_6534d7459c807f03a6e4fa568cf377b1,6,2021-02-03 08:00:00+00:00,13573.25,13575.5,13583.5,1,1,1,False,False,True,32.25
v1,prefix_selection,2021-02-11,riz_e90cec7bfc3b7b6d6a59edfacafb85a7,1360,2021-02-11 08:52:00+00:00,13690.0,13690.5,13769.25,1,1,1,False,False,True,119.25
v1,prefix_selection,2021-02-12,riz_2248404e7f8e543e8f305385244fdfec,1319,2021-02-12 08:49:00+00:00,13671.5,13674.25,13612.5,1,1,1,False,True,False,34.5
v1,prefix_selection,2021-02-16,riz_bc72526f3711e98c8f6b952c900b54f8,4,2021-02-16 16:36:00+00:00,13789.75,13799.25,13900.5,1,1,1,False,True,False,54.5
v1,prefix_selection,2021-02-17,riz_076cd282a446cd06d2e944ae835a2ef4,4,2021-02-17 13:52:00+00:00,13689.5,13690.0,13664.25,1,1,1,False,False,True,180.25
v1,prefix_selection,2021-02-18,riz_6f2221c07a241f259bbc7df75b49ffed,328,2021-02-18 15:22:00+00:00,13497.0,13513.5,13345.25,2,2,1,False,False,True,301.75
v1,prefix_selection,2021-02-22,riz_aebf9a3f1d27eac75607058496c28f06,17,2021-02-22 20:30:00+00:00,13257.0,13267.25,13231.75,2,2,1,False,False,True,415.25
v1,prefix_selection,2021-02-23,riz_090a61425dde4b192915d8750abf4b6c,2,2021-02-23 09:04:00+00:00,13186.25,13188.0,13171.75,2,2,1,False,False,True,475.25
