spine_pos,relative_to_t0,close_utc,open,high,low,close
4555979,-35,2021-01-04 08:05:00+00:00,12936.25,12938.5,12933.25,12934.25
4555980,-34,2021-01-04 08:06:00+00:00,12934.0,12947.25,12934.0,12946.5
4555981,-33,2021-01-04 08:07:00+00:00,12946.25,12953.0,12940.75,12941.25
4555982,-32,2021-01-04 08:08:00+00:00,12940.75,12946.75,12940.75,12943.25
4555983,-31,2021-01-04 08:09:00+00:00,12943.5,12943.5,12936.75,12940.5
4555984,-30,2021-01-04 08:10:00+00:00,12940.75,12945.0,12937.75,12943.0
4555985,-29,2021-01-04 08:11:00+00:00,12943.25,12947.25,12942.75,12944.0
4555986,-28,2021-01-04 08:12:00+00:00,12944.0,12945.75,12944.0,12944.0
4555987,-27,2021-01-04 08:13:00+00:00,12944.5,12946.25,12943.5,12943.75
4555988,-26,2021-01-04 08:14:00+00:00,12944.5,12946.0,12943.5,12946.0
4555989,-25,2021-01-04 08:15:00+00:00,12945.75,12946.25,12943.75,12944.5
4555990,-24,2021-01-04 08:16:00+00:00,12945.0,12945.0,12943.5,12944.0
4555991,-23,2021-01-04 08:17:00+00:00,12944.0,12944.0,12941.75,12942.25
4555992,-22,2021-01-04 08:18:00+00:00,12943.0,12943.5,12939.25,12941.0
4555993,-21,2021-01-04 08:19:00+00:00,12941.25,12943.75,12940.0,12941.5
4555994,-20,2021-01-04 08:20:00+00:00,12941.25,12942.25,12939.75,12941.25
4555995,-19,2021-01-04 08:21:00+00:00,12941.25,12946.5,12941.25,12946.25
4555996,-18,2021-01-04 08:22:00+00:00,12945.75,12947.0,12943.25,12944.25
4555997,-17,2021-01-04 08:23:00+00:00,12944.5,12944.5,12940.5,12941.25
4555998,-16,2021-01-04 08:24:00+00:00,12941.25,12942.25,12940.25,12941.25
4555999,-15,2021-01-04 08:25:00+00:00,12942.0,12942.0,12939.0,12940.25
4556000,-14,2021-01-04 08:26:00+00:00,12939.75,12940.75,12938.5,12938.75
4556001,-13,2021-01-04 08:27:00+00:00,12938.75,12939.5,12937.5,12937.75
4556002,-12,2021-01-04 08:28:00+00:00,12937.75,12938.5,12937.0,12937.75
4556003,-11,2021-01-04 08:29:00+00:00,12937.5,12937.75,12936.0,12936.5
4556004,-10,2021-01-04 08:30:00+00:00,12936.75,12937.0,12929.75,12930.0
4556005,-9,2021-01-04 08:31:00+00:00,12930.5,12930.75,12924.5,12927.0
4556006,-8,2021-01-04 08:32:00+00:00,12927.5,12928.5,12927.0,12927.0
4556007,-7,2021-01-04 08:33:00+00:00,12927.5,12929.5,12927.25,12928.5
4556008,-6,2021-01-04 08:34:00+00:00,12928.0,12929.0,12925.5,12925.5
4556009,-5,2021-01-04 08:35:00+00:00,12926.0,12926.75,12924.25,12924.25
4556010,-4,2021-01-04 08:36:00+00:00,12924.5,12925.0,12922.5,12924.0
4556011,-3,2021-01-04 08:37:00+00:00,12924.0,12926.0,12924.0,12924.5
4556012,-2,2021-01-04 08:38:00+00:00,12925.25,12929.5,12924.75,12929.5
4556013,-1,2021-01-04 08:39:00+00:00,12929.0,12933.0,12929.0,12933.0
4556014,0,2021-01-04 08:40:00+00:00,12932.75,12937.0,12931.5,12935.25
