spine_pos,relative_to_t0,close_utc,open,high,low,close
4556177,-36,2021-01-04 11:23:00+00:00,12938.25,12938.75,12937.25,12937.75
4556178,-35,2021-01-04 11:24:00+00:00,12937.5,12940.25,12937.5,12938.25
4556179,-34,2021-01-04 11:25:00+00:00,12938.75,12940.0,12938.75,12939.25
4556180,-33,2021-01-04 11:26:00+00:00,12939.25,12940.0,12938.25,12938.75
4556181,-32,2021-01-04 11:27:00+00:00,12938.75,12939.25,12938.25,12938.5
4556182,-31,2021-01-04 11:28:00+00:00,12938.5,12940.25,12938.25,12940.0
4556183,-30,2021-01-04 11:29:00+00:00,12940.0,12941.25,12939.5,12939.75
4556184,-29,2021-01-04 11:30:00+00:00,12939.5,12941.0,12938.75,12940.25
4556185,-28,2021-01-04 11:31:00+00:00,12940.25,12943.0,12940.25,12940.75
4556186,-27,2021-01-04 11:32:00+00:00,12941.0,12942.5,12940.75,12942.25
4556187,-26,2021-01-04 11:33:00+00:00,12942.25,12942.5,12941.25,12941.75
4556188,-25,2021-01-04 11:34:00+00:00,12941.75,12942.0,12941.0,12942.0
4556189,-24,2021-01-04 11:35:00+00:00,12942.75,12943.5,12942.75,12943.25
4556190,-23,2021-01-04 11:36:00+00:00,12943.25,12944.25,12942.5,12944.25
4556191,-22,2021-01-04 11:37:00+00:00,12944.25,12945.25,12943.75,12944.25
4556192,-21,2021-01-04 11:38:00+00:00,12944.0,12944.25,12942.75,12943.0
4556193,-20,2021-01-04 11:39:00+00:00,12942.75,12944.75,12942.75,12944.0
4556194,-19,2021-01-04 11:40:00+00:00,12943.5,12944.0,12943.25,12943.75
4556195,-18,2021-01-04 11:41:00+00:00,12943.75,12944.5,12943.5,12944.0
4556196,-17,2021-01-04 11:42:00+00:00,12943.75,12945.5,12943.75,12945.5
4556197,-16,2021-01-04 11:43:00+00:00,12945.25,12946.5,12945.25,12945.5
4556198,-15,2021-01-04 11:44:00+00:00,12945.5,12947.5,12945.25,12946.5
4556199,-14,2021-01-04 11:45:00+00:00,12946.75,12949.5,12946.75,12948.25
4556200,-13,2021-01-04 11:46:00+00:00,12947.25,12949.5,12945.75,12948.75
4556201,-12,2021-01-04 11:47:00+00:00,12948.5,12948.5,12947.5,12947.5
4556202,-11,2021-01-04 11:48:00+00:00,12947.5,12948.75,12947.5,12947.5
4556203,-10,2021-01-04 11:49:00+00:00,12947.75,12948.0,12947.25,12947.5
4556204,-9,2021-01-04 11:50:00+00:00,12947.75,12947.75,12946.75,12946.75
4556205,-8,2021-01-04 11:51:00+00:00,12947.25,12948.5,12945.5,12946.5
4556206,-7,2021-01-04 11:52:00+00:00,12946.75,12947.5,12946.0,12946.75
4556207,-6,2021-01-04 11:53:00+00:00,12947.0,12948.0,12946.75,12948.0
4556208,-5,2021-01-04 11:54:00+00:00,12948.0,12948.0,12946.75,12947.5
4556209,-4,2021-01-04 11:55:00+00:00,12947.0,12947.0,12945.75,12946.0
4556210,-3,2021-01-04 11:56:00+00:00,12946.25,12946.25,12945.5,12946.0
4556211,-2,2021-01-04 11:57:00+00:00,12945.75,12946.25,12944.75,12944.75
4556212,-1,2021-01-04 11:58:00+00:00,12944.75,12945.25,12942.0,12943.0
4556213,0,2021-01-04 11:59:00+00:00,12943.25,12943.5,12940.25,12940.75
