date,dow,type,era,first,last,holes,special,status,close_mod,provenance,note,complete
20060102,0,NEWYEAR,pre2014,,,,,closed,,RULE+TAPE,,False
20060103,1,REG,pre2014,,,,,unknown,,UNKNOWN,no bars in window,False
20060104,2,REG,pre2014,,,,,unknown,,UNKNOWN,no bars in window,False
20060105,3,REG,pre2014,538.0,960.0,427.0,,regular,960.0,RULE+TAPE,427 missing minutes,False
20060106,4,REG,pre2014,323.0,960.0,275.0,,regular,960.0,RULE+TAPE,275 missing minutes,False
20060109,0,REG,pre2014,120.0,960.0,203.0,,regular,960.0,RULE+TAPE,203 missing minutes,False
20060110,1,REG,pre2014,120.0,960.0,151.0,,regular,960.0,RULE+TAPE,151 missing minutes,False
20060111,2,REG,pre2014,122.0,960.0,174.0,,regular,960.0,RULE+TAPE,174 missing minutes,False
20060112,3,REG,pre2014,120.0,960.0,210.0,,regular,960.0,RULE+TAPE,210 missing minutes,False
20060113,4,REG,pre2014,127.0,960.0,176.0,,regular,960.0,RULE+TAPE,176 missing minutes,False
20060116,0,HOL,pre2014,142.0,690.0,377.0,,short,690.0,RULE+TAPE,377 missing minutes before close,False
20060117,1,REG,pre2014,122.0,960.0,124.0,,regular,960.0,RULE+TAPE,124 missing minutes,False
20060118,2,REG,pre2014,120.0,960.0,44.0,,regular,960.0,RULE+TAPE,44 missing minutes,False
20060119,3,REG,pre2014,120.0,960.0,133.0,,regular,960.0,RULE+TAPE,133 missing minutes,False
20060120,4,REG,pre2014,121.0,960.0,167.0,,regular,960.0,RULE+TAPE,167 missing minutes,False
20060123,0,REG,pre2014,120.0,960.0,124.0,,regular,960.0,RULE+TAPE,124 missing minutes,False
20060124,1,REG,pre2014,120.0,960.0,181.0,,regular,960.0,RULE+TAPE,181 missing minutes,False
20060125,2,REG,pre2014,125.0,960.0,147.0,,regular,960.0,RULE+TAPE,147 missing minutes,False
20060126,3,REG,pre2014,120.0,960.0,84.0,,regular,960.0,RULE+TAPE,84 missing minutes,False
20060127,4,REG,pre2014,120.0,960.0,102.0,,regular,960.0,RULE+TAPE,102 missing minutes,False
20060130,0,REG,pre2014,120.0,960.0,189.0,,regular,960.0,RULE+TAPE,189 missing minutes,False
20060131,1,REG,pre2014,129.0,960.0,215.0,,regular,960.0,RULE+TAPE,215 missing minutes,False
20060201,2,REG,pre2014,131.0,960.0,137.0,,regular,960.0,RULE+TAPE,137 missing minutes,False
20060202,3,REG,pre2014,,,,,unknown,,UNKNOWN,no bars in window,False
20060203,4,REG,pre2014,435.0,960.0,334.0,,regular,960.0,RULE+TAPE,334 missing minutes,False
20060206,0,REG,pre2014,,,,,unknown,,UNKNOWN,no bars in window,False
20060207,1,REG,pre2014,123.0,960.0,161.0,,regular,960.0,RULE+TAPE,161 missing minutes,False
20060208,2,REG,pre2014,588.0,960.0,468.0,,regular,960.0,RULE+TAPE,468 missing minutes,False
20060209,3,REG,pre2014,121.0,960.0,146.0,,regular,960.0,RULE+TAPE,146 missing minutes,False
20060210,4,REG,pre2014,122.0,960.0,159.0,,regular,960.0,RULE+TAPE,159 missing minutes,False
20060213,0,REG,pre2014,125.0,960.0,205.0,,regular,960.0,RULE+TAPE,205 missing minutes,False
20060214,1,REG,pre2014,120.0,960.0,173.0,,regular,960.0,RULE+TAPE,173 missing minutes,False
20060215,2,REG,pre2014,120.0,960.0,203.0,,regular,960.0,RULE+TAPE,203 missing minutes,False
20060216,3,REG,pre2014,121.0,960.0,193.0,,regular,960.0,RULE+TAPE,193 missing minutes,False
20060217,4,REG,pre2014,120.0,960.0,163.0,,regular,960.0,RULE+TAPE,163 missing minutes,False
20060220,0,HOL,pre2014,122.0,690.0,402.0,,short,690.0,RULE+TAPE,402 missing minutes before close,False
20060221,1,REG,pre2014,122.0,960.0,141.0,,regular,960.0,RULE+TAPE,141 missing minutes,False
20060222,2,REG,pre2014,126.0,960.0,185.0,,regular,960.0,RULE+TAPE,185 missing minutes,False
20060223,3,REG,pre2014,120.0,960.0,190.0,,regular,960.0,RULE+TAPE,190 missing minutes,False
20060224,4,REG,pre2014,122.0,960.0,201.0,,regular,960.0,RULE+TAPE,201 missing minutes,False
20060227,0,REG,pre2014,121.0,960.0,236.0,,regular,960.0,RULE+TAPE,236 missing minutes,False
20060228,1,REG,pre2014,140.0,960.0,197.0,,regular,960.0,RULE+TAPE,197 missing minutes,False
20060301,2,REG,pre2014,123.0,960.0,184.0,,regular,960.0,RULE+TAPE,184 missing minutes,False
20060302,3,REG,pre2014,135.0,960.0,191.0,,regular,960.0,RULE+TAPE,191 missing minutes,False
20060303,4,REG,pre2014,120.0,960.0,198.0,,regular,960.0,RULE+TAPE,198 missing minutes,False
20060306,0,REG,pre2014,,,,,unknown,,UNKNOWN,no bars in window,False
20060307,1,REG,pre2014,464.0,960.0,353.0,,regular,960.0,RULE+TAPE,353 missing minutes,False
20060308,2,REG,pre2014,123.0,960.0,121.0,,regular,960.0,RULE+TAPE,121 missing minutes,False
20060309,3,REG,pre2014,123.0,960.0,347.0,,regular,960.0,RULE+TAPE,347 missing minutes,False
20060310,4,REG,pre2014,526.0,960.0,408.0,,regular,960.0,RULE+TAPE,408 missing minutes,False
20060313,0,REG,pre2014,487.0,960.0,369.0,,regular,960.0,RULE+TAPE,369 missing minutes,False
20060314,1,REG,pre2014,121.0,960.0,192.0,,regular,960.0,RULE+TAPE,192 missing minutes,False
20060315,2,REG,pre2014,120.0,960.0,202.0,,regular,960.0,RULE+TAPE,202 missing minutes,False
20060316,3,REG,pre2014,122.0,960.0,189.0,,regular,960.0,RULE+TAPE,189 missing minutes,False
20060317,4,REG,pre2014,584.0,960.0,464.0,,regular,960.0,RULE+TAPE,464 missing minutes,False
20060320,0,REG,pre2014,510.0,960.0,403.0,,regular,960.0,RULE+TAPE,403 missing minutes,False
20060321,1,REG,pre2014,124.0,960.0,217.0,,regular,960.0,RULE+TAPE,217 missing minutes,False
20060322,2,REG,pre2014,121.0,960.0,69.0,,regular,960.0,RULE+TAPE,69 missing minutes,False
20060323,3,REG,pre2014,,,,,unknown,,UNKNOWN,no bars in window,False
20060324,4,REG,pre2014,262.0,960.0,285.0,,regular,960.0,RULE+TAPE,285 missing minutes,False
20060327,0,REG,pre2014,124.0,960.0,211.0,,regular,960.0,RULE+TAPE,211 missing minutes,False
20060328,1,REG,pre2014,121.0,960.0,216.0,,regular,960.0,RULE+TAPE,216 missing minutes,False
20060329,2,REG,pre2014,121.0,960.0,203.0,,regular,960.0,RULE+TAPE,203 missing minutes,False
20060330,3,REG,pre2014,120.0,960.0,157.0,,regular,960.0,RULE+TAPE,157 missing minutes,False
20060331,4,REG,pre2014,120.0,960.0,179.0,,regular,960.0,RULE+TAPE,179 missing minutes,False
20060403,0,REG,pre2014,121.0,960.0,152.0,,regular,960.0,RULE+TAPE,152 missing minutes,False
20060404,1,REG,pre2014,120.0,960.0,231.0,,regular,960.0,RULE+TAPE,231 missing minutes,False
20060405,2,REG,pre2014,121.0,960.0,227.0,,regular,960.0,RULE+TAPE,227 missing minutes,False
20060406,3,REG,pre2014,121.0,960.0,171.0,,regular,960.0,RULE+TAPE,171 missing minutes,False
20060407,4,REG,pre2014,122.0,960.0,232.0,,regular,960.0,RULE+TAPE,232 missing minutes,False
20060410,0,REG,pre2014,135.0,960.0,212.0,,regular,960.0,RULE+TAPE,212 missing minutes,False
20060411,1,REG,pre2014,127.0,960.0,186.0,,regular,960.0,RULE+TAPE,186 missing minutes,False
20060412,2,REG,pre2014,120.0,960.0,149.0,,regular,960.0,RULE+TAPE,149 missing minutes,False
20060413,3,REG,pre2014,120.0,960.0,197.0,,regular,960.0,RULE+TAPE,197 missing minutes,False
20060414,4,GOODFRI,pre2014,,,,,closed,,RULE+TAPE,,False
20060417,0,REG,pre2014,121.0,960.0,258.0,,regular,960.0,RULE+TAPE,258 missing minutes,False
20060418,1,REG,pre2014,125.0,960.0,135.0,,regular,960.0,RULE+TAPE,135 missing minutes,False
20060419,2,REG,pre2014,120.0,960.0,145.0,,regular,960.0,RULE+TAPE,145 missing minutes,False
20060420,3,REG,pre2014,120.0,960.0,185.0,,regular,960.0,RULE+TAPE,185 missing minutes,False
20060421,4,REG,pre2014,126.0,960.0,229.0,,regular,960.0,RULE+TAPE,229 missing minutes,False
20060424,0,REG,pre2014,121.0,960.0,149.0,,regular,960.0,RULE+TAPE,149 missing minutes,False
20060425,1,REG,pre2014,125.0,960.0,223.0,,regular,960.0,RULE+TAPE,223 missing minutes,False
20060426,2,REG,pre2014,120.0,960.0,182.0,,regular,960.0,RULE+TAPE,182 missing minutes,False
20060427,3,REG,pre2014,126.0,960.0,135.0,,regular,960.0,RULE+TAPE,135 missing minutes,False
20060428,4,REG,pre2014,121.0,916.0,120.0,,unknown,960.0,UNKNOWN,tape stops at 916.0 on a regular-type day,False
20060501,0,REG,pre2014,120.0,960.0,256.0,,regular,960.0,RULE+TAPE,256 missing minutes,False
20060502,1,REG,pre2014,120.0,960.0,110.0,,regular,960.0,RULE+TAPE,110 missing minutes,False
20060503,2,REG,pre2014,120.0,960.0,153.0,,regular,960.0,RULE+TAPE,153 missing minutes,False
20060504,3,REG,pre2014,122.0,957.0,141.0,,unknown,960.0,UNKNOWN,tape stops at 957.0 on a regular-type day,False
20060505,4,REG,pre2014,120.0,915.0,151.0,,unknown,960.0,UNKNOWN,tape stops at 915.0 on a regular-type day,False
20060508,0,REG,pre2014,121.0,957.0,177.0,,unknown,960.0,UNKNOWN,tape stops at 957.0 on a regular-type day,False
20060509,1,REG,pre2014,120.0,959.0,207.0,,unknown,960.0,UNKNOWN,tape stops at 959.0 on a regular-type day,False
20060510,2,REG,pre2014,121.0,956.0,197.0,,unknown,960.0,UNKNOWN,tape stops at 956.0 on a regular-type day,False
20060511,3,REG,pre2014,120.0,959.0,134.0,,unknown,960.0,UNKNOWN,tape stops at 959.0 on a regular-type day,False
20060512,4,REG,pre2014,120.0,915.0,31.0,,unknown,960.0,UNKNOWN,tape stops at 915.0 on a regular-type day,False
20060515,0,REG,pre2014,120.0,959.0,45.0,,unknown,960.0,UNKNOWN,tape stops at 959.0 on a regular-type day,False
20060516,1,REG,pre2014,120.0,959.0,117.0,,unknown,960.0,UNKNOWN,tape stops at 959.0 on a regular-type day,False
20060517,2,REG,pre2014,120.0,959.0,485.0,,unknown,960.0,UNKNOWN,tape stops at 959.0 on a regular-type day,False
20060518,3,REG,pre2014,120.0,960.0,75.0,,regular,960.0,RULE+TAPE,75 missing minutes,False
20060519,4,REG,pre2014,120.0,915.0,51.0,,unknown,960.0,UNKNOWN,tape stops at 915.0 on a regular-type day,False
20060522,0,REG,pre2014,120.0,960.0,61.0,,regular,960.0,RULE+TAPE,61 missing minutes,False
20060523,1,REG,pre2014,120.0,960.0,91.0,,regular,960.0,RULE+TAPE,91 missing minutes,False
20060524,2,REG,pre2014,120.0,960.0,29.0,,regular,960.0,RULE+TAPE,29 missing minutes,False
20060525,3,REG,pre2014,121.0,960.0,137.0,,regular,960.0,RULE+TAPE,137 missing minutes,False
20060526,4,REG,pre2014,121.0,960.0,178.0,,regular,960.0,RULE+TAPE,178 missing minutes,False
20060529,0,HOL,pre2014,125.0,690.0,426.0,,short,690.0,RULE+TAPE,426 missing minutes before close,False
20060530,1,REG,pre2014,121.0,960.0,443.0,,regular,960.0,RULE+TAPE,443 missing minutes,False
20060531,2,REG,pre2014,120.0,960.0,74.0,,regular,960.0,RULE+TAPE,74 missing minutes,False
20060601,3,REG,pre2014,127.0,960.0,130.0,,regular,960.0,RULE+TAPE,130 missing minutes,False
20060602,4,REG,pre2014,120.0,960.0,112.0,,regular,960.0,RULE+TAPE,112 missing minutes,False
20060605,0,REG,pre2014,122.0,960.0,195.0,,regular,960.0,RULE+TAPE,195 missing minutes,False
20060606,1,REG,pre2014,120.0,960.0,125.0,,regular,960.0,RULE+TAPE,125 missing minutes,False
20060607,2,REG,pre2014,120.0,960.0,95.0,,regular,960.0,RULE+TAPE,95 missing minutes,False
20060608,3,REG,pre2014,121.0,960.0,219.0,,regular,960.0,RULE+TAPE,219 missing minutes,False
20060609,4,REG,pre2014,120.0,960.0,99.0,,regular,960.0,RULE+TAPE,99 missing minutes,False
20060612,0,REG,pre2014,120.0,960.0,131.0,,regular,960.0,RULE+TAPE,131 missing minutes,False
20060613,1,REG,pre2014,120.0,960.0,56.0,,regular,960.0,RULE+TAPE,56 missing minutes,False
20060614,2,REG,pre2014,121.0,960.0,72.0,,regular,960.0,RULE+TAPE,72 missing minutes,False
20060615,3,REG,pre2014,121.0,960.0,92.0,,regular,960.0,RULE+TAPE,92 missing minutes,False
20060616,4,REG,pre2014,124.0,960.0,115.0,,regular,960.0,RULE+TAPE,115 missing minutes,False
20060619,0,REG,pre2014,124.0,960.0,168.0,,regular,960.0,RULE+TAPE,168 missing minutes,False
20060620,1,REG,pre2014,120.0,960.0,141.0,,regular,960.0,RULE+TAPE,141 missing minutes,False
20060621,2,REG,pre2014,120.0,960.0,169.0,,regular,960.0,RULE+TAPE,169 missing minutes,False
20060622,3,REG,pre2014,120.0,960.0,126.0,,regular,960.0,RULE+TAPE,126 missing minutes,False
20060623,4,REG,pre2014,122.0,960.0,155.0,,regular,960.0,RULE+TAPE,155 missing minutes,False
20060626,0,REG,pre2014,120.0,960.0,187.0,,regular,960.0,RULE+TAPE,187 missing minutes,False
20060627,1,REG,pre2014,120.0,960.0,223.0,,regular,960.0,RULE+TAPE,223 missing minutes,False
20060628,2,REG,pre2014,120.0,960.0,182.0,,regular,960.0,RULE+TAPE,182 missing minutes,False
