date,p0_status,p0_reason,side,A_status,A_reason,RA,B_status,B_reason,RB,morning_A,downstream_A,downstream_B,epoch,D,D_decomp
20060102,no,calendar_closed,,not_in_P0,calendar_closed,,not_in_P0,calendar_closed,,,,,2006-12,,
20060103,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060104,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060105,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060106,yes,ok,1.0,resolved,ok,-2.75,resolved,ok,0.0,-2.75,0.0,0.0,2006-12,-2.75,-2.75
20060109,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060110,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060111,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060112,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,unknown,missing_decision_prefix_bar:553,,,,,2006-12,,
20060113,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060116,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060117,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060118,yes,ok,-1.0,resolved,ok,-3.75,resolved,ok,0.0,-3.75,0.0,0.0,2006-12,-3.75,-3.75
20060119,yes,ok,-1.0,resolved,ok,-2.75,resolved,ok,0.0,-2.75,0.0,0.0,2006-12,-2.75,-2.75
20060120,unknown,missing_decision_prefix_bar:550,,unknown,missing_decision_prefix_bar:550,,unknown,missing_decision_prefix_bar:550,,,,,2006-12,,
20060123,unknown,missing_decision_prefix_bar:549,,unknown,missing_decision_prefix_bar:549,,unknown,missing_decision_prefix_bar:549,,,,,2006-12,,
20060124,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,unknown,missing_decision_prefix_bar:545,,,,,2006-12,,
20060125,unknown,missing_decision_prefix_bar:549,,unknown,missing_decision_prefix_bar:549,,unknown,missing_decision_prefix_bar:549,,,,,2006-12,,
20060126,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060127,yes,ok,1.0,resolved,ok,9.25,resolved,ok,-4.5,9.25,0.0,-4.5,2006-12,13.75,13.75
20060130,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,unknown,missing_decision_prefix_bar:547,,,,,2006-12,,
20060131,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2006-12,,
20060201,yes,ok,1.0,resolved,ok,3.25,resolved,ok,0.0,3.25,0.0,0.0,2006-12,3.25,3.25
20060202,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060203,yes,ok,-1.0,resolved,ok,-0.75,resolved,ok,0.0,-0.75,0.0,0.0,2006-12,-0.75,-0.75
20060206,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
20060207,unknown,missing_decision_prefix_bar:556,,unknown,missing_decision_prefix_bar:556,,unknown,missing_decision_prefix_bar:556,,,,,2006-12,,
20060208,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,unknown,missing_decision_prefix_bar:544,,,,,2006-12,,
