date,event,phase,oid,branch,rec,boundary,side,authorized,day_before,busy_before,pnl,busy,position,remaining_budget,lock_active,limit,result,reason,policy,entry,stop,planned_last,entry_mod,exit_mod,exit,xtype,net,day_after
20060106,opportunity,decision,20060106:S07:573,S07,573.0,574,1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060106,execution,execution,20060106:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1734.0,1715.5,693.0,,,,,,
20060106,settlement,observe_close,20060106:S07:573,S07,573.0,694,1.0,,0.0,,-2.75,False,,57.25,False,20.0,,time,A,1734.0,1715.5,,574.0,693.0,1732.0,3.0,-2.75,-2.75
20060106,opportunity,decision,20060106:S07:573,S07,573.0,574,1.0,False,0.0,False,0.0,False,,60.0,False,20.0,authorization_skip,B_intervention,B,,,,,,,,,
20060118,opportunity,decision,20060118:S07:573,S07,573.0,574,-1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060118,execution,execution,20060118:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1721.5,1740.0,693.0,,,,,,
20060118,settlement,observe_close,20060118:S07:573,S07,573.0,694,-1.0,,0.0,,-3.75,False,,56.25,False,20.0,,time,A,1721.5,1740.0,,574.0,693.0,1724.5,3.0,-3.75,-3.75
20060118,opportunity,decision,20060118:S07:573,S07,573.0,574,-1.0,False,0.0,False,0.0,False,,60.0,False,20.0,authorization_skip,B_intervention,B,,,,,,,,,
20060119,opportunity,decision,20060119:S07:573,S07,573.0,574,-1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060119,execution,execution,20060119:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1734.0,1752.5,693.0,,,,,,
20060119,settlement,observe_close,20060119:S07:573,S07,573.0,694,-1.0,,0.0,,-2.75,False,,57.25,False,20.0,,time,A,1734.0,1752.5,,574.0,693.0,1736.0,3.0,-2.75,-2.75
20060119,opportunity,decision,20060119:S07:573,S07,573.0,574,-1.0,False,0.0,False,0.0,False,,60.0,False,20.0,authorization_skip,B_intervention,B,,,,,,,,,
20060127,opportunity,decision,20060127:S07:573,S07,573.0,574,1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060127,execution,execution,20060127:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1711.5,1693.0,693.0,,,,,,
20060127,opportunity,decision,20060127:PV2:+1:610,PV2_V7m,610.0,611,1.0,True,0.0,True,0.0,True,20060127:S07:573,60.0,False,20.0,policy_skip,busy,A,,,,,,,,,
20060127,settlement,observe_close,20060127:S07:573,S07,573.0,694,1.0,,0.0,,9.25,False,,69.25,True,9.25,,time,A,1711.5,1693.0,,574.0,693.0,1721.5,3.0,9.25,9.25
20060127,opportunity,decision,20060127:S07:573,S07,573.0,574,1.0,False,0.0,False,0.0,False,,60.0,False,20.0,authorization_skip,B_intervention,B,,,,,,,,,
20060127,opportunity,decision,20060127:PV2:+1:610,PV2_V7m,610.0,611,1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,B,,,,,,,,,
20060127,execution,execution,20060127:PV2:+1:610,PV2_V7m,,611,,,,,0.0,False,,60.0,False,20.0,opened,ok,B,1729.5,1726.25,730.0,,,,,,
20060127,settlement,observe_close,20060127:PV2:+1:610,PV2_V7m,610.0,623,1.0,,0.0,,-4.5,False,,55.5,False,20.0,,stop,B,1729.5,1726.25,,611.0,622.0,1725.75,1.0,-4.5,-4.5
20060201,opportunity,decision,20060201:S07:573,S07,573.0,574,1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060201,execution,execution,20060201:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1708.5,1690.0,693.0,,,,,,
20060201,settlement,observe_close,20060201:S07:573,S07,573.0,694,1.0,,0.0,,3.25,False,,63.25,True,3.25,,time,A,1708.5,1690.0,,574.0,693.0,1712.5,3.0,3.25,3.25
20060201,opportunity,decision,20060201:S07:573,S07,573.0,574,1.0,False,0.0,False,0.0,False,,60.0,False,20.0,authorization_skip,B_intervention,B,,,,,,,,,
20060203,opportunity,decision,20060203:S07:573,S07,573.0,574,-1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060203,execution,execution,20060203:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1674.0,1692.5,693.0,,,,,,
20060203,settlement,observe_close,20060203:S07:573,S07,573.0,694,-1.0,,0.0,,-0.75,False,,59.25,False,20.0,,time,A,1674.0,1692.5,,574.0,693.0,1674.0,3.0,-0.75,-0.75
20060203,opportunity,decision,20060203:S07:573,S07,573.0,574,-1.0,False,0.0,False,0.0,False,,60.0,False,20.0,authorization_skip,B_intervention,B,,,,,,,,,
20060222,opportunity,decision,20060222:S07:573,S07,573.0,574,-1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060222,execution,execution,20060222:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1661.0,1679.5,693.0,,,,,,
20060222,settlement,observe_close,20060222:S07:573,S07,573.0,690,-1.0,,0.0,,-19.75,False,,40.25,False,20.0,,stop,A,1661.0,1679.5,,574.0,689.0,1680.0,1.0,-19.75,-19.75
20060222,opportunity,decision,20060222:S07:573,S07,573.0,574,-1.0,False,0.0,False,0.0,False,,60.0,False,20.0,authorization_skip,B_intervention,B,,,,,,,,,
20060303,opportunity,decision,20060303:S07:573,S07,573.0,574,-1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060303,execution,execution,20060303:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1686.5,1705.0,693.0,,,,,,
20060303,settlement,observe_close,20060303:S07:573,S07,573.0,694,-1.0,,0.0,,-5.25,False,,54.75,False,20.0,,time,A,1686.5,1705.0,,574.0,693.0,1691.0,3.0,-5.25,-5.25
20060303,opportunity,decision,20060303:S07:573,S07,573.0,574,-1.0,False,0.0,False,0.0,False,,60.0,False,20.0,authorization_skip,B_intervention,B,,,,,,,,,
20060307,opportunity,decision,20060307:S07:573,S07,573.0,574,-1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060307,execution,execution,20060307:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1667.5,1686.0,693.0,,,,,,
20060307,settlement,observe_close,20060307:S07:573,S07,573.0,694,-1.0,,0.0,,-1.25,False,,58.75,False,20.0,,time,A,1667.5,1686.0,,574.0,693.0,1668.0,3.0,-1.25,-1.25
20060307,opportunity,decision,20060307:S07:573,S07,573.0,574,-1.0,False,0.0,False,0.0,False,,60.0,False,20.0,authorization_skip,B_intervention,B,,,,,,,,,
20060310,opportunity,decision,20060310:S07:573,S07,573.0,574,-1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060310,execution,execution,20060310:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1662.0,1680.5,693.0,,,,,,
20060310,opportunity,decision,20060310:PV2:-1:603,PV2_V7m,603.0,604,-1.0,True,0.0,True,0.0,True,20060310:S07:573,60.0,False,20.0,policy_skip,busy,A,,,,,,,,,
20060310,settlement,observe_close,20060310:S07:573,S07,573.0,694,-1.0,,0.0,,-9.75,False,,50.25,False,20.0,,time,A,1662.0,1680.5,,574.0,693.0,1671.0,3.0,-9.75,-9.75
20060310,opportunity,decision,20060310:S07:573,S07,573.0,574,-1.0,False,0.0,False,0.0,False,,60.0,False,20.0,authorization_skip,B_intervention,B,,,,,,,,,
20060310,opportunity,decision,20060310:PV2:-1:603,PV2_V7m,603.0,604,-1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,B,,,,,,,,,
20060310,execution,execution,20060310:PV2:-1:603,PV2_V7m,,604,,,,,0.0,False,,60.0,False,20.0,opened,ok,B,1659.5,1660.75,723.0,,,,,,
20060310,settlement,observe_close,20060310:PV2:-1:603,PV2_V7m,603.0,606,-1.0,,0.0,,-2.5,False,,57.5,False,20.0,,stop,B,1659.5,1660.75,,604.0,605.0,1661.25,1.0,-2.5,-2.5
20060316,opportunity,decision,20060316:S07:573,S07,573.0,574,-1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060316,execution,execution,20060316:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1719.0,1737.5,693.0,,,,,,
20060316,settlement,observe_close,20060316:S07:573,S07,573.0,694,-1.0,,0.0,,1.75,False,,61.75,True,1.75,,time,A,1719.0,1737.5,,574.0,693.0,1716.5,3.0,1.75,1.75
20060316,unknown,recognition,,,,774,,,,,1.75,False,,61.75,True,1.75,,detector:missing_v7m_bar:773,A,,,,,,,,,
20060316,opportunity,decision,20060316:S07:573,S07,573.0,574,-1.0,False,0.0,False,0.0,False,,60.0,False,20.0,authorization_skip,B_intervention,B,,,,,,,,,
20060316,unknown,recognition,,,,774,,,,,0.0,False,,60.0,False,20.0,,detector:missing_v7m_bar:773,B,,,,,,,,,
20060320,opportunity,decision,20060320:S07:573,S07,573.0,574,-1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060320,execution,execution,20060320:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1709.0,1727.5,693.0,,,,,,
20060320,settlement,observe_close,20060320:S07:573,S07,573.0,694,-1.0,,0.0,,3.75,False,,63.75,True,3.75,,time,A,1709.0,1727.5,,574.0,693.0,1704.5,3.0,3.75,3.75
20060320,unknown,recognition,,,,748,,,,,3.75,False,,63.75,True,3.75,,detector:missing_v7m_bar:747,A,,,,,,,,,
20060320,opportunity,decision,20060320:S07:573,S07,573.0,574,-1.0,False,0.0,False,0.0,False,,60.0,False,20.0,authorization_skip,B_intervention,B,,,,,,,,,
20060320,unknown,recognition,,,,748,,,,,0.0,False,,60.0,False,20.0,,detector:missing_v7m_bar:747,B,,,,,,,,,
20060327,opportunity,decision,20060327:S07:573,S07,573.0,574,1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060327,execution,execution,20060327:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1698.0,1679.5,693.0,,,,,,
20060327,opportunity,decision,20060327:PV2:+1:604,PV2_V7m,604.0,605,1.0,True,0.0,True,0.0,True,20060327:S07:573,60.0,False,20.0,policy_skip,busy,A,,,,,,,,,
20060327,settlement,observe_close,20060327:S07:573,S07,573.0,694,1.0,,0.0,,-0.25,False,,59.75,False,20.0,,time,A,1698.0,1679.5,,574.0,693.0,1698.5,3.0,-0.25,-0.25
20060327,opportunity,decision,20060327:S07:573,S07,573.0,574,1.0,False,0.0,False,0.0,False,,60.0,False,20.0,authorization_skip,B_intervention,B,,,,,,,,,
20060327,opportunity,decision,20060327:PV2:+1:604,PV2_V7m,604.0,605,1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,B,,,,,,,,,
20060327,execution,execution,20060327:PV2:+1:604,PV2_V7m,,605,,,,,0.0,False,,60.0,False,20.0,opened,ok,B,1703.5,1701.25,724.0,,,,,,
20060327,settlement,observe_close,20060327:PV2:+1:604,PV2_V7m,604.0,609,1.0,,0.0,,-3.5,False,,56.5,False,20.0,,stop,B,1703.5,1701.25,,605.0,608.0,1700.75,1.0,-3.5,-3.5
20060328,opportunity,decision,20060328:S07:573,S07,573.0,574,1.0,True,0.0,False,0.0,False,,60.0,False,20.0,authorized,ok,A,,,,,,,,,
20060328,execution,execution,20060328:S07:573,S07,,574,,,,,0.0,False,,60.0,False,20.0,opened,ok,A,1700.0,1681.5,693.0,,,,,,
