oid,date,branch,rec,boundary,side,stop_kind,stop,target,iend,hold,source,pivot,max_read
20060106:S07:573,20060106,S07,573,574,1,offset,18.5,,693,120,573,-1,573
20060118:S07:573,20060118,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060119:S07:573,20060119,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060127:S07:573,20060127,S07,573,574,1,offset,18.5,,693,120,573,-1,573
20060127:PV2:+1:610,20060127,PV2_V7m,610,611,1,absolute,1726.25,,-1,120,599,608,610
20060201:S07:573,20060201,S07,573,574,1,offset,18.5,,693,120,573,-1,573
20060203:S07:573,20060203,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060222:S07:573,20060222,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060303:S07:573,20060303,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060307:S07:573,20060307,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060310:S07:573,20060310,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060310:PV2:-1:603,20060310,PV2_V7m,603,604,-1,absolute,1660.75,,-1,120,599,601,603
20060316:S07:573,20060316,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060320:S07:573,20060320,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060327:S07:573,20060327,S07,573,574,1,offset,18.5,,693,120,573,-1,573
20060327:PV2:+1:604,20060327,PV2_V7m,604,605,1,absolute,1701.25,,-1,120,599,602,604
20060328:S07:573,20060328,S07,573,574,1,offset,18.5,,693,120,573,-1,573
20060328:PV2:+1:759,20060328,PV2_V7m,759,760,1,absolute,1708.25,,-1,120,740,757,759
20060406:S07:573,20060406,S07,573,574,1,offset,18.5,,693,120,573,-1,573
20060407:S07:573,20060407,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060413:S07:573,20060413,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060419:S07:573,20060419,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060421:S07:573,20060421,S07,573,574,1,offset,18.5,,693,120,573,-1,573
20060427:S07:573,20060427,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060427:PV2:+1:621,20060427,PV2_V7m,621,622,1,absolute,1724.25,,-1,120,615,619,621
20060428:S07:573,20060428,S07,573,574,-1,offset,18.5,,693,120,573,-1,573
20060428:PV2:-1:605,20060428,PV2_V7m,605,606,-1,absolute,1718.75,,-1,120,600,603,605
