date,irec,side,stop,target,iend,branch,entry,exit,xtype,jexit,risk,plan_loss,net,fits,day_after,cut
20060106,607,1,1715.5,,727,S07,1734.0,1732.0,3,727,18.5,19.75,-2.75,True,-2.75,
20060118,6586,-1,1740.0,,6706,S07,1721.5,1724.5,3,6706,18.5,19.75,-3.75,True,-3.75,
20060119,7507,-1,1752.5,,7627,S07,1734.0,1736.0,3,7627,18.5,19.75,-2.75,True,-2.75,
20060127,12689,1,1693.0,,12809,S07,1711.5,1721.5,3,12809,18.5,19.75,9.25,True,9.25,
20060131,14129,-1,1716.25,,-1,PV2_V7m,1710.5,1716.75,1,14234,5.75,7.0,-7.0,True,-7.0,
20060201,14992,1,1690.0,,15112,S07,1708.5,1712.5,3,15112,18.5,19.75,3.25,True,3.25,
20060203,15649,-1,1692.5,,15769,S07,1674.0,1674.0,3,15769,18.5,19.75,-0.75,True,-0.75,
20060210,19031,1,1671.75,,-1,PV2_V7m,1673.0,1671.25,1,19039,1.25,2.5,-2.5,True,-2.5,
20060215,20988,1,1677.75,,-1,PV2_V7m,1681.5,1677.25,1,21002,3.75,5.0,-5.0,True,-5.0,
20060222,24414,-1,1679.5,,24534,S07,1661.0,1680.0,1,24530,18.5,19.75,-19.75,True,-19.75,
20060228,27490,-1,1688.25,,-1,PV2_V7m,1679.5,1675.5,3,27610,8.75,10.0,3.25,True,3.25,
20060303,29761,-1,1705.0,,29881,S07,1686.5,1691.0,3,29881,18.5,19.75,-5.25,True,-5.25,
20060307,30264,-1,1686.0,,30384,S07,1667.5,1668.0,3,30384,18.5,19.75,-1.25,True,-1.25,
20060310,32295,-1,1680.5,,32415,S07,1662.0,1671.0,3,32415,18.5,19.75,-9.75,True,-9.75,
20060313,32812,1,1680.75,,-1,PV2_V7m,1683.0,1680.25,1,32818,2.25,3.5,-3.5,True,-3.5,
20060314,33557,1,1683.75,,-1,PV2_V7m,1686.0,1683.25,1,33572,2.25,3.5,-3.5,True,-3.5,
20060316,35118,-1,1737.5,,35238,S07,1719.0,1716.5,3,35238,18.5,19.75,1.75,True,1.75,
20060320,36080,-1,1727.5,,36200,S07,1709.0,1704.5,3,36200,18.5,19.75,3.75,True,3.75,
20060321,36850,-1,1702.75,,-1,PV2_V7m,1701.0,1703.25,1,36872,1.75,3.0,-3.0,True,-3.0,
20060321,36941,1,1718.75,,-1,PV2_V7m,1720.5,1718.25,1,37049,1.75,3.0,-3.0,True,-6.0,
20060327,39225,1,1679.5,,39345,S07,1698.0,1698.5,3,39345,18.5,19.75,-0.25,True,-0.25,
20060328,39939,1,1681.5,,40059,S07,1700.0,1702.0,3,40059,18.5,19.75,1.25,True,1.25,
20060329,40807,1,1696.75,,-1,PV2_V7m,1698.0,1696.25,1,40837,1.25,2.5,-2.5,True,-2.5,
20060405,44576,1,1740.25,,-1,PV2_V7m,1742.0,1739.75,1,44585,1.75,3.0,-3.0,True,-3.0,
20060406,45347,1,1730.5,,45467,S07,1749.0,1750.0,3,45467,18.5,19.75,0.25,True,0.25,
20060407,46059,-1,1776.5,,46179,S07,1758.0,1744.0,3,46179,18.5,19.75,13.25,True,13.25,
20060413,49098,-1,1734.5,,49218,S07,1716.0,1735.0,1,49196,18.5,19.75,-19.75,True,-19.75,
20060418,50593,1,1715.75,,-1,PV2_V7m,1717.5,1715.25,1,50597,1.75,3.0,-3.0,True,-3.0,
20060419,51420,-1,1761.5,,51540,S07,1743.0,1738.5,3,51540,18.5,19.75,3.75,True,3.75,
20060421,52956,1,1728.5,,53076,S07,1747.0,1733.5,3,53076,18.5,19.75,-14.25,True,-14.25,
20060424,53717,-1,1711.25,,-1,PV2_V7m,1711.0,1711.75,1,53729,0.25,1.5,-1.5,True,-1.5,
20060427,55990,-1,1736.5,,56108,S07,1718.0,1709.0,4,56003,18.5,19.75,8.25,True,8.25,
20060427,56036,1,1724.25,,-1,PV2_V7m,1729.0,1731.0,3,56156,4.75,6.0,1.25,True,9.5,
20060428,56870,-1,1738.5,,56990,S07,1720.0,1715.0,3,56990,18.5,19.75,4.25,True,4.25,
20060501,57444,-1,1733.5,,57564,S07,1715.0,1710.5,3,57564,18.5,19.75,3.75,True,3.75,
20060502,58331,1,1685.0,,58451,S07,1703.5,1699.0,3,58451,18.5,19.75,-5.25,True,-5.25,
20060503,59118,-1,1714.0,,59238,S07,1695.5,1695.0,3,59238,18.5,19.75,-0.25,True,-0.25,
20060504,59904,-1,1730.5,,60024,S07,1712.0,1708.0,3,60024,18.5,19.75,3.25,True,3.25,
20060505,60634,-1,1733.5,,60754,S07,1715.0,1720.5,3,60754,18.5,19.75,-6.25,True,-6.25,
20060508,61289,-1,1745.0,,61409,S07,1726.5,1724.0,3,61409,18.5,19.75,1.75,True,1.75,
20060509,62004,-1,1737.0,,62124,S07,1718.5,1720.0,3,62124,18.5,19.75,-2.25,True,-2.25,
20060510,62759,1,1696.0,,62879,S07,1714.5,1712.25,3,62879,18.5,19.75,-3.0,True,-3.0,
20060511,63611,-1,1703.0,,63731,S07,1684.5,1668.5,3,63731,18.5,19.75,15.25,True,15.25,
20060512,64560,-1,1664.75,,64680,S07,1646.25,1645.0,3,64680,18.5,19.75,0.5,True,0.5,
20060515,65373,1,1623.75,,65493,S07,1642.25,1639.75,3,65493,18.5,19.75,-3.25,True,-3.25,
20060516,66232,1,1622.0,,66352,S07,1640.5,1627.75,3,66352,18.5,19.75,-13.5,True,-13.5,
20060518,67693,-1,1630.5,,67813,S07,1612.0,1611.75,3,67813,18.5,19.75,-0.5,True,-0.5,
20060519,68640,1,1578.0,,68760,S07,1596.5,1593.75,3,68760,18.5,19.75,-3.5,True,-3.5,
20060522,69435,1,1573.75,,69555,S07,1592.25,1588.5,3,69555,18.5,19.75,-4.5,True,-4.5,
20060523,70306,1,1585.0,,70426,S07,1603.5,1603.0,3,70426,18.5,19.75,-1.25,True,-1.25,
20060524,71423,-1,1585.0,,71543,S07,1566.5,1585.5,1,71439,18.5,19.75,-19.75,True,-19.75,
20060524,71452,1,1583.0,,-1,PV2_V7m,1589.0,1582.5,1,71466,6.0,7.25,-7.25,True,-27.0,
20060525,72330,-1,1612.0,,72450,S07,1593.5,1590.25,3,72450,18.5,19.75,2.5,True,2.5,
20060526,73171,-1,1624.5,,73291,S07,1606.0,1609.5,3,73291,18.5,19.75,-4.25,True,-4.25,
20060601,75746,-1,1600.75,,75866,S07,1582.25,1601.25,1,75846,18.5,19.75,-19.75,True,-19.75,
20060602,76687,-1,1646.5,,76807,S07,1628.0,1613.0,3,76807,18.5,19.75,14.25,True,14.25,
20060602,76825,-1,1604.5,,-1,PV2_V7m,1602.0,1605.0,1,76828,2.5,3.75,-3.75,True,10.5,
20060605,77425,-1,1606.0,,-1,PV2_V7m,1605.0,1606.5,1,77429,1.0,2.25,-2.25,True,-2.25,
20060608,79855,-1,1590.25,,79975,S07,1571.75,1552.0,3,79975,18.5,19.75,19.0,True,19.0,
20060609,80824,1,1570.75,,80944,S07,1589.25,1589.75,3,80944,18.5,19.75,-0.25,True,-0.25,
20060612,81573,-1,1588.75,,81693,S07,1570.25,1561.5,3,81693,18.5,19.75,8.0,True,8.0,
20060613,82598,-1,1557.0,,82718,S07,1538.5,1547.5,3,82718,18.5,19.75,-9.75,True,-9.75,
20060614,83626,1,1524.0,,83746,S07,1542.5,1547.5,3,83746,18.5,19.75,4.25,True,4.25,
20060615,84573,1,1540.25,,84693,S07,1558.75,1570.5,3,84693,18.5,19.75,11.0,True,11.0,
20060616,85506,1,1568.75,,85626,S07,1587.25,1576.0,3,85626,18.5,19.75,-12.0,True,-12.0,
20060621,87901,1,1575.5,,-1,PV2_V7m,1579.75,1595.5,3,88021,4.25,5.5,15.0,True,15.0,
20060627,91031,-1,1592.25,,91151,S07,1573.75,1553.5,3,91151,18.5,19.75,19.5,True,19.5,
20060629,92687,1,1544.75,,92807,S07,1563.25,1567.0,3,92807,18.5,19.75,3.0,True,3.0,
20060630,93671,-1,1625.25,,93791,S07,1606.75,1595.25,3,93791,18.5,19.75,10.75,True,10.75,
20060705,95140,-1,1602.25,,95260,S07,1583.75,1566.75,3,95260,18.5,19.75,16.25,True,16.25,
20060707,96812,-1,1570.75,,96932,S07,1552.25,1558.75,3,96932,18.5,19.75,-7.25,True,-7.25,
20060710,97762,-1,1535.5,,-1,PV2_V7m,1535.0,1536.0,1,97766,0.5,1.75,-1.75,True,-1.75,
20060711,98360,-1,1546.5,,98480,S07,1528.0,1528.5,3,98480,18.5,19.75,-1.25,True,-1.25,
20060712,99285,1,1523.0,,99405,S07,1541.5,1530.0,3,99405,18.5,19.75,-12.25,True,-12.25,
20060713,100239,-1,1519.75,,100359,S07,1501.25,1506.0,3,100359,18.5,19.75,-5.5,True,-5.5,
20060714,101221,-1,1509.0,,101341,S07,1490.5,1469.5,3,101341,18.5,19.75,20.25,True,20.25,
20060717,102042,1,1461.0,,102162,S07,1479.5,1482.25,3,102162,18.5,19.75,2.0,True,2.0,
20060719,103779,1,1463.75,,103899,S07,1482.25,1495.5,3,103899,18.5,19.75,12.5,True,12.5,
20060720,104692,1,1489.0,,104812,S07,1507.5,1497.0,3,104812,18.5,19.75,-11.25,True,-11.25,
20060721,105596,-1,1485.5,,105716,S07,1467.0,1466.0,3,105716,18.5,19.75,0.25,True,0.25,
20060725,107251,1,1475.75,,107371,S07,1494.25,1490.5,3,107371,18.5,19.75,-4.5,True,-4.5,
20060726,108035,-1,1509.75,,108155,S07,1491.25,1490.0,3,108155,18.5,19.75,0.5,True,0.5,
20060727,108872,1,1492.5,,108992,S07,1511.0,1507.75,3,108992,18.5,19.75,-4.0,True,-4.0,
20060728,109655,-1,1515.0,,109775,S07,1496.5,1513.25,3,109775,18.5,19.75,-17.5,True,-17.5,
20060731,110364,-1,1530.5,,110484,S07,1512.0,1518.75,3,110484,18.5,19.75,-7.5,True,-7.5,
20060801,111107,-1,1521.25,,111227,S07,1502.75,1492.0,3,111227,18.5,19.75,10.0,True,10.0,
