riz_id,tf,date,entry_mod,side,t0_kind,confirmed,twin_absorbed,zone_age_d,e,b,M,d,s,minutes_t0_to_q,run_t0_q,M_minus_b,close_q_from_b,touched_b_before_q,status,p0,Y,X,G,G_lo,G_hi,ret,ret_lo,ret_hi,cont,cont_lo,cont_hi,minutes_held
riz_317119fca4de77b6fdd710146f584a68,165,20060111,630,south,minute_ignition,False,False,0.42569444444444443,1296.75,1295.0,1294.0,-1.75,3.0,47,-2.0,1.0,-1.75,True,b_at_entry,,,,,,,,,,,,,
riz_1df7921f5ca62a88360c264fb7c4abbd,169,20060119,823,north,minute_ignition,False,False,3.234722222222222,1292.0,1292.25,1292.5,-0.25,0.75,1,-0.5,0.25,-0.25,True,b_at_entry,,,,,,,,,,,,,
riz_32a2a5d8efcc74d18536a8b7b2aa5515,141,20060119,909,north,minute_ignition,False,False,3.307638888888889,1289.0,1291.0,1293.0,-2.0,4.25,121,-2.25,2.0,-2.0,True,b_at_entry,,,,,,,,,,,,,
riz_c9c157675fc8fb46bc2a5bf6d201db2f,141,20060127,909,south,minute_ignition,False,False,7.0375,1286.5,1283.75,1283.25,-2.75,3.5,87,-3.25,0.5,-3.0,True,b_at_entry,,,,,,,,,,,,,
riz_a0b95e7a946944564106203869d52015,129,20060203,801,north,native_confirmation,True,False,8.716666666666667,1273.25,1271.25,1273.5,2.0,0.5,0,0.0,2.25,2.0,False,a_first,0.2,0.0,-0.2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,1.0
riz_ec56d6d35c5b6b814b1c76bfebf8c453,121,20060222,608,north,minute_ignition,True,False,1.2513888888888889,1289.0,1288.75,1290.0,0.25,1.25,1,-0.25,1.25,0.25,False,b_first,0.8333333333333334,1.0,0.16666666666666663,0.25,0.25,0.25,0.25,0.25,0.25,-0.25,-0.25,-0.25,1.0
riz_aa5bf19d1f1607d9547f29ebfda9ed2d,174,20060222,684,north,minute_ignition,True,False,1.1201388888888888,1293.0,1291.5,1293.25,1.5,0.5,1,0.75,1.75,1.5,False,a_first,0.25,0.0,-0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,5.0
riz_979bff1d858eaeb2255e4afb7bcf05bb,179,20060222,714,north,minute_ignition,True,False,1.211111111111111,1293.25,1290.25,1294.5,3.0,1.5,54,2.75,4.25,3.0,True,a_first,0.3333333333333333,0.0,-0.3333333333333333,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,1.5,1.5,1.5,10.0
riz_63e51d62dadcf65e119d28348f8e1527,203,20060228,858,south,minute_ignition,False,False,12.145138888888889,1282.5,1282.5,1280.5,-0.0,2.25,197,-0.5,2.0,-0.0,True,b_at_entry,,,,,,,,,,,,,
riz_e1bcba4b8528e7f19af9a9f47f5ebf68,123,20060303,747,north,minute_ignition,True,False,0.2534722222222222,1292.25,1291.0,1292.25,1.25,0.25,4,1.0,1.25,1.25,True,a_first,0.16666666666666666,0.0,-0.16666666666666666,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,1.0
riz_52c79fef2b75496bd920d8a73b097d92,135,20060303,855,north,minute_ignition,True,False,3.96875,1296.75,1296.0,1299.0,0.75,2.5,45,0.0,3.0,0.5,True,b_first,0.7692307692307693,1.0,0.23076923076923073,0.75,0.75,0.75,0.75,0.75,0.75,-0.75,-0.75,-0.75,5.0
riz_b058ad94efb9a029ace09bed30d1a72b,128,20060310,920,south,minute_ignition,False,False,0.9847222222222223,1289.25,1288.75,1287.25,-0.5,2.25,22,-1.0,1.5,-0.75,True,b_at_entry,,,,,,,,,,,,,
riz_2c53ace997ffbb2810799518b782e50b,173,20060322,678,north,minute_ignition,False,False,6.723611111111111,1308.75,1310.25,1311.75,-1.5,3.25,56,-1.75,1.5,-1.5,True,b_at_entry,,,,,,,,,,,,,
riz_738d97af8a59cd086881ddcb83ad6875,204,20060330,864,south,minute_ignition,False,False,1.8416666666666666,1308.0,1307.75,1304.75,-0.25,3.5,72,-1.0,3.0,-0.25,True,b_at_entry,,,,,,,,,,,,,
riz_c1096eaccf7b00a9ecf900f8fcfede26,165,20060404,795,north,minute_ignition,False,False,0.9590277777777778,1312.0,1313.0,1313.75,-1.0,2.0,59,-1.25,0.75,-1.0,True,b_at_entry,,,,,,,,,,,,,
riz_f6ca19415beb38e39b31c6071f4be5b4,152,20060406,856,north,native_confirmation,True,False,0.42291666666666666,1319.75,1319.25,1320.5,0.5,1.0,0,0.0,1.25,0.75,False,b_first,0.6666666666666666,1.0,0.33333333333333337,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,-0.5,4.0
riz_ecdac438597d9ea8ea6f34edd8824736,124,20060501,880,south,minute_ignition,False,False,4.343055555555556,1309.5,1308.5,1307.25,-1.0,2.5,2,-2.0,1.25,-1.0,True,b_at_entry,,,,,,,,,,,,,
riz_e490b3a241a1dad48793a3429655638f,175,20060503,690,south,minute_ignition,False,False,1.5722222222222222,1311.5,1310.0,1309.5,-1.5,2.25,51,-1.75,0.5,-1.5,True,b_at_entry,,,,,,,,,,,,,
riz_e63077fe3369aa656d7c72049ba21a7f,213,20060531,705,north,minute_ignition,True,False,5.800694444444445,1270.75,1268.0,1272.25,2.75,1.75,74,2.0,4.25,2.75,False,b_first,0.3888888888888889,1.0,0.6111111111111112,2.75,2.75,2.75,2.75,2.75,2.75,-2.75,-2.75,-2.75,82.0
