riz_id,tf,date,entry_mod,side,t0_kind,confirmed,twin_absorbed,zone_age_d,e,b,M,d,s,minutes_t0_to_q,run_t0_q,M_minus_b,close_q_from_b,touched_b_before_q,status,p0,Y,X,G,G_lo,G_hi,ret,ret_lo,ret_hi,cont,cont_lo,cont_hi,minutes_held
riz_a48b847c18de3686d0224e8e0015ee17,123,20060118,624,north,minute_ignition,True,False,11.828472222222222,1736.5,1736.0,1737.5,0.5,1.25,1,-0.5,1.5,0.5,True,b_first,0.7142857142857143,1.0,0.2857142857142857,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,-0.5,1.0
riz_76e2bdeb25af04b1023925cb4fa36748,218,20060118,730,north,minute_ignition,False,False,11.77361111111111,1726.5,1734.0,1737.5,-7.5,11.25,108,-8.5,3.5,-7.5,True,b_at_entry,,,,,,,,,,,,,
riz_b0a5c3b7c09bfa2cd7479d4a85c58e88,174,20060126,684,south,minute_ignition,True,False,0.8020833333333334,1692.5,1696.5,1685.0,4.0,7.75,111,3.5,11.5,4.0,True,b_first,0.6595744680851063,1.0,0.34042553191489366,4.0,4.0,4.0,4.0,4.0,4.0,-4.0,-4.0,-4.0,14.0
riz_f68c673f1f0846192928736570a43f60,211,20060126,695,south,minute_ignition,False,False,0.7993055555555556,1695.5,1693.5,1685.0,-2.0,10.75,78,-2.0,8.5,-1.5,True,b_at_entry,,,,,,,,,,,,,
riz_47a76d97389834d9fff32512fbcf9dfa,212,20060126,700,south,minute_ignition,False,False,0.7986111111111112,1695.5,1692.0,1685.0,-3.5,10.75,78,-4.5,7.0,-3.5,True,b_at_entry,,,,,,,,,,,,,
riz_1634f897977c7a877ac076317a1f447b,193,20060127,605,north,minute_ignition,True,False,8.863194444444444,1725.5,1721.0,1726.5,4.5,1.25,4,3.5,5.5,4.5,False,a_first,0.21739130434782608,0.0,-0.21739130434782608,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,1.25,1.25,1.25,1.0
riz_7c37d651b7b86e62f016ead715fb24fe,163,20060215,618,north,native_confirmation,True,False,6.0,1679.0,1678.0,1679.5,1.0,0.75,0,0.0,1.5,1.0,False,a_first,0.42857142857142855,0.0,-0.42857142857142855,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,0.75,0.75,0.75,1.0
riz_a211b31f0ce2af40fc4588b6c6069da0,205,20060215,665,north,minute_ignition,False,False,5.968055555555556,1673.5,1679.5,1682.5,-6.0,9.25,46,-7.5,3.0,-6.5,True,b_at_entry,,,,,,,,,,,,,
riz_7f631a3a91923faaa90d8cc2880bb536,218,20060215,730,north,minute_ignition,False,False,5.926388888888889,1669.0,1681.5,1682.5,-12.5,13.75,106,-12.5,1.0,-12.0,True,b_at_entry,,,,,,,,,,,,,
riz_4eccaa00b693062f490a1f7bdc7e1e8d,160,20060221,600,south,minute_ignition,True,False,1.3180555555555555,1674.0,1679.5,1673.5,5.5,0.75,23,5.0,6.0,6.0,True,a_first,0.12,0.0,-0.12,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,0.75,0.75,0.75,1.0
riz_d225d3e468dc1d2f2b88441da82398a2,211,20060222,695,north,minute_ignition,True,False,1.14375,1681.0,1680.5,1683.0,0.5,2.25,4,0.0,2.5,0.5,True,b_first,0.8181818181818182,1.0,0.18181818181818177,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,-0.5,1.0
riz_6a8fa0a158b95e2a870e8aef694262a2,132,20060222,696,north,minute_ignition,True,False,1.2708333333333333,1680.5,1677.0,1683.0,3.5,2.75,7,3.0,6.0,3.5,True,a_first,0.44,0.0,-0.44,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,2.75,2.75,2.75,28.0
riz_d84bbdf9a3866e397f1495faa4c67b66,137,20060222,736,north,minute_ignition,False,False,1.1868055555555554,1682.5,1683.0,1684.5,-0.5,2.25,5,-1.5,1.5,-0.5,True,b_at_entry,,,,,,,,,,,,,
riz_8b3bb901f36cefc98b671b1f52fc0e06,229,20060222,785,north,minute_ignition,True,False,6.770138888888889,1687.0,1670.5,1688.5,16.5,1.75,102,14.5,18.0,16.5,False,a_first,0.0958904109589041,0.0,-0.0958904109589041,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,1.75,1.75,1.75,2.0
riz_25d306bb85098a3e827e813202cc144a,191,20060222,786,north,minute_ignition,True,False,6.795138888888889,1687.5,1668.5,1688.5,19.0,1.25,105,18.0,20.0,19.0,False,a_first,0.06172839506172839,0.0,-0.06172839506172839,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,1.25,1.25,1.25,1.0
riz_23a7edfd34f3000a960a9032710d2a73,129,20060222,801,north,minute_ignition,True,False,6.767361111111111,1686.0,1674.0,1689.5,12.0,3.75,116,11.0,15.5,12.0,True,censored_horizon,0.23809523809523808,,,1.5,1.5,1.5,1.5,1.5,1.5,-1.5,-1.5,-1.5,120.0
riz_9d07b5fdedcf2176b94716d5c8294a26,206,20060222,876,north,minute_ignition,True,False,1.1847222222222222,1683.0,1682.5,1689.5,0.5,6.75,146,0.0,7.0,0.5,True,b_first,0.9310344827586207,1.0,0.06896551724137934,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,-0.5,2.0
riz_fd60566d9b3ebb37351bd7856da9fec5,217,20060301,725,north,minute_ignition,False,False,1.1493055555555556,1695.5,1696.0,1697.0,-0.5,1.75,2,-1.0,1.0,-0.5,True,b_at_entry,,,,,,,,,,,,,
riz_110530ed1b4cb047a13eb1f310827449,123,20060301,747,north,minute_ignition,True,False,1.9583333333333333,1693.0,1689.0,1697.0,4.0,4.25,60,3.5,8.0,4.0,True,censored_horizon,0.5151515151515151,,,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,3.0,3.0,120.0
