riz_id,tf_minutes,zone_top,zone_bottom,bullish,precursor_formed_ts_ns,t0_ts_ns,t0_spine_pos,t0_kind,t0_exit_side,t0_close,t0_span_count,t0_native_bar_index,mod
riz_c92d31620d16cf00cad703b8eb4fc19d,197,13101.5,13054.75,True,1614749640000000000,1615486020000000000,4621612,minute_ignition,north,13103.0,1,30006,786
riz_f4c46d468107d3a2cc640f384beb384f,170,13367.5,13366.25,True,1617634800000000000,1620754920000000000,4679856,minute_ignition,north,13368.5,1,34566,821
riz_2afd55e21b4cac8fb16f3dd87888fbbd,233,14835.0,14828.25,False,1629365940000000000,1632163020000000000,4808043,minute_ignition,south,14827.0,1,23942,876
riz_17bd417b9e0b64e4d9e606a02382e8be,134,15719.5,15692.0,False,1635466440000000000,1638546300000000000,4881752,minute_ignition,south,15684.75,1,43964,644
riz_ab0b32cee736711134cda6d429ecbf23,229,13292.5,13259.75,True,1621530300000000000,1645713600000000000,4961181,minute_ignition,north,13301.75,1,28275,579
riz_132128e1c0c85d72b5ce0ab8308c00c4,139,12463.75,12436.25,True,1658750040000000000,1658939160000000000,5109391,minute_ignition,north,12464.25,1,42019,745
riz_da3eb67c1334e79b0c0f73c0d5e03465,174,14913.0,14909.0,False,1649192400000000000,1687797540000000000,5431667,minute_ignition,south,14903.25,1,35490,758
riz_5f3f365d3a8d7bc6afe374e4f6393de6,197,18127.5,18103.5,False,1722978000000000000,1723053960000000000,5827886,minute_ignition,south,18101.5,1,36996,845
riz_90405b1d36df76920bf525faf51e64c1,120,20656.5,20652.25,True,1731992400000000000,1732032360000000000,5929567,minute_ignition,north,20659.5,1,57384,665
riz_93a900ce067828aa920ea499452c0b7d,196,21488.75,21450.5,False,1737967680000000000,1738173720000000000,5995893,minute_ignition,south,21430.0,1,38352,781
riz_516309611843f7d9d2fa5ec25ccabd6b,159,25447.75,25417.75,True,1765973700000000000,1766154900000000000,6298704,minute_ignition,north,25453.0,1,45590,574
riz_2b02153456f74701f8128d692d19dac9,166,25457.0,25416.5,True,1765975800000000000,1766155380000000000,6298712,minute_ignition,north,25465.75,1,45471,582
