date,year,world,oid,label,resolved,day_pnl,minutes_since_open,risk_points,day_range_rel
20060127,2006,defer,20060127:PV2:+1:610,-4.5,True,0.0,40.0,2.75,1.2777777777777777
20060310,2006,defer,20060310:PV2:-1:603,-2.5,True,0.0,33.0,1.75,0.5416666666666666
20060327,2006,defer,20060327:PV2:+1:604,-3.5,True,0.0,34.0,1.75,0.5238095238095238
20060328,2006,take,20060328:PV2:+1:759,0.0,True,1.25,189.0,0.75,0.6666666666666666
20060328,2006,defer,20060328:PV2:+1:759,-2.0,True,0.0,189.0,0.75,0.6666666666666666
20060427,2006,defer,20060427:PV2:+1:621,,False,,,,
20060428,2006,defer,20060428:PV2:-1:605,,False,0.0,35.0,0.75,0.39473684210526316
20060511,2006,defer,20060511:PV2:-1:609,6.75,True,0.0,39.0,0.75,0.8666666666666667
20060518,2006,defer,20060518:PV2:-1:613,-2.75,True,0.0,43.0,1.5,0.6290322580645161
20060519,2006,defer,20060519:PV2:-1:615,-4.25,True,0.0,45.0,3.25,1.2419354838709677
20060524,2006,take,20060524:PV2:+1:602,-7.25,True,-19.75,32.0,6.0,1.463768115942029
20060524,2006,defer,20060524:PV2:+1:602,-7.25,True,0.0,32.0,6.0,1.463768115942029
20060602,2006,take,20060602:PV2:-1:711,-3.75,True,14.25,141.0,2.5,1.255813953488372
20060602,2006,defer,20060602:PV2:-1:711,-3.75,True,0.0,141.0,2.5,1.255813953488372
20060614,2006,defer,20060614:PV2:+1:602,-3.5,True,0.0,32.0,2.25,0.4700460829493088
20060629,2006,defer,20060629:PV2:+1:611,-2.0,True,0.0,41.0,0.75,0.3888888888888889
20060630,2006,defer,20060630:PV2:-1:606,,False,0.0,36.0,3.0,0.6481481481481481
20060705,2006,defer,20060705:PV2:-1:604,7.0,True,0.0,34.0,2.0,0.5288461538461539
20060713,2006,defer,20060713:PV2:-1:607,-2.75,True,0.0,37.0,1.5,0.5148514851485149
20060719,2006,defer,20060719:PV2:+1:606,-2.25,True,0.0,36.0,1.0,0.7623762376237624
20060726,2006,defer,20060726:PV2:-1:613,-2.5,True,0.0,43.0,1.25,0.38613861386138615
20060801,2006,defer,20060801:PV2:-1:607,1.0,True,0.0,37.0,2.75,0.42857142857142855
20060925,2006,take,20060925:PV2:+1:775,-4.0,True,-4.0,205.0,2.75,1.4709677419354839
20060925,2006,defer,20060925:PV2:+1:775,-4.0,True,0.0,205.0,2.75,1.4709677419354839
20061017,2006,defer,20061017:PV2:-1:606,5.25,True,0.0,36.0,1.75,0.6710526315789473
20061020,2006,defer,20061020:PV2:-1:603,-5.0,True,0.0,33.0,3.75,0.9150326797385621
20061023,2006,defer,20061023:PV2:+1:620,1.75,True,0.0,50.0,1.75,1.436241610738255
20061026,2006,take,20061026:PV2:+1:850,-2.0,True,5.0,280.0,0.75,1.294871794871795
20061026,2006,defer,20061026:PV2:+1:850,-2.0,True,0.0,280.0,0.75,1.294871794871795
20061107,2006,defer,20061107:PV2:+1:608,6.75,True,0.0,38.0,2.75,0.6333333333333333
20061201,2006,defer,20061201:PV2:-1:602,-1.25,True,0.0,32.0,8.5,0.7928994082840237
20061208,2006,defer,20061208:PV2:+1:686,-2.5,True,0.0,116.0,3.5,1.3703703703703705
20061214,2006,take,20061214:PV2:+1:605,-0.75,True,-19.75,35.0,3.75,1.0424242424242425
20061214,2006,defer,20061214:PV2:+1:605,-0.75,True,0.0,35.0,3.75,1.0424242424242425
20061218,2006,take,20061218:PV2:-1:896,-2.25,True,3.5,326.0,0.75,1.6449704142011834
20061218,2006,defer,20061218:PV2:-1:896,-2.25,True,0.0,326.0,0.75,1.6449704142011834
20070103,2007,defer,20070103:PV2:+1:623,1.0,True,0.0,53.0,3.25,0.655367231638418
20070118,2007,defer,20070118:PV2:-1:611,,False,0.0,41.0,3.25,1.1111111111111112
20070126,2007,defer,20070126:PV2:-1:602,-7.25,True,0.0,32.0,6.0,0.8343558282208589
20070206,2007,defer,20070206:PV2:-1:651,6.5,True,0.0,81.0,1.75,0.7142857142857143
20070207,2007,defer,20070207:PV2:+1:645,0.75,True,0.0,75.0,2.5,0.8809523809523809
20070212,2007,defer,20070212:PV2:-1:607,-3.25,True,0.0,37.0,2.25,0.4880952380952381
20070227,2007,take,20070227:PV2:-1:726,0.0,True,1.5,156.0,1.0,1.1746031746031746
20070227,2007,defer,20070227:PV2:-1:726,-2.0,True,0.0,156.0,1.0,1.1746031746031746
20070313,2007,take,20070313:PV2:-1:745,0.0,True,1.75,175.0,1.25,1.037037037037037
20070313,2007,defer,20070313:PV2:-1:745,-2.75,True,0.0,175.0,1.25,1.037037037037037
20070319,2007,defer,20070319:PV2:+1:668,-2.5,True,0.0,98.0,1.25,0.7015706806282722
20070322,2007,defer,20070322:PV2:-1:604,-3.25,True,0.0,34.0,2.0,0.5235602094240838
20070409,2007,defer,20070409:PV2:-1:612,-2.75,True,0.0,42.0,1.5,0.7702702702702703
20070411,2007,defer,20070411:PV2:-1:602,-2.5,True,0.0,32.0,1.25,0.49295774647887325
