id,instrument,k,wait,horizon,stop,signals,no_entry,conflicts,unknown_outcomes,excluded_days,days,trades,total,mean_day,mean_trade,win_rate,max_drawdown,median_minutes
ES_k2_w10_h15_swing,ES,2,10,15,swing,3667,195,0,2,113,5002,3423,-126840.0,-25.357856857257097,-37.05521472392638,0.3470639789658195,128577.5,15.0
ES_k2_w10_h15_time,ES,2,10,15,time,3667,195,0,2,113,5002,3423,-125702.5,-25.13044782087165,-36.72290388548057,0.4095822378030967,127757.5,15.0
ES_k2_w10_h30_swing,ES,2,10,30,swing,3667,195,0,4,113,5002,3423,-122865.0,-24.563174730107956,-35.89395267309378,0.31463628396143734,127542.5,19.0
ES_k2_w10_h30_time,ES,2,10,30,time,3667,195,0,4,113,5002,3423,-106815.0,-21.354458216713315,-31.205083260297986,0.42857142857142855,110257.5,30.0
ES_k2_w10_h60_swing,ES,2,10,60,swing,3667,195,0,5,113,5002,3423,-122040.0,-24.398240703718514,-35.65293602103418,0.2728600642711072,125202.5,19.0
ES_k2_w10_h60_time,ES,2,10,60,time,3667,195,0,7,113,5002,3423,-110065.0,-22.00419832067173,-32.15454279871458,0.45106631609699094,118462.5,60.0
ES_k2_w10_h120_swing,ES,2,10,120,swing,3667,195,0,10,113,5002,3423,-137690.0,-27.526989204318273,-40.22494887525562,0.22085889570552147,140035.0,19.0
ES_k2_w10_h120_time,ES,2,10,120,time,3667,195,0,14,113,5002,3423,-141590.0,-28.30667732906837,-41.364300321355536,0.45895413380075956,144277.5,120.0
ES_k2_w30_h15_swing,ES,2,30,15,swing,3956,251,0,3,113,5002,3653,-139502.5,-27.889344262295083,-38.18847522584177,0.34629071995620037,141835.0,15.0
ES_k2_w30_h15_time,ES,2,30,15,time,3956,251,0,3,113,5002,3653,-137702.5,-27.529488204718113,-37.695729537366546,0.3999452504790583,140392.5,15.0
ES_k2_w30_h30_swing,ES,2,30,30,swing,3956,251,0,5,113,5002,3653,-146877.5,-29.36375449820072,-40.207363810566655,0.3200109499041883,147447.5,23.0
ES_k2_w30_h30_time,ES,2,30,30,time,3956,251,0,5,113,5002,3653,-136002.5,-27.189624150339863,-37.23035860936217,0.4221188064604435,136345.0,30.0
ES_k2_w30_h60_swing,ES,2,30,60,swing,3956,251,0,5,113,5002,3653,-155990.0,-31.185525789684128,-42.701888858472486,0.27812756638379416,156697.5,23.0
ES_k2_w30_h60_time,ES,2,30,60,time,3956,251,0,8,113,5002,3653,-153865.0,-30.760695721711315,-42.12017519846702,0.4369011771147002,156240.0,60.0
ES_k2_w30_h120_swing,ES,2,30,120,swing,3956,251,0,10,113,5002,3653,-164077.5,-32.80237904838065,-44.91582261155215,0.23405420202573227,164077.5,23.0
ES_k2_w30_h120_time,ES,2,30,120,time,3956,251,0,15,113,5002,3653,-183965.0,-36.77828868452619,-50.359978100191626,0.4483985765124555,185152.5,120.0
ES_k2_w60_h15_swing,ES,2,60,15,swing,4056,257,0,3,113,5002,3746,-143267.5,-28.64204318272691,-38.24546182594768,0.3443673251468233,145600.0,15.0
ES_k2_w60_h15_time,ES,2,60,15,time,4056,257,0,3,113,5002,3746,-142517.5,-28.492103158736505,-38.045248264815804,0.395621996796583,145207.5,15.0
ES_k2_w60_h30_swing,ES,2,60,30,swing,4056,257,0,5,113,5002,3746,-148005.0,-29.589164334266293,-39.51014415376402,0.3214095034703684,148575.0,26.0
ES_k2_w60_h30_time,ES,2,60,30,time,4056,257,0,5,113,5002,3746,-139967.5,-27.982307077169132,-37.36452215696743,0.4183128670581954,140300.0,30.0
ES_k2_w60_h60_swing,ES,2,60,60,swing,4056,257,0,5,113,5002,3746,-161142.5,-32.2156137544982,-43.01721836625734,0.28323545114789106,161850.0,26.0
ES_k2_w60_h60_time,ES,2,60,60,time,4056,257,0,7,113,5002,3746,-164180.0,-32.82287085165934,-43.828083288841434,0.43566470902295784,166500.0,60.0
ES_k2_w60_h120_swing,ES,2,60,120,swing,4056,257,0,10,113,5002,3746,-164680.0,-32.92283086765294,-43.96155899626268,0.24105712760277628,164680.0,26.0
ES_k2_w60_h120_time,ES,2,60,120,time,4056,257,0,14,113,5002,3746,-191330.0,-38.25069972011195,-51.07581420181527,0.4468766684463428,192285.0,120.0
ES_k3_w10_h15_swing,ES,3,10,15,swing,2691,73,0,0,113,5002,2578,-68202.5,-13.635045981607357,-26.455585725368504,0.4034134988363072,73032.5,15.0
ES_k3_w10_h15_time,ES,3,10,15,time,2691,73,0,0,113,5002,2578,-62352.5,-12.465513794482208,-24.186384794414273,0.43638479441427463,66290.0,15.0
ES_k3_w10_h30_swing,ES,3,10,30,swing,2691,73,0,2,113,5002,2578,-55902.5,-11.176029588164734,-21.684445306439102,0.37897595034910786,68305.0,30.0
ES_k3_w10_h30_time,ES,3,10,30,time,2691,73,0,2,113,5002,2578,-41340.0,-8.26469412235106,-16.035686578743213,0.4561675717610551,54342.5,30.0
ES_k3_w10_h60_swing,ES,3,10,60,swing,2691,73,0,3,113,5002,2578,-49115.0,-9.819072371051579,-19.051590380139643,0.3386346004654771,64392.5,34.0
ES_k3_w10_h60_time,ES,3,10,60,time,2691,73,0,7,113,5002,2578,-27390.0,-5.475809676129548,-10.624515128006207,0.47905352986811484,40505.0,60.0
ES_k3_w10_h120_swing,ES,3,10,120,swing,2691,73,0,4,113,5002,2578,-79002.5,-15.794182327069173,-30.64487975174554,0.2800620636152056,88917.5,34.0
ES_k3_w10_h120_time,ES,3,10,120,time,2691,73,0,11,113,5002,2578,-76002.5,-15.194422231107557,-29.481186966640806,0.48021722265321953,82017.5,120.0
ES_k3_w30_h15_swing,ES,3,30,15,swing,3291,125,0,1,113,5002,3121,-82017.5,-16.396941223510595,-26.279237423902597,0.3985901954501762,87002.5,15.0
ES_k3_w30_h15_time,ES,3,30,15,time,3291,125,0,1,113,5002,3121,-82180.0,-16.429428228708517,-26.33130406920859,0.4239025953220122,87217.5,15.0
ES_k3_w30_h30_swing,ES,3,30,30,swing,3291,125,0,3,113,5002,3121,-84880.0,-16.96921231507397,-27.196411406600447,0.3851329702018584,93790.0,30.0
ES_k3_w30_h30_time,ES,3,30,30,time,3291,125,0,3,113,5002,3121,-78767.5,-15.747201119552178,-25.237904517782763,0.4412047420698494,89025.0,30.0
