year,train_start,train_stop,train_days,expected_train_days,variant,train_mean,test_days,test_trades,test_net
2010,2007-01-01,2009-12-31,712,756,S-05/YM_k2_w10_h120_time,5.470505617977528,233,186,1790.0
2011,2008-01-01,2010-12-31,722,757,S-05/YM_k2_w10_h120_time,14.023545706371191,241,212,1580.0
2012,2009-01-01,2011-12-31,716,756,S-05/YM_k2_w60_h120_time,16.83659217877095,239,198,-760.0
2013,2010-01-01,2012-12-31,713,754,S-05/YM_k2_w30_h120_time,8.84992987377279,240,203,1800.0
2014,2011-01-01,2013-12-31,720,754,S-05/NQ_k4_w10_h120_time,7.416666666666667,240,107,-1325.0
2015,2012-01-01,2014-12-31,719,754,S-05/NQ_k3_w60_h120_time,16.66203059805285,250,227,-7650.0
2016,2013-01-01,2015-12-31,730,756,S-05/NQ_k4_w60_h120_time,3.356164383561644,247,190,7875.0
2017,2014-01-01,2016-12-31,737,756,S-05/NQ_k4_w60_h120_time,11.44504748982361,245,175,-1405.0
2018,2015-01-01,2017-12-31,742,755,S-05/NQ_k2_w10_h120_time,5.781671159029649,247,238,-3570.0
2019,2016-01-01,2018-12-31,739,754,S-05/NQ_k4_w30_h30_time,15.987821380243572,249,192,-6880.0
2020,2017-01-01,2019-12-31,741,754,S-05/YM_k2_w30_h120_time,19.446693657219974,240,218,-4815.0
2021,2018-01-01,2020-12-31,736,756,S-05/YM_k3_w60_h120_time,23.91983695652174,246,229,3585.0
2022,2019-01-01,2021-12-31,735,757,S-05/NQ_k2_w10_h120_time,78.62585034013605,245,236,-7140.0
2023,2020-01-01,2022-12-31,731,756,S-05/NQ_k3_w30_h120_time,97.81121751025992,243,234,-17035.0
2024,2021-01-01,2023-12-31,734,753,S-05/NQ_k3_w60_h120_time,77.64986376021798,247,241,38190.0
2025,2022-01-01,2024-12-31,735,753,S-05/NQ_k4_w10_h120_time,68.85034013605443,235,159,-405.0
2026,2023-01-01,2025-12-31,725,752,S-05/NQ_k3_w30_h60_time,128.55172413793105,67,65,15815.0
