minutes,n,mean_points,median_points,q10,q90,net_total,mean_net
1,4395,0.1316268486916951,0.0,-5.0,5.75,-54355.0,-12.367463026166098
2,4395,0.22309442548350397,0.25,-6.75,8.5,-46315.0,-10.53811149032992
3,4395,0.24465301478953355,0.0,-8.75,10.25,-44420.0,-10.10693970420933
4,4395,0.37457337883959047,0.0,-9.75,11.5,-33000.0,-7.508532423208191
5,4395,0.2923777019340159,0.25,-12.0,13.75,-40225.0,-9.152445961319682
6,4395,0.29146757679180885,0.25,-13.0,14.5,-40305.0,-9.170648464163822
7,4395,0.6728668941979522,0.25,-13.5,15.75,-6780.0,-1.5426621160409557
8,4395,0.5968714448236633,0.25,-14.5,17.75,-13460.0,-3.062571103526735
9,4395,0.6128555176336746,0.25,-15.0,18.0,-12055.0,-2.7428896473265074
10,4395,0.4816268486916951,0.25,-15.649999999999991,19.0,-23590.0,-5.367463026166098
11,4395,0.44243458475540387,0.25,-17.75,20.0,-27035.0,-6.151308304891923
12,4395,0.7180887372013652,0.25,-17.75,20.75,-2805.0,-0.6382252559726962
13,4395,0.7223549488054608,0.25,-18.5,21.25,-2430.0,-0.552901023890785
14,4395,0.7744027303754266,0.25,-19.25,21.75,2145.0,0.4880546075085324
15,4395,0.7494311717861206,0.25,-20.25,22.75,-50.0,-0.011376564277588168
16,4395,0.8468145620022753,0.25,-21.5,23.649999999999977,8510.0,1.9362912400455063
17,4395,0.9598976109215017,0.5,-21.0,24.25,18450.0,4.197952218430034
18,4395,1.000056882821388,0.5,-21.89999999999999,24.5,21980.0,5.001137656427759
19,4395,1.1103526734926052,0.5,-21.75,25.25,31675.0,7.207053469852105
20,4395,0.9782138794084186,0.5,-23.0,26.149999999999977,20060.0,4.564277588168373
21,4395,1.073265073947668,0.5,-23.75,27.5,28415.0,6.465301478953356
22,4395,1.1287258248009102,0.5,-23.64999999999999,27.25,33290.0,7.5745164960182025
23,4395,1.1532992036405005,0.5,-24.39999999999999,28.25,35450.0,8.06598407281001
24,4395,1.1795790671217292,0.5,-24.75,29.0,37760.0,8.591581342434585
25,4395,1.0878270762229807,0.5,-25.5,30.5,29695.0,6.756541524459613
26,4395,1.2282707622298066,0.5,-24.89999999999999,31.25,42040.0,9.565415244596132
27,4395,1.1911262798634812,0.5,-25.89999999999999,30.899999999999977,38775.0,8.822525597269625
28,4395,1.1300341296928327,0.5,-26.25,32.14999999999998,33405.0,7.600682593856655
29,4395,1.0861774744027304,0.5,-26.75,31.25,29550.0,6.723549488054608
30,4395,1.2926621160409557,0.5,-27.25,32.39999999999998,47700.0,10.853242320819113
31,4395,1.372013651877133,0.5,-27.75,33.64999999999998,54675.0,12.440273037542662
32,4395,1.4031285551763368,0.5,-28.0,34.0,57410.0,13.062571103526736
33,4395,1.3150739476678044,0.5,-28.5,33.5,49670.0,11.301478953356087
34,4395,1.3473833902161547,0.5,-28.89999999999999,34.39999999999998,52510.0,11.947667804323094
35,4395,1.6315699658703071,0.5,-28.75,35.75,77490.0,17.631399317406142
36,4395,1.5751990898748578,0.5,-28.0,35.0,72535.0,16.503981797497154
37,4395,1.4997155858930602,0.5,-28.25,35.0,65900.0,14.994311717861207
38,4395,1.513424345847554,0.75,-29.0,34.5,67105.0,15.268486916951082
39,4395,1.4232650739476678,0.5,-29.5,35.5,59180.0,13.465301478953355
40,4395,1.561376564277588,0.5,-29.0,35.75,71320.0,16.227531285551763
41,4395,1.6445392491467576,0.75,-29.0,36.39999999999998,78630.0,17.890784982935152
42,4395,1.6675199089874857,0.5,-29.25,37.75,80650.0,18.350398179749714
43,4395,1.8097838452787258,0.5,-29.5,37.75,93155.0,21.195676905574516
44,4395,1.7137087599544938,0.5,-29.5,37.5,84710.0,19.274175199089875
45,4395,1.6532423208191127,0.5,-30.5,36.75,79395.0,18.064846416382252
46,4395,1.722980659840728,0.5,-31.5,37.64999999999998,85525.0,19.459613196814562
47,4395,1.6914675767918088,0.5,-30.89999999999999,37.0,82755.0,18.829351535836178
48,4395,1.6418088737201366,0.75,-32.0,37.75,78390.0,17.83617747440273
49,4395,1.6670079635949944,0.5,-33.0,39.64999999999998,80605.0,18.340159271899886
50,4395,1.610409556313993,0.5,-32.5,38.799999999999955,75630.0,17.208191126279864
51,4395,1.596075085324232,0.5,-32.75,39.5,74370.0,16.92150170648464
52,4395,1.6265073947667805,0.75,-33.64999999999999,39.549999999999955,77045.0,17.53014789533561
53,4395,1.5993742889647327,0.5,-33.25,39.0,74660.0,16.98748577929465
54,4395,1.6899886234357224,0.5,-33.5,38.25,82625.0,18.799772468714448
55,4395,1.749943117178612,0.5,-33.5,38.5,87895.0,19.99886234357224
56,4395,1.7843003412969283,0.5,-34.39999999999999,39.75,90915.0,20.686006825938566
57,4395,1.8490898748577929,0.5,-34.5,40.39999999999998,96610.0,21.98179749715586
58,4395,1.848862343572241,0.5,-34.04999999999998,40.75,96590.0,21.977246871444823
59,4395,1.9543799772468715,0.75,-34.89999999999999,41.64999999999998,105865.0,24.08759954493743
60,4395,1.9311149032992037,0.75,-34.5,41.75,103820.0,23.622298065984072
61,4395,1.870250284414107,0.5,-35.89999999999999,42.39999999999998,98470.0,22.405005688282138
62,4395,1.9789533560864618,0.5,-36.5,42.25,108025.0,24.57906712172924
63,4395,1.9255972696245733,0.5,-35.75,42.25,103335.0,23.511945392491466
64,4395,1.9962457337883959,0.5,-35.75,42.89999999999998,109545.0,24.92491467576792
65,4395,2.132480091012514,0.5,-36.5,42.64999999999998,121520.0,27.649601820250286
66,4395,2.2160409556313994,0.75,-37.0,43.0,128865.0,29.320819112627987
67,4395,2.014277588168373,0.75,-36.89999999999999,43.64999999999998,111130.0,25.28555176336746
68,4395,1.9526166097838453,0.5,-37.5,44.14999999999998,105710.0,24.052332195676904
69,4395,1.8591012514220706,0.75,-37.64999999999999,45.14999999999998,97490.0,22.182025028441412
70,4395,1.823890784982935,0.5,-39.5,44.75,94395.0,21.477815699658702
71,4395,1.699146757679181,0.5,-39.14999999999999,45.14999999999998,83430.0,18.982935153583618
72,4395,1.5622866894197953,0.5,-38.75,45.0,71400.0,16.245733788395903
73,4395,1.5976109215017065,0.5,-38.25,46.25,74505.0,16.95221843003413
74,4395,1.4755972696245734,0.5,-37.89999999999999,45.5,63780.0,14.511945392491468
75,4395,1.5166666666666666,0.75,-39.14999999999999,45.39999999999998,67390.0,15.333333333333334
76,4395,1.6069965870307168,0.5,-38.75,45.89999999999998,75330.0,17.139931740614333
77,4395,1.6772468714448237,0.5,-38.54999999999998,46.5,81505.0,18.544937428896475
78,4395,1.6627986348122867,0.25,-39.5,46.0,80235.0,18.255972696245735
79,4395,1.7579067121729237,0.5,-40.75,45.75,88595.0,20.158134243458477
80,4395,1.7908987485779295,0.5,-40.0,45.0,91495.0,20.817974971558588
81,4395,1.804721274175199,0.5,-40.25,46.0,92710.0,21.094425483503983
82,4395,1.7299772468714447,0.5,-40.64999999999999,46.25,86140.0,19.599544937428895
83,4395,1.752901023890785,0.5,-41.14999999999999,47.0,88155.0,20.0580204778157
84,4395,1.674914675767918,0.5,-41.0,46.64999999999998,81300.0,18.498293515358363
85,4395,1.6608077360637088,0.5,-40.25,46.75,80060.0,18.216154721274176
86,4395,1.734414106939704,0.5,-41.25,46.5,86530.0,19.688282138794083
87,4395,1.633560864618885,0.5,-40.25,47.89999999999998,77665.0,17.6712172923777
88,4395,1.5858930602957906,0.5,-40.89999999999999,48.0,73475.0,16.717861205915813
89,4395,1.557679180887372,0.5,-40.64999999999999,48.39999999999998,70995.0,16.15358361774744
