year,known_days,trades,net,frequency
2006,196,135,-155.0,0.6887755102040817
2007,236,171,-4845.0,0.7245762711864406
2008,247,223,-5025.0,0.902834008097166
2009,246,205,-1205.0,0.8333333333333334
2010,243,200,-3810.0,0.823045267489712
2011,252,223,-3465.0,0.8849206349206349
2012,249,206,3160.0,0.8273092369477911
2013,246,197,-1830.0,0.8008130081300813
2014,246,208,1125.0,0.8455284552845529
2015,252,228,-5355.0,0.9047619047619048
2016,251,220,2910.0,0.8764940239043825
2017,249,210,3905.0,0.8433734939759037
2018,250,241,-3320.0,0.964
2019,252,235,-15530.0,0.9325396825396826
2020,242,227,6470.0,0.9380165289256198
2021,249,239,36395.0,0.9598393574297188
2022,248,241,1550.0,0.9717741935483871
2023,249,242,1120.0,0.9718875502008032
2024,247,241,23590.0,0.9757085020242915
2025,238,229,66150.0,0.9621848739495799
2026,78,74,1985.0,0.9487179487179487
