year,train_days,expected_train_days,variant,train_mean,test_days,test_trades,test_net
2010,712,756,,,233,0,0.0
2011,722,757,,,241,0,0.0
2012,716,756,,,239,0,0.0
2013,713,754,,,240,0,0.0
2014,720,754,,,240,0,0.0
2015,719,754,,,250,0,0.0
2016,730,756,,,247,0,0.0
2017,737,756,,,245,0,0.0
2018,742,755,,,247,0,0.0
2019,739,754,,,249,0,0.0
2020,741,754,,,240,0,0.0
2021,736,756,,,246,0,0.0
2022,735,757,,,245,0,0.0
2023,731,756,,,243,0,0.0
2024,734,753,,,247,0,0.0
2025,735,753,,,235,0,0.0
2026,725,752,,,67,0,0.0
