year,train_days,variant,test_trades,test_net
2010,712,S-05/v1/YM_k2_w10_h120_time,186,1790.0
2011,722,S-05/v1/YM_k2_w10_h120_time,212,1580.0
2012,716,S-05/v1/YM_k2_w60_h120_time,198,-760.0
2013,713,S-05/v1/YM_k2_w30_h120_time,203,1800.0
2014,720,S-05/v1/NQ_k4_w10_h120_time,107,-1325.0
2015,719,S-05/v1/NQ_k3_w60_h120_time,227,-7650.0
2016,730,S-04/v1/YM_k3_w10_h60_swing,165,-3930.0
2017,737,S-05/v1/NQ_k4_w60_h120_time,175,-1405.0
2018,742,S-04/v1/ES_k3_w30_h120_time,185,-1287.5
2019,739,S-05/v1/NQ_k4_w30_h30_time,192,-6880.0
2020,741,S-05/v1/YM_k2_w30_h120_time,218,-4815.0
2021,736,S-04/v1/YM_k4_w10_h120_time,152,-7155.0
2022,735,S-05/v1/NQ_k2_w10_h120_time,236,-7140.0
2023,731,S-05/v1/NQ_k3_w30_h120_time,234,-17035.0
2024,734,S-05/v1/NQ_k3_w60_h120_time,241,38190.0
2025,735,S-05/v1/NQ_k4_w10_h120_time,159,-405.0
2026,725,S-05/v1/NQ_k3_w30_h60_time,65,15815.0
