year,train_days,expected_train_days,variant,train_mean,test_days,test_trades,test_net
2010,712,756,S-05/YM_k2_w10_h120_time,5.470505617977528,233,186,1790.0
2011,722,757,S-05/YM_k2_w10_h120_time,14.023545706371191,241,212,1580.0
2012,716,756,S-05/YM_k2_w60_h120_time,16.83659217877095,239,198,-760.0
2013,713,754,S-05/YM_k2_w30_h120_time,8.84992987377279,240,203,1800.0
2014,720,754,S-05/NQ_k4_w10_h120_time,7.416666666666667,240,107,-1325.0
2015,719,754,S-05/NQ_k3_w60_h120_time,16.66203059805285,250,227,-7650.0
2016,730,756,S-04/YM_k3_w10_h60_swing,4.931506849315069,247,165,-3930.0
2017,737,756,S-05/NQ_k4_w60_h120_time,11.44504748982361,245,175,-1405.0
2018,742,755,S-04/ES_k3_w30_h120_time,6.307277628032345,247,185,-1287.5
2019,739,754,S-05/NQ_k4_w30_h30_time,15.987821380243572,249,192,-6880.0
2020,741,754,S-05/YM_k2_w30_h120_time,19.446693657219974,240,218,-4815.0
2021,736,756,S-04/YM_k4_w10_h120_time,31.331521739130434,246,152,-7155.0
2022,735,757,S-05/NQ_k2_w10_h120_time,78.62585034013605,245,236,-7140.0
2023,731,756,S-05/NQ_k3_w30_h120_time,97.81121751025992,243,234,-17035.0
2024,734,753,S-05/NQ_k3_w60_h120_time,77.64986376021798,247,241,38190.0
2025,735,753,S-05/NQ_k4_w10_h120_time,68.85034013605443,235,159,-405.0
2026,725,752,S-05/NQ_k3_w30_h60_time,128.55172413793105,67,65,15815.0
