id,instrument,k,entry,horizon,decisions,trades,trade_days,known_days,frequency_2020,total,mean_trade,max_dd,win_rate,median_hold,ambiguous_sides,unknown,net_before_2020,net_2020
ES_k3_stop_h5,ES,3,stop,5,209083,51672,4123,5002,0.9286632390745502,-1974435.0,-38.21092661402694,1974435.0,0.2954791763430872,5.0,579,11,-1234572.5,-739862.5
ES_k3_stop_h15,ES,3,stop,15,209083,32227,4123,5002,0.9286632390745502,-1310522.5,-40.6653582399851,1310522.5,0.3227728302355168,15.0,285,13,-840917.5,-469605.0
ES_k3_stop_h30,ES,3,stop,30,209083,25429,4123,5002,0.9286632390745502,-1019482.5,-40.09133273034724,1019570.0,0.2996185457548468,16.0,225,14,-654615.0,-364867.5
ES_k3_close_h5,ES,3,close,5,50859,33472,3896,5002,0.8933161953727506,-1148947.5,-34.32563037762906,1149250.0,0.3320387189292543,5.0,0,5,-675987.5,-472960.0
ES_k3_close_h15,ES,3,close,15,50859,24144,3896,5002,0.8933161953727506,-862670.0,-35.730202120609675,863087.5,0.3555748840291584,15.0,0,8,-553105.0,-309565.0
ES_k3_close_h30,ES,3,close,30,50859,19741,3896,5002,0.8933161953727506,-691405.0,-35.023808317714405,692487.5,0.33863532749100855,22.0,0,10,-442195.0,-249210.0
ES_k5_stop_h5,ES,5,stop,5,96346,27596,3750,5002,0.8611825192802056,-1041042.5,-37.72439846354544,1041082.5,0.30265255834178867,5.0,158,5,-619797.5,-421245.0
ES_k5_stop_h15,ES,5,stop,15,96346,19512,3750,5002,0.8611825192802056,-786060.0,-40.2859778597786,787612.5,0.33635711357113574,15.0,104,9,-485107.5,-300952.5
ES_k5_stop_h30,ES,5,stop,30,96346,16158,3750,5002,0.8611825192802056,-642690.0,-39.77534348310434,646327.5,0.3153236786731031,19.0,80,10,-408840.0,-233850.0
ES_k5_close_h5,ES,5,close,5,20216,15841,3377,5002,0.8065552699228792,-559767.5,-35.336626475601285,559800.0,0.33470109210277127,5.0,0,1,-319007.5,-240760.0
ES_k5_close_h15,ES,5,close,15,20216,12951,3377,5002,0.8065552699228792,-484567.5,-37.41545054435951,485377.5,0.3631379816230407,15.0,0,4,-299140.0,-185427.5
ES_k5_close_h30,ES,5,close,30,20216,11273,3377,5002,0.8065552699228792,-369190.0,-32.74993346935155,387305.0,0.35376563470238626,26.0,0,4,-257900.0,-111290.0
NQ_k3_stop_h5,NQ,3,stop,5,245804,65898,4644,4966,0.968407479045777,-1113225.0,-16.893153054720933,1118655.0,0.3779629123797384,5.0,887,14,-654665.0,-458560.0
