id,instrument,k,target,horizon,decisions,trades,trade_days,known_days,frequency_2020,total,gross,mean_trade,max_dd,win_rate,median_hold,ties,optimistic_total,unknown,net_before_2020,net_2020
ES_k3_reject_target_h5,ES,3,True,5,48106,39048,3795,5002,0.8676092544987146,-1337515.0,-166075.0,-34.25309875025609,1337555.0,0.2868264699856587,2.0,133,-1311052.5,5,-754125.0,-583390.0
ES_k3_reject_target_h15,ES,3,True,15,48106,36485,3795,5002,0.8676092544987146,-1275812.5,-181262.5,-34.96813759079074,1275815.0,0.30168562422913525,2.0,121,-1250475.0,7,-723100.0,-552712.5
ES_k3_reject_target_h30,ES,3,True,30,48106,36196,3795,5002,0.8676092544987146,-1269955.0,-184075.0,-35.085506685821635,1269957.5,0.3032655542048845,2.0,121,-1244692.5,7,-718777.5,-551177.5
ES_k3_reject_time_h5,ES,3,False,5,48106,35615,3801,5002,0.8676092544987146,-1128512.5,-60062.5,-31.686438298469746,1128727.5,0.25340446441106274,4.0,0,-1128512.5,6,-641690.0,-486822.5
ES_k3_reject_time_h15,ES,3,False,15,48106,28061,3801,5002,0.8676092544987146,-923967.5,-82137.5,-32.927105235023696,924855.0,0.199600869534229,4.0,0,-923967.5,9,-541027.5,-382940.0
ES_k3_reject_time_h30,ES,3,False,30,48106,24770,3801,5002,0.8676092544987146,-828875.0,-85775.0,-33.4628582963262,832745.0,0.16071861122325393,4.0,0,-828875.0,8,-494577.5,-334297.5
ES_k5_reject_target_h5,ES,5,True,5,18920,16472,3228,5002,0.762853470437018,-544160.0,-50000.0,-33.03545410393395,544160.0,0.282904322486644,2.0,44,-534085.0,3,-307382.5,-236777.5
ES_k5_reject_target_h15,ES,5,True,15,18920,15819,3228,5002,0.762853470437018,-535820.0,-61250.0,-33.8719261647386,535820.0,0.2966685631202984,2.0,42,-525882.5,3,-302812.5,-233007.5
ES_k5_reject_target_h30,ES,5,True,30,18920,15750,3228,5002,0.762853470437018,-536450.0,-63950.0,-34.060317460317464,536450.0,0.29714285714285715,2.0,42,-526512.5,3,-302467.5,-233982.5
ES_k5_reject_time_h5,ES,5,False,5,18920,15598,3230,5002,0.7634961439588689,-496102.5,-28162.5,-31.80551993845365,496102.5,0.24894217207334274,3.0,0,-496102.5,3,-280932.5,-215170.0
ES_k5_reject_time_h15,ES,5,False,15,18920,13932,3230,5002,0.7634961439588689,-489910.0,-71950.0,-35.16436979615274,489910.0,0.19666953775480908,3.0,0,-489910.0,4,-267065.0,-222845.0
ES_k5_reject_time_h30,ES,5,False,30,18920,12990,3230,5002,0.7634961439588689,-445362.5,-55662.5,-34.285026943802926,445650.0,0.15765973826020016,3.0,0,-445362.5,4,-257092.5,-188270.0
NQ_k3_reject_target_h5,NQ,3,True,5,61193,51265,4368,4966,0.9297227595099935,-802945.0,-33970.0,-15.662635326245978,808505.0,0.32263727689456745,2.0,253,-743955.0,4,-470685.0,-332260.0
NQ_k3_reject_target_h15,NQ,3,True,15,61193,48565,4368,4966,0.9297227595099935,-770895.0,-42420.0,-15.873468547307732,776215.0,0.32150725831360033,2.0,233,-715385.0,6,-451835.0,-319060.0
NQ_k3_reject_target_h30,NQ,3,True,30,61193,48353,4368,4966,0.9297227595099935,-769900.0,-44605.0,-15.92248671230327,773745.0,0.32103488925195955,2.0,232,-714935.0,6,-449520.0,-320380.0
NQ_k3_reject_time_h5,NQ,3,False,5,61193,46131,4369,4966,0.9297227595099935,-683760.0,8205.0,-14.822136957794108,689955.0,0.268843077323275,3.0,0,-683760.0,5,-373980.0,-309780.0
NQ_k3_reject_time_h15,NQ,3,False,15,61193,36897,4369,4966,0.9297227595099935,-555180.0,-1725.0,-15.046751768436458,577600.0,0.19353877008970918,3.0,0,-555180.0,11,-341180.0,-214000.0
NQ_k3_reject_time_h30,NQ,3,False,30,61193,32805,4369,4966,0.9297227595099935,-470060.0,22015.0,-14.328913275415333,515570.0,0.15159274500838288,3.0,0,-470060.0,12,-310070.0,-159990.0
NQ_k5_reject_target_h5,NQ,5,True,5,23929,21579,3754,4966,0.8536428110896196,-332900.0,-9215.0,-15.427035543815746,335855.0,0.3174382501506094,2.0,59,-318240.0,1,-158380.0,-174520.0
NQ_k5_reject_target_h15,NQ,5,True,15,23929,20814,3754,4966,0.8536428110896196,-329945.0,-17735.0,-15.852070721629673,332615.0,0.31003170942634767,2.0,59,-314395.0,3,-152495.0,-177450.0
NQ_k5_reject_target_h30,NQ,5,True,30,23929,20747,3754,4966,0.8536428110896196,-332310.0,-21105.0,-16.017255506820263,334210.0,0.3087193329156023,2.0,59,-316760.0,3,-151630.0,-180680.0
NQ_k5_reject_time_h5,NQ,5,False,5,23929,20114,3754,4966,0.8536428110896196,-291805.0,9905.0,-14.50755692552451,296385.0,0.27508203241523316,3.0,0,-291805.0,2,-136120.0,-155685.0
NQ_k5_reject_time_h15,NQ,5,False,15,23929,17929,3754,4966,0.8536428110896196,-260060.0,8875.0,-14.504991912543924,277740.0,0.19939762396118021,3.0,0,-260060.0,5,-130395.0,-129665.0
NQ_k5_reject_time_h30,NQ,5,False,30,23929,16718,3754,4966,0.8536428110896196,-238435.0,12335.0,-14.262172508673286,239640.0,0.1558798899389879,3.0,0,-238435.0,5,-123935.0,-114500.0
