id,instrument,k,entry,horizon,kind,decisions,trades,trade_days,known_days,frequency_2020,total,gross,mean_trade,max_dd,win_rate,median_hold,optimistic_total,net_before_2020,net_2020,target
ES_k3_stop_h5_confined,ES,3,stop,5,breakout,68401,23236,3714,5002,0.8290488431876607,-907367.5,-210287.5,-39.05007316233431,907587.5,0.26067309347564127,5.0,-907367.5,-631120.0,-276247.5,
ES_k3_stop_h15_confined,ES,3,stop,15,breakout,68401,18001,3714,5002,0.8290488431876607,-720305.0,-180275.0,-40.014721404366426,720450.0,0.28876173545914113,13.0,-720305.0,-530132.5,-190172.5,
ES_k3_stop_h30_confined,ES,3,stop,30,breakout,68401,15617,3714,5002,0.8290488431876607,-619647.5,-151137.5,-39.67775501056541,620092.5,0.26291861433053726,13.0,-619647.5,-457680.0,-161967.5,
ES_k3_close_h5_confined,ES,3,close,5,breakout,15426,12842,3242,5002,0.7204370179948586,-467535.0,-82275.0,-36.40671235010123,469662.5,0.2966827596947516,5.0,-467535.0,-311427.5,-156107.5,
ES_k3_close_h15_confined,ES,3,close,15,breakout,15426,11073,3242,5002,0.7204370179948586,-438352.5,-106162.5,-39.58751015984828,438705.0,0.32475390589722747,15.0,-438352.5,-300707.5,-137645.0,
ES_k3_close_h30_confined,ES,3,close,30,breakout,15426,9990,3242,5002,0.7204370179948586,-379687.5,-79987.5,-38.00675675675676,380402.5,0.3052052052052052,18.0,-379687.5,-267005.0,-112682.5,
ES_k5_stop_h5_confined,ES,5,stop,5,breakout,11454,3463,1658,5002,0.2660668380462725,-135615.0,-31725.0,-39.161131966503035,135615.0,0.21426508807392433,5.0,-135615.0,-107935.0,-27680.0,
ES_k5_stop_h15_confined,ES,5,stop,15,breakout,11454,3146,1658,5002,0.2660668380462725,-135292.5,-40912.5,-43.0046090273363,135292.5,0.26541640178003817,15.0,-135292.5,-109097.5,-26195.0,
ES_k5_stop_h30_confined,ES,5,stop,30,breakout,11454,2971,1658,5002,0.2660668380462725,-132192.5,-43062.5,-44.49427802086839,133695.0,0.2628744530461124,16.0,-132192.5,-101292.5,-30900.0,
ES_k5_close_h5_confined,ES,5,close,5,breakout,1914,1606,1061,5002,0.16066838046272494,-59405.0,-11225.0,-36.989414694894144,59405.0,0.2465753424657534,5.0,-59405.0,-42592.5,-16812.5,
ES_k5_close_h15_confined,ES,5,close,15,breakout,1914,1550,1061,5002,0.16066838046272494,-63337.5,-16837.5,-40.86290322580645,63337.5,0.29354838709677417,15.0,-63337.5,-46580.0,-16757.5,
ES_k5_close_h30_confined,ES,5,close,30,breakout,1914,1511,1061,5002,0.16066838046272494,-55067.5,-9737.5,-36.44440767703507,55067.5,0.31767041694242226,22.0,-55067.5,-38490.0,-16577.5,
ES_k3_reject_target_h5_confined,ES,3,,5,reject,14070,11589,2994,5002,0.6658097686375322,-406107.5,-58437.5,-35.042497195616534,406107.5,0.25532832858745363,2.0,-398095.0,-260600.0,-145507.5,True
ES_k3_reject_target_h15_confined,ES,3,,15,reject,14070,11290,2994,5002,0.6658097686375322,-402737.5,-64037.5,-35.67205491585474,402737.5,0.27511071744906995,2.0,-394612.5,-256685.0,-146052.5,True
ES_k3_reject_target_h30_confined,ES,3,,30,reject,14070,11269,2994,5002,0.6658097686375322,-402295.0,-64225.0,-35.699263466146064,402295.0,0.27793060608749665,2.0,-394107.5,-255830.0,-146465.0,True
ES_k3_reject_time_h5_confined,ES,3,,5,reject,14070,11172,3004,5002,0.666452442159383,-361510.0,-26350.0,-32.35857500895095,361597.5,0.23182957393483708,4.0,-361510.0,-233982.5,-127527.5,False
ES_k3_reject_time_h15_confined,ES,3,,15,reject,14070,10105,3004,5002,0.666452442159383,-354075.0,-50925.0,-35.03958436417615,354075.0,0.1950519544779812,4.0,-354075.0,-213955.0,-140120.0,False
ES_k3_reject_time_h30_confined,ES,3,,30,reject,14070,9531,3004,5002,0.666452442159383,-331880.0,-45950.0,-34.82111006190326,332375.0,0.161053404679467,4.0,-331880.0,-202050.0,-129830.0,False
ES_k5_reject_target_h5_confined,ES,5,,5,reject,1817,1523,973,5002,0.14460154241645246,-52877.5,-7187.5,-34.71930400525279,53350.0,0.20157583716349312,2.0,-52352.5,-42475.0,-10402.5,True
ES_k5_reject_target_h15_confined,ES,5,,15,reject,1817,1502,973,5002,0.14460154241645246,-51872.5,-6812.5,-34.53561917443409,52392.5,0.24500665778961384,2.0,-51347.5,-42020.0,-9852.5,True
ES_k5_reject_target_h30_confined,ES,5,,30,reject,1817,1500,973,5002,0.14460154241645246,-52050.0,-7050.0,-34.7,52570.0,0.248,2.0,-51525.0,-42197.5,-9852.5,True
ES_k5_reject_time_h5_confined,ES,5,,5,reject,1817,1514,980,5002,0.14524421593830333,-49645.0,-4225.0,-32.790620871862615,49645.0,0.20607661822985468,4.0,-49645.0,-38782.5,-10862.5,False
ES_k5_reject_time_h15_confined,ES,5,,15,reject,1817,1465,980,5002,0.14524421593830333,-46100.0,-2150.0,-31.467576791808874,48085.0,0.2075085324232082,4.0,-46100.0,-38680.0,-7420.0,False
ES_k5_reject_time_h30_confined,ES,5,,30,reject,1817,1441,980,5002,0.14524421593830333,-44455.0,-1225.0,-30.850104094378903,48587.5,0.17002081887578072,4.0,-44455.0,-38197.5,-6257.5,False
NQ_k3_stop_h5_confined,NQ,3,stop,5,breakout,52669,22306,4117,4966,0.8626692456479691,-419685.0,-85095.0,-18.814892853940645,420790.0,0.35869272841387967,5.0,-419685.0,-235305.0,-184380.0,
NQ_k3_stop_h15_confined,NQ,3,stop,15,breakout,52669,18515,4117,4966,0.8626692456479691,-391730.0,-114005.0,-21.15743991358358,397780.0,0.32681609505806103,11.0,-391730.0,-211140.0,-180590.0,
NQ_k3_stop_h30_confined,NQ,3,stop,30,breakout,52669,16608,4117,4966,0.8626692456479691,-355355.0,-106235.0,-21.396616088631983,360510.0,0.27595134874759153,11.0,-355355.0,-199540.0,-155815.0,
NQ_k3_close_h5_confined,NQ,3,close,5,breakout,14824,13121,3619,4966,0.7627337201805287,-240295.0,-43480.0,-18.313771816172547,241840.0,0.3710845209968752,5.0,-240295.0,-136165.0,-104130.0,
NQ_k3_close_h15_confined,NQ,3,close,15,breakout,14824,11732,3619,4966,0.7627337201805287,-222215.0,-46235.0,-18.940930787589497,234445.0,0.35876235935901807,15.0,-222215.0,-132740.0,-89475.0,
