minute,kind,n,current,rest,win_rest
5,всё,1563,0.256,1.302,0.52
5,в минусе,724,-3.874,0.913,0.519
5,в плюсе,835,3.838,1.69,0.523
5,за уровнем решения,429,-5.463,1.081,0.506
5,три свечи против подряд,184,-5.201,2.204,0.527
5,минус больше свечи,604,-4.544,1.722,0.538
10,всё,1563,0.225,1.333,0.528
10,в минусе,758,-4.853,1.23,0.521
10,в плюсе,800,5.038,1.392,0.535
10,за уровнем решения,513,-6.377,0.484,0.489
10,три свечи против подряд,203,-3.067,0.376,0.522
10,минус больше свечи,647,-5.599,1.189,0.513
15,всё,1563,0.331,1.227,0.54
15,в минусе,724,-5.937,0.286,0.51
15,в плюсе,837,5.754,2.03,0.566
15,за уровнем решения,545,-7.276,0.602,0.519
15,три свечи против подряд,196,-3.663,0.655,0.541
15,минус больше свечи,652,-6.529,0.407,0.515
20,всё,1563,0.52,1.038,0.533
20,в минусе,722,-6.617,0.296,0.503
20,в плюсе,839,6.663,1.722,0.56
20,за уровнем решения,543,-8.255,0.851,0.514
20,три свечи против подряд,175,-3.746,-0.642,0.497
20,минус больше свечи,645,-7.342,0.329,0.507
30,всё,1563,1.02,0.539,0.517
30,в минусе,713,-7.994,0.29,0.499
30,в плюсе,845,8.631,0.755,0.533
30,за уровнем решения,580,-9.429,0.243,0.486
30,три свечи против подряд,170,-4.408,-0.423,0.429
30,минус больше свечи,656,-8.64,0.218,0.492
45,всё,1563,1.075,0.484,0.524
45,в минусе,712,-9.413,-0.007,0.501
45,в плюсе,848,9.884,0.875,0.542
45,за уровнем решения,603,-10.787,-0.292,0.488
45,три свечи против подряд,195,-1.853,-1.13,0.487
45,минус больше свечи,664,-10.053,-0.264,0.494
60,всё,1563,1.378,0.18,0.519
60,в минусе,720,-10.287,-0.01,0.496
60,в плюсе,842,11.354,0.349,0.539
60,за уровнем решения,602,-11.944,0.036,0.483
60,три свечи против подряд,178,-3.927,-0.333,0.489
60,минус больше свечи,675,-10.944,0.022,0.498
90,всё,1563,1.41,0.148,0.519
90,в минусе,719,-12.144,0.038,0.527
90,в плюсе,843,12.972,0.231,0.511
90,за уровнем решения,626,-13.696,-0.052,0.521
90,три свечи против подряд,182,-5.477,-0.163,0.511
90,минус больше свечи,671,-12.975,0.015,0.528
