instrument,minute,split,trades,candles,mean,2006-2012,usd_2006-2012,2013-2019,usd_2013-2019,2020-2026,usd_2020-2026
NQ,3,inside,959,1.942390745284698,98.22732012513035,1.814,6.4,2.29,48.8,1.708,230.6
NQ,3,outside,3907,1.1042599755937417,32.971589454824674,1.465,6.0,0.64,-4.8,1.263,103.3
NQ,4,inside,975,1.6405331627168813,108.04102564102564,-0.214,-24.3,2.469,34.5,2.562,317.6
NQ,4,outside,3895,1.1600880139947543,34.853658536585364,1.234,7.5,1.277,15.9,0.956,83.3
ES,3,inside,901,0.029765159538667867,-23.118756936736958,-0.17,-28.2,-0.082,-24.6,0.343,-16.5
ES,3,outside,4120,0.7443910093755696,-0.4399271844660194,0.539,-16.7,0.622,-17.0,1.111,36.4
ES,4,inside,936,0.2461072860745941,-10.755876068376068,-0.396,-36.7,0.184,-27.2,0.903,28.2
ES,4,outside,4086,0.606314230335241,-1.0597161037689673,0.522,-16.0,0.698,-5.5,0.594,21.0
YM,3,inside,900,0.19460914688424502,-13.066666666666666,0.222,-16.9,1.615,17.9,-1.296,-41.2
YM,3,outside,3877,0.6113679340246228,-6.759092081506319,1.322,3.8,0.34,-9.4,0.229,-13.9
YM,4,inside,925,1.0109298889377032,16.627027027027026,1.479,11.7,1.27,13.6,0.287,24.6
YM,4,outside,3866,0.21736110325349767,-20.794102431453698,0.847,-2.3,0.019,-16.1,-0.191,-44.1
