rule,epoch,n,candles,mean,median,win,total,dd,wo_best5,worst
держать 120 минут,2006-2012,1557,1.469,6.8,5.0,0.51,10665.0,11455.0,-37705.0,-1070.0
держать 120 минут,2013-2019,1737,0.937,9.0,15.0,0.513,15590.0,24965.0,-109150.0,-2910.0
держать 120 минут,2020-2026,1563,1.558,174.7,115.0,0.528,273050.0,43985.0,-138010.0,-12770.0
безубыток после +1 свечи,2006-2012,1557,0.439,-8.4,-15.0,0.071,-13115.0,13720.0,-48050.0,-950.0
безубыток после +1 свечи,2013-2019,1737,0.958,7.4,-15.0,0.074,12790.0,7920.0,-65590.0,-2910.0
безубыток после +1 свечи,2020-2026,1563,0.638,66.9,-15.0,0.074,104575.0,44130.0,-143220.0,-8255.0
безубыток после +2 свечей,2006-2012,1557,0.328,-9.8,-15.0,0.105,-15260.0,15610.0,-54820.0,-950.0
безубыток после +2 свечей,2013-2019,1737,0.755,3.2,-15.0,0.112,5615.0,16710.0,-87070.0,-2910.0
безубыток после +2 свечей,2020-2026,1563,0.75,77.5,-15.0,0.122,121085.0,53250.0,-186500.0,-11435.0
безубыток после +3 свечей,2006-2012,1557,0.521,-8.2,-15.0,0.153,-12810.0,13740.0,-55005.0,-1070.0
безубыток после +3 свечей,2013-2019,1737,1.017,8.6,-15.0,0.156,14960.0,15615.0,-86035.0,-2910.0
безубыток после +3 свечей,2020-2026,1563,0.736,69.7,-15.0,0.166,108975.0,60465.0,-220860.0,-11435.0
стоп 6 свечей,2006-2012,1557,0.516,-6.8,-75.0,0.274,-10565.0,14740.0,-57260.0,-525.0
стоп 6 свечей,2013-2019,1737,0.87,1.8,-105.0,0.271,3115.0,15920.0,-112110.0,-990.0
стоп 6 свечей,2020-2026,1563,1.149,94.9,-555.0,0.306,148380.0,32200.0,-243240.0,-4095.0
стоп 6 + безубыток после +3,2006-2012,1557,0.245,-11.8,-15.0,0.112,-18440.0,19140.0,-59380.0,-510.0
стоп 6 + безубыток после +3,2013-2019,1737,0.838,2.7,-15.0,0.118,4655.0,11560.0,-90040.0,-990.0
стоп 6 + безубыток после +3,2020-2026,1563,0.426,28.0,-15.0,0.12,43710.0,61130.0,-277035.0,-3675.0
"выход, если через 15 мин в минусе",2006-2012,1557,0.945,-2.1,-50.0,0.342,-3230.0,11115.0,-49825.0,-860.0
"выход, если через 15 мин в минусе",2013-2019,1737,1.003,10.1,-70.0,0.354,17505.0,12830.0,-103235.0,-2280.0
"выход, если через 15 мин в минусе",2020-2026,1563,1.425,153.9,-275.0,0.367,240505.0,32460.0,-159030.0,-12770.0
"выход, если через 30 мин в минусе",2006-2012,1557,1.4,4.6,-45.0,0.383,7185.0,9885.0,-40475.0,-1125.0
"выход, если через 30 мин в минусе",2013-2019,1737,0.763,0.5,-80.0,0.376,800.0,21435.0,-120805.0,-2280.0
"выход, если через 30 мин в минусе",2020-2026,1563,1.426,130.2,-280.0,0.395,203475.0,39225.0,-200905.0,-12770.0
"выход, если через 30 мин ниже -1 свечи",2006-2012,1557,1.327,3.4,-55.0,0.399,5330.0,10685.0,-42330.0,-1125.0
"выход, если через 30 мин ниже -1 свечи",2013-2019,1737,0.738,2.2,-85.0,0.39,3895.0,20695.0,-119530.0,-2280.0
"выход, если через 30 мин ниже -1 свечи",2020-2026,1563,1.467,145.7,-310.0,0.415,227705.0,39225.0,-176760.0,-12770.0
выход при возврате за уровень решения,2006-2012,1557,0.475,-7.4,-65.0,0.206,-11475.0,12920.0,-56875.0,-475.0
выход при возврате за уровень решения,2013-2019,1737,0.782,4.5,-90.0,0.225,7745.0,15380.0,-107660.0,-1015.0
выход при возврате за уровень решения,2020-2026,1563,0.989,57.1,-380.0,0.232,89185.0,41525.0,-270470.0,-3975.0
выход после 3 свечей против подряд,2006-2012,1557,0.426,-11.5,-35.0,0.358,-17865.0,18270.0,-48435.0,-845.0
выход после 3 свечей против подряд,2013-2019,1737,0.265,-10.0,-45.0,0.404,-17310.0,30760.0,-79430.0,-1125.0
выход после 3 свечей против подряд,2020-2026,1563,0.548,30.9,-95.0,0.436,48290.0,41830.0,-157240.0,-3765.0
выход после 4 свечей против подряд,2006-2012,1557,0.855,-6.3,-40.0,0.399,-9880.0,11330.0,-49300.0,-870.0
выход после 4 свечей против подряд,2013-2019,1737,0.667,2.0,-45.0,0.423,3555.0,17035.0,-87005.0,-1815.0
выход после 4 свечей против подряд,2020-2026,1563,0.929,77.4,-110.0,0.452,120940.0,25840.0,-169255.0,-4725.0
трейлинг: откат 3 свечи от максимума,2006-2012,1557,0.071,-15.6,5.0,0.505,-24340.0,24665.0,-44335.0,-1070.0
трейлинг: откат 3 свечи от максимума,2013-2019,1737,0.41,-3.5,20.0,0.592,-6035.0,15695.0,-52640.0,-2910.0
трейлинг: откат 3 свечи от максимума,2020-2026,1563,0.442,46.8,140.0,0.663,73085.0,41605.0,-99940.0,-11435.0
трейлинг: откат 4 свечи от максимума,2006-2012,1557,0.384,-10.0,10.0,0.531,-15565.0,16065.0,-42865.0,-1070.0
трейлинг: откат 4 свечи от максимума,2013-2019,1737,0.466,-1.6,25.0,0.603,-2780.0,15675.0,-60985.0,-2910.0
трейлинг: откат 4 свечи от максимума,2020-2026,1563,0.599,65.4,195.0,0.674,102180.0,30215.0,-111605.0,-11435.0
"выход, если через 45 мин в минусе",2006-2012,1557,1.36,5.5,-45.0,0.398,8575.0,10150.0,-39480.0,-980.0
"выход, если через 45 мин в минусе",2013-2019,1737,0.906,4.3,-70.0,0.394,7465.0,21220.0,-115880.0,-2075.0
"выход, если через 45 мин в минусе",2020-2026,1563,1.561,126.5,-245.0,0.423,197755.0,43970.0,-207590.0,-29040.0
три свечи против после 20-й минуты,2006-2012,1557,0.998,-2.8,-10.0,0.473,-4285.0,8775.0,-40685.0,-1450.0
три свечи против после 20-й минуты,2013-2019,1737,0.548,0.5,-10.0,0.474,840.0,18650.0,-82155.0,-1885.0
три свечи против после 20-й минуты,2020-2026,1563,0.935,68.9,50.0,0.521,107650.0,35500.0,-153005.0,-5825.0
три свечи против после 30-й минуты,2006-2012,1557,1.329,1.0,-5.0,0.482,1590.0,8770.0,-37320.0,-1450.0
три свечи против после 30-й минуты,2013-2019,1737,0.646,-1.0,-5.0,0.481,-1755.0,20590.0,-92875.0,-2300.0
три свечи против после 30-й минуты,2020-2026,1563,1.011,81.2,80.0,0.524,126980.0,33730.0,-162565.0,-8560.0
возврат за уровень после 30-й минуты,2006-2012,1557,1.303,3.8,-60.0,0.324,5845.0,8080.0,-41770.0,-1125.0
возврат за уровень после 30-й минуты,2013-2019,1737,0.675,-1.2,-95.0,0.314,-2160.0,19335.0,-123885.0,-2030.0
возврат за уровень после 30-й минуты,2020-2026,1563,1.496,124.8,-350.0,0.339,195085.0,45700.0,-201900.0,-7995.0
минус на 15-й + возврат за уровень после 30-й,2006-2012,1557,0.742,-4.7,-60.0,0.255,-7350.0,11815.0,-53795.0,-805.0
