date,s07,prior,together
2006-01-18,-105.0,0.0,-105.0
2006-01-19,-45.0,0.0,-45.0
2006-01-27,155.0,0.0,155.0
2006-02-01,95.0,0.0,95.0
2006-02-03,-15.0,0.0,-15.0
2006-03-03,-125.0,0.0,-125.0
2006-03-07,-65.0,0.0,-65.0
2006-03-27,-35.0,0.0,-35.0
2006-03-28,-85.0,0.0,-85.0
2006-04-07,265.0,0.0,265.0
2006-04-13,-305.0,0.0,-305.0
2006-04-19,75.0,0.0,75.0
2006-04-21,-275.0,0.0,-275.0
2006-05-23,-35.0,0.0,-35.0
2006-05-24,-75.0,0.0,-75.0
2006-05-25,45.0,0.0,45.0
2006-05-26,-65.0,0.0,-65.0
2006-06-01,-340.0,0.0,-340.0
2006-06-09,-20.0,0.0,-20.0
2006-06-12,220.0,0.0,220.0
2006-06-13,-270.0,0.0,-270.0
2006-06-14,80.0,0.0,80.0
2006-06-15,265.0,0.0,265.0
2006-06-16,-260.0,0.0,-260.0
2006-06-27,-435.0,0.0,-435.0
2006-06-29,65.0,0.0,65.0
2006-07-05,375.0,0.0,375.0
2006-07-07,-155.0,0.0,-155.0
2006-07-11,5.0,0.0,5.0
2006-07-12,200.0,0.0,200.0
2006-07-13,-85.0,0.0,-85.0
2006-07-14,-415.0,0.0,-415.0
2006-07-17,-20.0,0.0,-20.0
2006-07-19,275.0,0.0,275.0
2006-07-20,150.0,0.0,150.0
2006-07-21,35.0,0.0,35.0
2006-07-25,-100.0,0.0,-100.0
2006-07-26,25.0,0.0,25.0
2006-07-27,-30.0,0.0,-30.0
2006-07-28,-355.0,0.0,-355.0
2006-07-31,-125.0,0.0,-125.0
2006-08-01,255.0,0.0,255.0
2006-08-03,-225.0,0.0,-225.0
2006-08-09,140.0,0.0,140.0
2006-08-10,135.0,0.0,135.0
2006-08-15,-130.0,0.0,-130.0
2006-08-16,-45.0,0.0,-45.0
2006-08-24,150.0,0.0,150.0
2006-09-01,-65.0,0.0,-65.0
2006-09-05,-85.0,0.0,-85.0
2006-09-06,35.0,0.0,35.0
2006-09-14,70.0,0.0,70.0
2006-09-15,95.0,0.0,95.0
2006-09-18,-200.0,0.0,-200.0
2006-09-20,160.0,0.0,160.0
2006-09-21,-45.0,0.0,-45.0
2006-09-25,-60.0,0.0,-60.0
2006-09-27,90.0,0.0,90.0
2006-10-02,-60.0,0.0,-60.0
2006-10-05,-150.0,0.0,-150.0
2006-10-06,95.0,0.0,95.0
2006-10-11,-190.0,0.0,-190.0
2006-10-17,260.0,0.0,260.0
2006-10-18,275.0,0.0,275.0
2006-10-19,-110.0,0.0,-110.0
2006-10-20,80.0,0.0,80.0
2006-10-23,465.0,0.0,465.0
2006-10-26,100.0,0.0,100.0
2006-11-01,175.0,0.0,175.0
2006-11-03,-370.0,0.0,-370.0
2006-11-07,400.0,0.0,400.0
2006-11-08,-165.0,0.0,-165.0
2006-11-09,-25.0,0.0,-25.0
2006-11-14,100.0,0.0,100.0
2006-11-16,35.0,0.0,35.0
2006-11-17,5.0,0.0,5.0
2006-11-20,135.0,0.0,135.0
2006-11-28,55.0,0.0,55.0
2006-11-29,25.0,0.0,25.0
2006-11-30,55.0,0.0,55.0
2006-12-01,-435.0,0.0,-435.0
2006-12-13,175.0,0.0,175.0
2006-12-15,70.0,0.0,70.0
2006-12-18,85.0,0.0,85.0
2006-12-19,-95.0,0.0,-95.0
2007-01-03,320.0,0.0,320.0
2007-01-05,225.0,0.0,225.0
2007-01-09,0.0,0.0,0.0
2007-01-10,125.0,0.0,125.0
2007-01-16,35.0,0.0,35.0
2007-01-17,-15.0,0.0,-15.0
2007-01-19,-175.0,0.0,-175.0
2007-01-25,140.0,0.0,140.0
2007-01-26,135.0,0.0,135.0
2007-01-29,45.0,0.0,45.0
2007-01-30,-55.0,0.0,-55.0
2007-02-01,160.0,0.0,160.0
2007-02-06,290.0,0.0,290.0
2007-02-07,190.0,0.0,190.0
2007-02-08,-35.0,0.0,-35.0
2007-02-12,85.0,0.0,85.0
2007-02-15,0.0,0.0,0.0
2007-02-20,225.0,0.0,225.0
2007-02-21,-140.0,0.0,-140.0
2007-02-22,-265.0,0.0,-265.0
2007-02-23,95.0,0.0,95.0
2007-02-27,-80.0,0.0,-80.0
2007-02-28,130.0,0.0,130.0
2007-03-01,-860.0,0.0,-860.0
2007-03-02,5.0,0.0,5.0
2007-03-05,345.0,0.0,345.0
2007-03-07,-135.0,0.0,-135.0
2007-03-09,165.0,0.0,165.0
2007-03-12,55.0,0.0,55.0
2007-03-13,40.0,0.0,40.0
2007-03-14,-110.0,0.0,-110.0
2007-03-15,30.0,0.0,30.0
2007-03-19,85.0,0.0,85.0
2007-03-22,75.0,0.0,75.0
2007-03-23,-25.0,0.0,-25.0
2007-03-28,-145.0,0.0,-145.0
2007-03-29,-235.0,0.0,-235.0
2007-04-03,-330.0,0.0,-330.0
2007-04-04,-100.0,0.0,-100.0
2007-04-09,55.0,0.0,55.0
2007-04-11,195.0,0.0,195.0
2007-04-12,195.0,0.0,195.0
2007-04-17,-55.0,0.0,-55.0
2007-04-18,65.0,0.0,65.0
2007-04-19,-215.0,0.0,-215.0
2007-04-20,-190.0,0.0,-190.0
2007-04-24,20.0,0.0,20.0
2007-04-25,-45.0,0.0,-45.0
2007-04-26,-35.0,0.0,-35.0
2007-04-27,-5.0,0.0,-5.0
2007-04-30,-60.0,0.0,-60.0
2007-05-02,200.0,0.0,200.0
2007-05-04,-25.0,0.0,-25.0
2007-05-07,-70.0,0.0,-70.0
2007-05-08,-85.0,0.0,-85.0
2007-05-10,135.0,0.0,135.0
2007-05-11,235.0,0.0,235.0
2007-05-15,35.0,0.0,35.0
2007-05-16,-155.0,0.0,-155.0
2007-05-18,-30.0,0.0,-30.0
2007-05-22,-75.0,0.0,-75.0
2007-05-23,-45.0,0.0,-45.0
2007-05-24,410.0,0.0,410.0
2007-05-30,-280.0,0.0,-280.0
2007-05-31,-5.0,0.0,-5.0
2007-06-01,10.0,0.0,10.0
2007-06-05,-40.0,0.0,-40.0
2007-06-06,-185.0,0.0,-185.0
2007-06-08,40.0,0.0,40.0
2007-06-11,-100.0,0.0,-100.0
2007-06-12,-65.0,0.0,-65.0
2007-06-13,-15.0,0.0,-15.0
2007-06-14,-210.0,0.0,-210.0
2007-06-15,-110.0,0.0,-110.0
2007-06-19,-70.0,0.0,-70.0
