stop_candles,exit_if_negative_at,2006-2012_total,2006-2012_ret_dd,2013-2019_total,2013-2019_ret_dd,2020-2026_total,2020-2026_ret_dd,median_2020,dd_2020,worst_day_2020,positive_in_all_epochs
8,,-9515,-0.63,9455,0.55,155025,3.6,-635,43015,-5455,False
8,15,-12510,-0.82,8955,0.62,158610,4.39,-470,36160,-4895,False
8,20,-11605,-0.78,9480,0.58,150290,3.6,-495,41780,-4895,False
8,30,-7770,-0.59,4410,0.25,129310,2.95,-555,43875,-5455,False
12,,-830,-0.07,4810,0.22,208650,4.75,-330,43950,-8175,False
12,15,-8220,-0.65,5455,0.32,191805,5.57,-325,34430,-4620,False
12,20,-6930,-0.53,-85,-0.0,190745,5.44,-320,35060,-4545,False
12,30,690,0.06,2060,0.09,170815,4.81,-355,35520,-8175,True
16,,7395,0.9,16380,0.71,266215,6.19,20,43000,-10895,True
16,15,-6895,-0.58,16815,1.25,236265,7.63,-290,30960,-4620,False
16,20,-3840,-0.3,10415,0.68,234810,6.51,-265,36060,-4575,False
16,30,6080,0.66,2895,0.13,207980,5.37,-300,38760,-6560,True
20,,10140,1.01,20950,0.98,294350,6.34,85,46450,-13615,True
20,15,-6680,-0.53,17995,1.5,248515,7.28,-280,34140,-5615,False
20,20,-3520,-0.26,12515,0.83,238570,6.5,-255,36705,-5715,False
20,30,5740,0.55,3395,0.16,216940,5.3,-285,40910,-6560,True
24,,11015,1.07,16710,0.78,282305,6.66,105,42365,-16335,True
24,15,-3935,-0.34,17640,1.38,250525,6.89,-275,36345,-5005,False
24,20,-2250,-0.17,11495,0.78,241070,6.58,-255,36625,-5600,False
24,30,6320,0.65,1735,0.09,215980,5.73,-280,37675,-6560,True
32,,11235,1.04,15845,0.66,276340,6.12,115,45155,-21775,True
32,15,-3005,-0.27,16785,1.31,252240,7.76,-275,32505,-5005,False
32,20,-250,-0.02,11495,0.78,234340,6.24,-255,37545,-5600,False
32,30,6985,0.72,2360,0.11,214620,5.67,-280,37830,-7855,True
