instrument,minute,horizon,stop,trades,net_total,net_mean,net_median,win,candles_mean,mean_2006-2012,n_2006-2012,mean_2013-2019,n_2013-2019,mean_2020-2026,n_2020-2026,recent_total,recent_without_best_5pct,recent_max_dd,recent_years_positive,recent_years
ES,0,30,0.0,5019,-224482.5,-44.726539151225346,-30.0,0.444311615859733,-0.292087011627707,-36.98853615520282,1701,-37.05714285714286,1750,-61.68048469387755,1568,-96715.0,-209975.0,101607.5,0,7
ES,0,30,2.0,5025,-239612.5,-47.68407960199005,-80.0,0.1554228855721393,-0.383869861570494,-44.99266862170088,1705,-41.92142857142857,1750,-57.03025477707006,1570,-89537.5,-181597.5,91160.0,0,7
ES,0,30,4.0,5023,-250752.5,-49.92086402548278,-130.0,0.2958391399562015,-0.39838184732118714,-43.69571596244131,1704,-40.05,1750,-67.69120458891014,1569,-106207.5,-211455.0,109417.5,1,7
ES,0,30,6.0,5021,-246367.5,-49.06741684923322,-105.0,0.3792073292172874,-0.3353570852501915,-42.580787309048176,1702,-36.83571428571429,1750,-69.74665391969407,1569,-109432.5,-219855.0,115237.5,1,7
ES,0,30,10.0,5020,-237337.5,-47.27838645418327,-42.5,0.43227091633466136,-0.3583374640319208,-44.240599294947124,1702,-37.72857142857143,1750,-61.234056122448976,1568,-96015.0,-209025.0,101407.5,1,7
ES,0,60,0.0,5014,-171007.5,-34.10600319106502,-30.0,0.4583167132030315,-0.1897135855644338,-33.60931054802593,1697,-35.56032018296169,1749,-33.021364795918366,1568,-51777.5,-214937.5,59057.5,2,7
ES,0,60,2.0,5025,-229275.0,-45.62686567164179,-80.0,0.12318407960199004,-0.3399100256400735,-42.881231671554254,1705,-40.035714285714285,1750,-54.84076433121019,1570,-86100.0,-203947.5,87227.5,0,7
ES,0,60,4.0,5022,-223060.0,-44.41656710473915,-130.0,0.2471127041019514,-0.274322962038526,-39.79154433352907,1703,-39.01428571428571,1750,-55.46207775653282,1569,-87020.0,-231680.0,89905.0,1,7
ES,0,60,6.0,5019,-233045.0,-46.43255628611277,-180.0,0.3295477186690576,-0.2881399950635618,-40.01616696061141,1701,-40.12006861063465,1749,-60.42543021032505,1569,-94807.5,-251680.0,100850.0,1,7
ES,0,60,10.0,5017,-223697.5,-44.587901136137134,-80.0,0.4153876818816026,-0.3299440772359333,-43.036764705882355,1700,-41.613779302458546,1749,-49.58705357142857,1568,-77752.5,-240375.0,85252.5,1,7
ES,0,120,0.0,5005,-91462.5,-18.274225774225773,-30.0,0.47092907092907094,0.003379771802298268,-35.82201889020071,1694,-33.575514874141874,1748,17.85668586052463,1563,27910.0,-194650.0,36382.5,4,7
ES,0,120,2.0,5025,-206837.5,-41.16169154228856,-80.0,0.10049751243781095,-0.2898122249586511,-42.705278592375365,1705,-37.642857142857146,1750,-43.40764331210191,1570,-68150.0,-213210.0,68730.0,1,7
ES,0,120,4.0,5021,-173467.5,-34.548396733718384,-130.0,0.2091216889065923,-0.14778124630388098,-38.82266588373459,1703,-37.72142857142857,1750,-26.364795918367346,1568,-41340.0,-228050.0,48175.0,1,7
ES,0,120,6.0,5016,-173592.5,-34.607755183413076,-180.0,0.2914673046251994,-0.1458062291137775,-39.955882352941174,1700,-40.14865637507147,1749,-22.621250797702615,1567,-35447.5,-243982.5,45697.5,2,7
ES,0,120,10.0,5013,-182252.5,-36.355974466387394,-155.0,0.39058448035108717,-0.2063329988166459,-45.95995288574794,1698,-40.01286449399657,1749,-21.85823754789272,1566,-34230.0,-252640.0,50100.0,1,7
ES,1,30,0.0,5021,-154392.5,-30.749352718581957,-17.5,0.46723760207130055,0.13351816024150243,-31.04227833235467,1703,-22.985714285714284,1750,-39.095982142857146,1568,-61302.5,-181350.0,70107.5,2,7
ES,1,30,2.0,5027,-190985.0,-37.99184404217227,-80.0,0.17744181420330216,-0.15307794209615105,-37.930579964850615,1707,-32.09285714285714,1750,-44.63375796178344,1570,-70075.0,-167860.0,73810.0,2,7
ES,1,30,4.0,5026,-205092.5,-40.806307202546755,-130.0,0.31257461201750897,-0.15238338787818836,-39.05627198124267,1706,-30.235714285714284,1750,-54.49044585987261,1570,-85550.0,-198297.5,88912.5,0,7
ES,1,30,6.0,5024,-190782.5,-37.97422372611465,-105.0,0.3953025477707006,-0.05172808922545134,-37.45305164319249,1704,-26.92142857142857,1750,-50.859872611464965,1570,-79850.0,-197835.0,83847.5,1,7
ES,1,30,10.0,5022,-169497.5,-33.75099561927519,-30.0,0.4532058940661091,0.04557678054108759,-35.54577464788732,1704,-22.985714285714284,1750,-43.81536989795919,1568,-68702.5,-188750.0,76657.5,2,7
ES,1,60,0.0,5015,-126700.0,-25.264207377866402,-17.5,0.47716849451645066,0.2942941917793387,-19.421378091872793,1698,-15.255860491709548,1749,-42.755102040816325,1568,-67040.0,-231775.0,79767.5,3,7
ES,1,60,2.0,5026,-173180.0,-34.456824512534816,-80.0,0.1424592120970951,-0.06814713525440375,-36.27930832356389,1706,-28.521428571428572,1750,-39.09235668789809,1570,-61375.0,-185585.0,64015.0,1,7
ES,1,60,4.0,5024,-185095.0,-36.8421576433121,-130.0,0.26293789808917195,-0.06339028424695509,-37.98855633802817,1704,-27.271428571428572,1750,-46.26592356687898,1570,-72637.5,-224335.0,76727.5,0,7
ES,1,60,6.0,5020,-174500.0,-34.7609561752988,-180.0,0.349800796812749,0.0378199297832008,-33.96825396825397,1701,-25.39022298456261,1749,-46.05891719745223,1570,-72312.5,-232397.5,77985.0,2,7
ES,1,60,10.0,5016,-158642.5,-31.627292663476872,-67.5,0.4366028708133971,0.1344987977950063,-31.883460859329016,1699,-19.872784448256148,1749,-44.46109693877551,1568,-69715.0,-233762.5,79675.0,2,7
ES,1,120,0.0,5007,-90422.5,-18.05921709606551,-17.5,0.48132614339924107,0.3432472315186211,-21.58313679245283,1696,-9.748283752860411,1748,-23.530070377479205,1563,-36777.5,-246312.5,93495.0,2,7
ES,1,120,2.0,5026,-169567.5,-33.73806207719857,-80.0,0.11619578193394349,-0.04074576885921027,-36.68229777256741,1706,-27.007142857142856,1750,-38.04140127388535,1570,-59725.0,-205735.0,62115.0,1,7
ES,1,120,4.0,5024,-163820.0,-32.607484076433124,-130.0,0.21875,-0.033483711393840626,-38.41402582159625,1704,-26.678571428571427,1750,-32.9140127388535,1570,-51675.0,-231935.0,57315.0,1,7
ES,1,120,6.0,5017,-143510.0,-28.604743870839147,-180.0,0.30675702611122185,0.07272756639213485,-33.713235294117645,1700,-25.182961692395654,1749,-26.882971938775512,1568,-42152.5,-237850.0,55390.0,2,7
ES,1,120,10.0,5011,-133380.0,-26.61744162841748,-142.5,0.4077030532827779,0.17559043676439284,-35.00883912787272,1697,-18.20754716981132,1749,-26.916932907348244,1565,-42125.0,-249247.5,80580.0,2,7
ES,2,30,0.0,5023,-87577.5,-17.43529763089787,-17.5,0.47202866812661753,0.3038446835800689,-25.784457478005866,1705,-22.85,1750,-2.313456632653061,1568,-3627.5,-128175.0,22277.5,4,7
ES,2,30,2.0,5028,-170527.5,-33.91557279236277,-80.0,0.176412092283214,-0.07821745179686597,-35.23579379027534,1707,-27.18732153055397,1751,-39.98407643312102,1570,-62775.0,-166197.5,65452.5,1,7
ES,2,30,4.0,5026,-161417.5,-32.11649423000398,-130.0,0.3179466772781536,-0.003910851351154976,-34.03485647334505,1707,-27.442857142857143,1750,-35.24219247928617,1569,-55295.0,-170305.0,62077.5,2,7
ES,2,30,6.0,5025,-137750.0,-27.412935323383085,-92.5,0.39781094527363187,0.08859140772860291,-31.52403282532239,1706,-27.607142857142858,1750,-22.726258763543658,1569,-35657.5,-158305.0,45422.5,3,7
ES,2,30,10.0,5024,-103482.5,-20.59763136942675,-23.75,0.45979299363057324,0.28870676595807954,-27.89712778429074,1706,-22.242857142857144,1750,-10.81951530612245,1568,-16965.0,-141212.5,35050.0,3,7
ES,2,60,0.0,5017,-51585.0,-10.282041060394658,-17.5,0.4845525214271477,0.5222936639169609,-15.485294117647058,1700,-16.470840480274443,1749,2.2624362244897958,1568,3547.5,-157912.5,28587.5,3,7
ES,2,60,2.0,5028,-171952.5,-34.19898568019093,-80.0,0.1433969769291965,-0.05053475503440302,-35.92413591095489,1707,-26.2164477441462,1751,-41.22611464968153,1570,-64725.0,-191422.5,69915.0,1,7
ES,2,60,4.0,5025,-155775.0,-31.0,-130.0,0.27562189054726366,0.07462243874507851,-32.857561547479484,1706,-25.114285714285714,1750,-35.54493307839388,1569,-55770.0,-201767.5,62552.5,3,7
ES,2,60,6.0,5023,-148002.5,-29.464961178578537,-180.0,0.356161656380649,0.0760916592711513,-31.93661971830986,1704,-28.228571428571428,1750,-28.15965583173996,1569,-44182.5,-200967.5,51042.5,2,7
ES,2,60,10.0,5020,-99600.0,-19.840637450199203,-42.5,0.44760956175298805,0.3621857922285748,-23.75366999412801,1703,-23.403373356203545,1749,-11.61670918367347,1568,-18215.0,-179525.0,34707.5,4,7
ES,2,120,0.0,5009,-26832.5,-5.356857656218806,-5.0,0.49550808544619684,0.5987873682794096,-17.897526501766784,1698,-2.6902173913043477,1748,5.284708893154191,1563,8260.0,-201125.0,38575.0,2,7
ES,2,120,2.0,5027,-168697.5,-33.55828525959817,-80.0,0.11935548040580864,-0.012270350722861973,-35.82161687170475,1707,-23.667904054825815,1751,-42.13352453792224,1569,-66107.5,-206617.5,74680.0,2,7
ES,2,120,4.0,5023,-144415.0,-28.750746565797332,-130.0,0.2307386024288274,0.09508703435132815,-32.88686987104337,1706,-23.664285714285715,1750,-29.928206764518187,1567,-46897.5,-226957.5,61707.5,3,7
ES,2,120,6.0,5021,-117405.0,-23.382792272455685,-180.0,0.31666998605855406,0.17532475973316614,-30.080692488262912,1704,-23.385714285714286,1750,-16.096043395022335,1567,-25222.5,-221757.5,46880.0,1,7
ES,2,120,10.0,5015,-65412.5,-13.043369890329013,-105.0,0.4243270189431705,0.4974562583976812,-24.598765432098766,1701,-15.377358490566039,1749,2.1246006389776357,1565,3325.0,-204622.5,37810.0,4,7
ES,3,30,0.0,5027,-71947.5,-14.312214044161527,-17.5,0.4734434056097076,0.3218835904189948,-27.80573434757168,1709,-25.214285714285715,1750,12.56218112244898,1568,19697.5,-106275.0,24000.0,4,7
ES,3,30,2.0,5031,-151330.0,-30.07950705625124,-80.0,0.1832637646591135,-0.07674205806872086,-36.231735827001756,1711,-30.857142857142858,1750,-22.50796178343949,1570,-35337.5,-144585.0,43942.5,3,7
ES,3,30,4.0,5029,-135245.0,-26.89302048120899,-130.0,0.32551203022469677,0.020710904769955754,-35.6578947368421,1710,-26.757142857142856,1750,-17.492033142128744,1569,-27445.0,-147967.5,42070.0,3,7
