variant,bound,era,signals,trades,unknown,cancelled,gross_usd,net_usd,mean_usd,median_usd,max_drawdown_closed_usd,win_fraction,worst_usd,best_usd,median_hold_minutes,median_risk_points,median_reward_points,ties
delay1,lower,all,509,248,0,261,25605.0,21885.0,88.24596774193549,67.5,5320.0,0.6693548387096774,-3470.0,2985.0,19.0,18.625,11.75,0
delay1,lower,2006-2012,172,74,0,98,2390.0,1280.0,17.2972972972973,37.5,1115.0,0.6216216216216216,-355.0,470.0,20.5,8.875,6.625,0
delay1,lower,2013-2019,193,95,0,98,1380.0,-45.0,-0.47368421052631576,45.0,2675.0,0.6631578947368421,-945.0,745.0,22.0,15.5,10.5,0
delay1,lower,2020-2025,144,79,0,65,21835.0,20650.0,261.39240506329116,320.0,4880.0,0.7215189873417721,-3470.0,2985.0,16.0,71.75,37.5,0
delay1,upper,all,509,248,0,261,25605.0,21885.0,88.24596774193549,67.5,5320.0,0.6693548387096774,-3470.0,2985.0,19.0,18.625,11.75,0
delay1,upper,2006-2012,172,74,0,98,2390.0,1280.0,17.2972972972973,37.5,1115.0,0.6216216216216216,-355.0,470.0,20.5,8.875,6.625,0
delay1,upper,2013-2019,193,95,0,98,1380.0,-45.0,-0.47368421052631576,45.0,2675.0,0.6631578947368421,-945.0,745.0,22.0,15.5,10.5,0
delay1,upper,2020-2025,144,79,0,65,21835.0,20650.0,261.39240506329116,320.0,4880.0,0.7215189873417721,-3470.0,2985.0,16.0,71.75,37.5,0
h120,lower,all,509,395,0,114,22705.0,16780.0,42.48101265822785,50.0,8370.0,0.6278481012658228,-2795.0,3720.0,17.0,16.75,10.75,0
h120,lower,2006-2012,172,118,0,54,815.0,-955.0,-8.09322033898305,12.5,3280.0,0.5508474576271186,-455.0,730.0,20.0,7.375,6.25,0
h120,lower,2013-2019,193,154,0,39,765.0,-1545.0,-10.032467532467532,45.0,4990.0,0.6428571428571429,-1800.0,975.0,17.0,14.375,8.5,0
h120,lower,2020-2025,144,123,0,21,21125.0,19280.0,156.7479674796748,290.0,8370.0,0.6829268292682927,-2795.0,3720.0,14.0,61.25,40.5,0
h120,upper,all,509,395,0,114,22705.0,16780.0,42.48101265822785,50.0,8370.0,0.6278481012658228,-2795.0,3720.0,17.0,16.75,10.75,0
h120,upper,2006-2012,172,118,0,54,815.0,-955.0,-8.09322033898305,12.5,3280.0,0.5508474576271186,-455.0,730.0,20.0,7.375,6.25,0
h120,upper,2013-2019,193,154,0,39,765.0,-1545.0,-10.032467532467532,45.0,4990.0,0.6428571428571429,-1800.0,975.0,17.0,14.375,8.5,0
h120,upper,2020-2025,144,123,0,21,21125.0,19280.0,156.7479674796748,290.0,8370.0,0.6829268292682927,-2795.0,3720.0,14.0,61.25,40.5,0
h30,lower,all,509,395,0,114,5130.0,-795.0,-2.0126582278481013,35.0,9380.0,0.6227848101265823,-2280.0,3085.0,17.0,16.75,10.75,0
h30,lower,2006-2012,172,118,0,54,1920.0,150.0,1.271186440677966,15.0,2515.0,0.5847457627118644,-280.0,445.0,20.0,7.375,6.25,0
h30,lower,2013-2019,193,154,0,39,135.0,-2175.0,-14.123376623376624,42.5,4610.0,0.6428571428571429,-1800.0,595.0,17.0,14.375,8.5,0
h30,lower,2020-2025,144,123,0,21,3075.0,1230.0,10.0,195.0,7300.0,0.6341463414634146,-2280.0,3085.0,14.0,61.25,40.5,0
h30,upper,all,509,395,0,114,5130.0,-795.0,-2.0126582278481013,35.0,9380.0,0.6227848101265823,-2280.0,3085.0,17.0,16.75,10.75,0
h30,upper,2006-2012,172,118,0,54,1920.0,150.0,1.271186440677966,15.0,2515.0,0.5847457627118644,-280.0,445.0,20.0,7.375,6.25,0
h30,upper,2013-2019,193,154,0,39,135.0,-2175.0,-14.123376623376624,42.5,4610.0,0.6428571428571429,-1800.0,595.0,17.0,14.375,8.5,0
h30,upper,2020-2025,144,123,0,21,3075.0,1230.0,10.0,195.0,7300.0,0.6341463414634146,-2280.0,3085.0,14.0,61.25,40.5,0
v1,lower,all,509,395,0,114,24630.0,18705.0,47.35443037974684,45.0,5120.0,0.640506329113924,-2795.0,3395.0,17.0,16.75,10.75,0
v1,lower,2006-2012,172,118,0,54,1230.0,-540.0,-4.576271186440678,15.0,3375.0,0.5847457627118644,-455.0,445.0,20.0,7.375,6.25,0
v1,lower,2013-2019,193,154,0,39,1105.0,-1205.0,-7.824675324675325,45.0,3595.0,0.6493506493506493,-1800.0,760.0,17.0,14.375,8.5,0
v1,lower,2020-2025,144,123,0,21,22295.0,20450.0,166.260162601626,265.0,5120.0,0.6829268292682927,-2795.0,3395.0,14.0,61.25,40.5,0
v1,upper,all,509,395,0,114,24630.0,18705.0,47.35443037974684,45.0,5120.0,0.640506329113924,-2795.0,3395.0,17.0,16.75,10.75,0
v1,upper,2006-2012,172,118,0,54,1230.0,-540.0,-4.576271186440678,15.0,3375.0,0.5847457627118644,-455.0,445.0,20.0,7.375,6.25,0
v1,upper,2013-2019,193,154,0,39,1105.0,-1205.0,-7.824675324675325,45.0,3595.0,0.6493506493506493,-1800.0,760.0,17.0,14.375,8.5,0
v1,upper,2020-2025,144,123,0,21,22295.0,20450.0,166.260162601626,265.0,5120.0,0.6829268292682927,-2795.0,3395.0,14.0,61.25,40.5,0
