date,size,sum,mean
2006,7,85.0,12.142857142857142
2007,19,275.0,14.473684210526315
2008,15,105.0,7.0
2009,15,-1200.0,-80.0
2010,18,20.0,1.1111111111111112
2011,20,-30.0,-1.5
2012,24,205.0,8.541666666666666
2013,19,435.0,22.894736842105264
2014,36,-785.0,-21.805555555555557
2015,19,1155.0,60.78947368421053
2016,16,315.0,19.6875
2017,20,860.0,43.0
2018,24,-3020.0,-125.83333333333333
2019,20,-165.0,-8.25
2020,21,1250.0,59.523809523809526
2021,19,5295.0,278.6842105263158
2022,19,6370.0,335.2631578947368
2023,22,2720.0,123.63636363636364
2024,23,580.0,25.217391304347824
2025,19,4235.0,222.89473684210526
