ins,минута,время,n,держал,свечей,средняя,чистое,лет+,лет,просадка,отлож n,отлож средняя
NQ,571,09:31,1444,120,0.614,82.3,118820,6,6,48070,119,317.4
NQ,572,09:32,1444,120,0.761,101.4,146490,5,6,57410,119,556.4
NQ,573,09:33,1444,120,1.397,140.3,202630,6,6,43985,119,591.8
NQ,574,09:34,1444,120,1.125,118.4,170950,5,6,40050,119,584.6
NQ,575,09:35,1444,120,0.788,97.0,140060,4,6,51100,119,371.5
NQ,576,09:36,1444,120,1.296,151.8,219150,6,6,35755,119,335.0
NQ,577,09:37,1444,120,0.948,83.8,121065,4,6,42525,119,-201.4
NQ,578,09:38,1444,120,0.739,57.7,83265,4,6,42095,119,-326.4
NQ,579,09:39,1444,120,0.313,-4.5,-6490,3,6,72665,119,39.4
NQ,580,09:40,1444,120,0.137,-21.0,-30260,4,6,82800,119,71.0
NQ,581,09:41,1444,120,0.059,-41.1,-59400,3,6,76680,119,384.0
NQ,582,09:42,1444,120,0.427,45.9,66265,4,6,46525,119,278.5
NQ,583,09:43,1444,120,0.375,43.1,62240,4,6,49420,119,375.6
NQ,584,09:44,1444,120,0.515,74.0,106925,3,6,48505,119,184.2
NQ,585,09:45,1444,120,0.28,15.3,22065,3,6,82260,119,-9.6
NQ,586,09:46,1444,120,0.151,8.0,11495,3,6,61840,119,419.7
NQ,587,09:47,1444,120,0.114,4.9,7070,3,6,92525,119,349.0
NQ,588,09:48,1444,120,0.222,47.1,68065,3,6,54295,119,171.9
NQ,589,09:49,1444,120,0.315,44.5,64330,4,6,41385,119,263.5
NQ,590,09:50,1444,120,0.098,-4.0,-5760,2,6,62615,119,199.7
NQ,591,09:51,1444,120,0.213,22.0,31770,3,6,37080,119,236.8
NQ,592,09:52,1444,120,0.276,50.7,73245,5,6,42080,119,185.1
NQ,593,09:53,1444,120,0.16,20.0,28885,3,6,46270,119,339.8
NQ,594,09:54,1444,120,0.155,33.7,48710,3,6,55310,119,446.1
NQ,595,09:55,1443,120,0.09,7.7,11120,3,6,74925,119,278.5
NQ,596,09:56,1443,120,0.122,25.8,37295,3,6,71425,119,279.3
NQ,597,09:57,1443,120,0.196,38.4,55350,4,6,74605,119,-143.4
NQ,598,09:58,1443,120,0.105,15.1,21760,4,6,51095,119,-82.1
NQ,599,09:59,1443,120,0.191,43.3,62485,4,6,40565,119,-269.0
NQ,600,10:00,1443,120,0.356,92.7,133730,6,6,33470,119,-105.4
NQ,601,10:01,1445,120,0.266,62.8,90760,4,6,49505,119,-120.0
NQ,602,10:02,1445,120,0.244,46.7,67520,4,6,70250,119,-102.5
NQ,603,10:03,1445,120,0.157,5.2,7540,4,6,86460,119,-45.9
NQ,604,10:04,1445,120,0.244,28.7,41525,4,6,85015,119,-29.4
NQ,605,10:05,1445,120,0.231,30.5,44020,5,6,78300,119,-3.1
NQ,606,10:06,1445,120,0.163,13.9,20030,4,6,103190,119,-226.1
NQ,607,10:07,1445,120,0.184,19.2,27795,4,6,117835,119,105.3
NQ,608,10:08,1445,120,0.242,41.0,59185,4,6,74380,119,198.9
NQ,609,10:09,1445,120,0.246,37.8,54605,4,6,63110,119,333.2
NQ,610,10:10,1445,120,0.262,27.1,39195,2,6,59375,119,276.1
NQ,611,10:11,1445,120,0.285,29.6,42835,3,6,57095,119,93.4
NQ,612,10:12,1444,120,0.301,53.6,77360,4,6,37540,119,150.2
NQ,613,10:13,1444,120,0.169,7.1,10295,4,6,58085,119,-10.8
NQ,614,10:14,1444,120,0.154,11.8,17025,3,6,64280,119,-183.2
NQ,615,10:15,1443,120,0.214,30.5,44040,4,6,44465,119,-239.8
NQ,616,10:16,1444,120,0.061,-11.2,-16240,2,6,74550,119,-200.8
NQ,617,10:17,1444,120,0.082,-19.2,-27765,2,6,82055,119,-229.2
NQ,618,10:18,1444,120,0.03,-29.7,-42840,2,6,79475,119,-61.9
NQ,619,10:19,1444,120,0.188,26.4,38065,3,6,63000,119,83.6
NQ,620,10:20,1445,120,0.235,52.0,75165,4,6,41855,119,36.2
NQ,621,10:21,1446,120,0.307,65.0,93985,4,6,62660,119,38.0
NQ,622,10:22,1447,120,0.213,37.3,53975,3,6,53600,119,-156.2
NQ,623,10:23,1447,120,0.099,14.7,21235,2,6,58645,119,-351.8
NQ,624,10:24,1447,120,0.174,37.8,54640,2,6,50480,119,-387.0
NQ,625,10:25,1447,120,-0.071,-49.2,-71130,1,6,90320,119,-373.2
NQ,626,10:26,1447,120,0.032,-42.8,-61910,2,6,78915,119,-526.1
NQ,627,10:27,1447,120,0.074,-31.5,-45600,2,6,86360,119,-580.2
NQ,628,10:28,1447,120,0.042,-59.4,-85900,2,6,102710,119,-488.3
NQ,629,10:29,1447,120,0.086,-61.1,-88360,3,6,122520,119,-453.2
NQ,630,10:30,1447,120,0.04,-49.4,-71430,2,6,95430,119,-405.3
NQ,631,10:31,1447,120,-0.038,-72.4,-104705,1,6,119000,119,-433.5
NQ,632,10:32,1447,120,-0.155,-110.6,-160020,1,6,172845,119,-320.5
NQ,633,10:33,1447,120,-0.013,-60.2,-87150,2,6,116465,119,-123.4
NQ,634,10:34,1446,120,0.029,-50.6,-73140,2,6,114195,119,-127.0
NQ,635,10:35,1446,120,0.01,-51.2,-73965,3,6,111570,119,-106.5
NQ,636,10:36,1446,120,0.084,-36.7,-53010,3,6,87140,119,-96.1
NQ,637,10:37,1446,120,0.154,-20.5,-29625,3,6,93030,119,-90.7
NQ,638,10:38,1447,120,0.146,-24.0,-34680,3,6,91910,119,-91.2
NQ,639,10:39,1447,120,0.094,-33.9,-49095,3,6,80325,119,-49.1
NQ,640,10:40,1447,120,0.076,-21.4,-30915,2,6,61790,119,220.4
NQ,641,10:41,1447,120,0.116,-1.1,-1560,3,6,45630,119,92.1
NQ,642,10:42,1447,120,0.048,-4.6,-6650,3,6,60425,119,170.1
NQ,643,10:43,1447,120,0.0,-34.4,-49715,2,6,74735,119,-44.7
NQ,644,10:44,1447,120,0.049,-19.0,-27460,2,6,58855,119,169.0
NQ,645,10:45,1447,120,0.036,-30.5,-44170,3,6,53230,119,-82.1
NQ,646,10:46,1447,120,0.063,-8.8,-12780,4,6,55250,119,-56.4
NQ,647,10:47,1447,120,0.188,18.0,26010,4,6,48355,119,49.1
NQ,648,10:48,1447,120,0.179,36.8,53195,5,6,46335,119,-34.2
NQ,649,10:49,1447,120,0.117,18.4,26565,2,6,41585,119,288.4
NQ,650,10:50,1447,120,0.053,-4.0,-5845,3,6,67040,119,377.9
NQ,651,10:51,1447,120,0.077,9.5,13760,3,6,60430,119,208.3
NQ,652,10:52,1447,120,-0.05,-29.6,-42870,2,6,71485,119,61.4
NQ,653,10:53,1447,120,-0.047,-24.3,-35160,2,6,76800,119,27.5
NQ,654,10:54,1447,120,0.135,5.6,8080,4,6,58555,119,-4.0
NQ,655,10:55,1447,120,0.138,3.3,4840,4,6,59180,119,68.2
NQ,656,10:56,1447,120,0.072,12.7,18340,3,6,62675,119,33.4
NQ,657,10:57,1447,120,0.197,39.6,57320,4,6,45485,119,-97.6
NQ,658,10:58,1446,120,0.196,41.7,60240,5,6,47105,119,46.1
NQ,659,10:59,1445,120,0.109,21.6,31250,3,6,52175,119,0.6
NQ,660,11:00,1445,120,0.077,8.8,12715,4,6,61895,119,166.5
NQ,661,11:01,1445,120,-0.048,-35.2,-50865,2,6,86940,119,98.6
NQ,662,11:02,1445,120,0.009,-36.6,-52820,2,6,93475,119,115.1
NQ,663,11:03,1445,120,0.035,-29.8,-43110,2,6,77990,119,-77.1
NQ,664,11:04,1445,120,0.053,-14.4,-20845,3,6,68775,119,-142.2
NQ,665,11:05,1445,120,0.014,-15.9,-23035,3,6,75555,119,-184.6
NQ,666,11:06,1445,120,0.178,6.1,8875,2,6,53895,119,-94.5
NQ,667,11:07,1445,120,0.091,-1.8,-2665,3,6,51645,119,-97.4
NQ,668,11:08,1445,120,0.224,37.8,54620,4,6,33505,119,6.6
NQ,669,11:09,1445,120,0.011,-7.5,-10815,3,6,62440,119,-3.7
NQ,670,11:10,1445,120,0.049,0.2,225,2,6,67925,119,59.3
NQ,671,11:11,1445,120,0.135,7.0,10125,4,6,80305,119,103.2
NQ,672,11:12,1445,120,0.027,-8.0,-11520,2,6,65700,119,168.2
NQ,673,11:13,1446,120,-0.058,-23.8,-34460,2,6,104210,119,-87.4
NQ,674,11:14,1446,120,-0.042,-23.4,-33870,1,6,87040,119,-92.5
NQ,675,11:15,1446,120,0.001,-16.9,-24505,3,6,98085,119,-48.4
NQ,676,11:16,1446,120,-0.131,-49.1,-70995,2,6,131380,119,-70.5
NQ,677,11:17,1446,120,-0.088,-51.6,-74650,1,6,123640,119,155.0
NQ,678,11:18,1446,120,-0.077,-41.1,-59455,2,6,103900,119,124.1
NQ,679,11:19,1447,120,0.075,-19.7,-28550,2,6,60975,119,166.4
NQ,680,11:20,1448,120,0.035,-28.3,-41015,1,6,88200,119,287.3
NQ,681,11:21,1447,120,0.081,-8.1,-11670,3,6,78935,119,311.5
NQ,682,11:22,1447,120,0.09,-8.6,-12435,2,6,67150,119,271.8
NQ,683,11:23,1447,120,0.11,-8.7,-12655,2,6,85715,119,135.5
NQ,684,11:24,1447,120,0.084,-22.6,-32700,2,6,82420,119,40.1
NQ,685,11:25,1447,120,0.168,5.6,8115,2,6,59285,119,30.9
NQ,686,11:26,1448,120,0.056,-2.9,-4230,2,6,67935,119,130.9
NQ,687,11:27,1448,120,0.039,-3.6,-5235,2,6,71250,119,144.1
NQ,688,11:28,1448,120,0.114,9.9,14360,2,6,62405,119,126.0
NQ,689,11:29,1448,120,0.033,-17.4,-25255,2,6,86670,119,174.9
NQ,690,11:30,1448,120,0.079,-4.4,-6410,2,6,54750,119,178.7
NQ,691,11:31,1448,120,0.029,-9.5,-13820,3,6,84480,119,89.2
NQ,692,11:32,1448,120,0.048,-0.2,-345,3,6,81765,119,-100.8
NQ,693,11:33,1448,120,-0.045,-22.4,-32460,3,6,85720,119,-116.1
NQ,694,11:34,1448,120,-0.052,-52.2,-75520,3,6,107380,119,8.7
NQ,695,11:35,1448,120,-0.081,-53.9,-77980,2,6,107580,119,60.8
NQ,696,11:36,1448,120,0.001,-47.1,-68235,3,6,107575,119,121.4
NQ,697,11:37,1448,120,0.014,-34.6,-50085,3,6,93500,119,127.7
NQ,698,11:38,1448,120,-0.012,-36.3,-52520,3,6,83680,119,37.9
NQ,699,11:39,1448,120,-0.028,-45.4,-65765,2,6,94010,119,100.5
NQ,700,11:40,1448,120,-0.019,-58.2,-84330,3,6,96845,119,114.4
NQ,701,11:41,1448,120,0.033,-44.0,-63645,2,6,94350,119,77.8
NQ,702,11:42,1448,120,0.301,21.0,30400,2,6,41985,119,32.9
NQ,703,11:43,1448,120,0.053,-28.2,-40775,1,6,93900,119,74.2
NQ,704,11:44,1448,120,0.119,-22.7,-32895,1,6,73705,119,76.3
NQ,705,11:45,1447,120,0.003,-51.8,-75010,2,6,105090,119,43.9
NQ,706,11:46,1447,120,0.004,-44.6,-64595,2,6,77795,119,-22.3
NQ,707,11:47,1447,120,0.107,-33.9,-49115,2,6,56365,119,-10.0
NQ,708,11:48,1447,120,0.221,6.4,9300,4,6,59590,119,66.3
NQ,709,11:49,1447,120,0.078,-9.8,-14125,5,6,73465,119,-88.9
NQ,710,11:50,1447,120,0.122,-17.0,-24600,4,6,87225,119,7.6
NQ,711,11:51,1447,120,-0.119,-47.7,-69030,2,6,120785,119,66.6
NQ,712,11:52,1447,120,0.19,14.4,20875,3,6,57460,119,164.2
NQ,713,11:53,1447,120,-0.011,-11.1,-16025,3,6,80915,119,67.2
NQ,714,11:54,1447,120,-0.184,-82.0,-118620,0,6,124345,119,-92.9
NQ,715,11:55,1446,120,-0.117,-68.2,-98570,0,6,107995,119,-120.0
NQ,716,11:56,1446,120,-0.02,-48.6,-70325,2,6,96075,119,-226.8
NQ,717,11:57,1447,120,-0.057,-54.8,-79345,1,6,111395,119,-114.2
NQ,718,11:58,1447,120,-0.217,-88.3,-127830,1,6,157385,119,-120.2
NQ,719,11:59,1447,120,-0.075,-51.5,-74460,2,6,100745,119,-177.6
NQ,720,12:00,1447,120,0.063,-25.1,-36270,4,6,92580,119,-81.9
NQ,721,12:01,1447,120,0.124,-21.5,-31045,4,6,120940,119,-84.4
NQ,722,12:02,1447,120,0.03,-43.6,-63090,3,6,119030,119,-86.1
NQ,723,12:03,1447,120,0.093,-41.0,-59255,2,6,85090,119,-22.2
NQ,724,12:04,1446,120,-0.039,-54.8,-79180,1,6,93775,119,53.9
NQ,725,12:05,1447,120,0.014,-49.3,-71375,3,6,111500,119,23.5
NQ,726,12:06,1447,120,0.003,-54.0,-78130,3,6,122610,119,16.1
NQ,727,12:07,1447,120,-0.064,-74.1,-107160,1,6,118590,119,58.5
NQ,728,12:08,1447,120,0.012,-10.9,-15710,2,6,53930,119,-34.5
NQ,729,12:09,1447,120,-0.046,-31.1,-45065,2,6,56890,119,-28.5
NQ,730,12:10,1447,120,0.077,-7.0,-10145,3,6,50465,119,81.5
NQ,731,12:11,1447,120,0.087,-14.6,-21085,2,6,40545,119,87.3
NQ,732,12:12,1447,120,0.013,-20.6,-29740,2,6,62860,119,201.4
NQ,733,12:13,1447,120,-0.054,-29.1,-42070,2,6,84955,119,289.4
