door,ts,day,year,side,entry,exit,outcome,minutes,candle,gross,net,holdout
utro_0933,1577975580000000000,2020-01-02 00:00:00-05:00,2020,-1.0,8821.5,8844.04,1,3,1.75,-450.80000000001746,-465.80000000001746,False
utro_0933,1578061980000000000,2020-01-03 00:00:00-05:00,2020,1.0,8811.25,8824.0,2,120,2.875,255.0,240.0,False
utro_0933,1578321180000000000,2020-01-06 00:00:00-05:00,2020,1.0,8760.5,8833.75,2,120,2.5,1465.0,1450.0,False
utro_0933,1578407580000000000,2020-01-07 00:00:00-05:00,2020,-1.0,8859.25,8885.01,1,91,2.0,-515.2000000000044,-530.2000000000044,False
utro_0933,1578493980000000000,2020-01-08 00:00:00-05:00,2020,1.0,8873.75,8883.25,2,120,2.125,190.0,175.0,False
utro_0933,1578580380000000000,2020-01-09 00:00:00-05:00,2020,1.0,9013.5,9004.0,2,120,1.75,-190.0,-205.0,False
utro_0933,1578666780000000000,2020-01-10 00:00:00-05:00,2020,-1.0,9029.0,9017.0,2,120,3.125,240.0,225.0,False
utro_0933,1578925980000000000,2020-01-13 00:00:00-05:00,2020,1.0,9019.75,9046.25,2,120,1.75,530.0,515.0,False
utro_0933,1579012380000000000,2020-01-14 00:00:00-05:00,2020,-1.0,9071.25,9062.75,2,120,2.375,170.0,155.0,False
utro_0933,1579098780000000000,2020-01-15 00:00:00-05:00,2020,1.0,9063.75,9077.0,2,120,2.0,265.0,250.0,False
utro_0933,1579185180000000000,2020-01-16 00:00:00-05:00,2020,1.0,9101.5,9078.96,1,104,1.75,-450.80000000001746,-465.80000000001746,False
utro_0933,1579271580000000000,2020-01-17 00:00:00-05:00,2020,-1.0,9160.25,9141.0,2,120,2.25,385.0,370.0,False
utro_0933,1579530780000000000,2020-01-20 00:00:00-05:00,2020,1.0,9168.75,9172.25,2,120,0.75,70.0,55.0,False
utro_0933,1579617180000000000,2020-01-21 00:00:00-05:00,2020,1.0,9167.75,9193.25,2,120,1.75,510.0,495.0,False
utro_0933,1579703580000000000,2020-01-22 00:00:00-05:00,2020,-1.0,9220.0,9240.93,1,10,1.625,-418.6000000000058,-433.6000000000058,False
utro_0933,1579789980000000000,2020-01-23 00:00:00-05:00,2020,-1.0,9171.25,9205.06,1,57,2.625,-676.1999999999898,-691.1999999999898,False
utro_0933,1579876380000000000,2020-01-24 00:00:00-05:00,2020,-1.0,9272.5,9217.25,2,120,1.5,1105.0,1090.0,False
utro_0933,1580135580000000000,2020-01-27 00:00:00-05:00,2020,1.0,8960.0,8957.25,2,120,5.5,-55.0,-70.0,False
utro_0933,1580221980000000000,2020-01-28 00:00:00-05:00,2020,1.0,9032.25,9090.5,2,120,2.875,1165.0,1150.0,False
utro_0933,1580308380000000000,2020-01-29 00:00:00-05:00,2020,-1.0,9143.25,9121.0,2,120,2.0,445.0,430.0,False
utro_0933,1580394780000000000,2020-01-30 00:00:00-05:00,2020,1.0,9070.25,9065.75,2,120,3.75,-90.0,-105.0,False
utro_0933,1580481180000000000,2020-01-31 00:00:00-05:00,2020,-1.0,9147.75,9030.25,2,120,4.25,2350.0,2335.0,False
utro_0933,1580740380000000000,2020-02-03 00:00:00-05:00,2020,1.0,9060.5,9129.0,2,120,2.75,1370.0,1355.0,False
utro_0933,1580826780000000000,2020-02-04 00:00:00-05:00,2020,-1.0,9241.5,9289.8,1,68,3.75,-965.9999999999854,-980.9999999999854,False
utro_0933,1580913180000000000,2020-02-05 00:00:00-05:00,2020,-1.0,9433.0,9359.25,2,120,3.125,1475.0,1460.0,False
utro_0933,1580999580000000000,2020-02-06 00:00:00-05:00,2020,-1.0,9381.75,9431.66,1,98,3.875,-998.1999999999971,-1013.1999999999971,False
utro_0933,1581085980000000000,2020-02-07 00:00:00-05:00,2020,1.0,9413.0,9463.0,2,120,3.75,1000.0,985.0,False
utro_0933,1581345180000000000,2020-02-10 00:00:00-05:00,2020,1.0,9406.75,9472.0,2,120,3.875,1305.0,1290.0,False
utro_0933,1581431580000000000,2020-02-11 00:00:00-05:00,2020,-1.0,9568.25,9595.62,1,56,2.125,-547.400000000016,-562.400000000016,False
utro_0933,1581517980000000000,2020-02-12 00:00:00-05:00,2020,1.0,9596.0,9570.24,1,19,2.0,-515.2000000000044,-530.2000000000044,False
utro_0933,1581604380000000000,2020-02-13 00:00:00-05:00,2020,1.0,9572.0,9622.75,2,120,3.125,1015.0,1000.0,False
utro_0933,1581690780000000000,2020-02-14 00:00:00-05:00,2020,1.0,9632.5,9601.91,1,39,2.375,-611.8000000000029,-626.8000000000029,False
utro_0933,1581949980000000000,2020-02-17 00:00:00-05:00,2020,1.0,9659.0,9666.25,2,120,1.25,145.0,130.0,False
utro_0933,1582036380000000000,2020-02-18 00:00:00-05:00,2020,1.0,9598.75,9597.5,2,120,2.25,-25.0,-40.0,False
utro_0933,1582122780000000000,2020-02-19 00:00:00-05:00,2020,1.0,9702.0,9733.5,2,120,2.25,630.0,615.0,False
utro_0933,1582209180000000000,2020-02-20 00:00:00-05:00,2020,1.0,9715.0,9686.02,1,5,2.25,-579.5999999999913,-594.5999999999913,False
utro_0933,1582295580000000000,2020-02-21 00:00:00-05:00,2020,1.0,9597.0,9553.53,1,7,3.375,-869.3999999999869,-884.3999999999869,False
utro_0933,1582554780000000000,2020-02-24 00:00:00-05:00,2020,1.0,9139.25,9128.0,2,120,7.75,-225.0,-240.0,False
utro_0933,1582641180000000000,2020-02-25 00:00:00-05:00,2020,-1.0,9144.0,8994.5,2,120,5.125,2990.0,2975.0,False
utro_0933,1582727580000000000,2020-02-26 00:00:00-05:00,2020,1.0,8927.25,9002.25,2,120,8.75,1500.0,1485.0,False
utro_0933,1582813980000000000,2020-02-27 00:00:00-05:00,2020,-1.0,8640.5,8670.0,2,120,11.625,-590.0,-605.0,False
utro_0933,1582900380000000000,2020-02-28 00:00:00-05:00,2020,1.0,8264.5,8359.25,2,120,22.125,1895.0,1880.0,False
utro_0933,1583159580000000000,2020-03-02 00:00:00-05:00,2020,1.0,8556.5,8651.25,2,120,13.75,1895.0,1880.0,False
utro_0933,1583245980000000000,2020-03-03 00:00:00-05:00,2020,-1.0,8860.0,8741.0,2,120,11.5,2380.0,2365.0,False
utro_0933,1583332380000000000,2020-03-04 00:00:00-05:00,2020,1.0,8771.5,8755.75,2,120,8.75,-315.0,-330.0,False
