date,status,side,entry,candle,d30_pts,prot_pts,c_min,s07_candles,s07_reason,d30_usd,prot_usd,s07_usd
2026-05-04,ok,-1,27824.5000,11.0000,-59.2500,-59.2500,,-5.1591,минус на 15-й минуте,-1200.0000,-1200.0000,-1150.0000
2026-05-05,ok,1,28006.5000,6.1250,81.2500,81.2500,,18.3673,120 минут,1610.0000,1610.0000,2235.0000
2026-05-06,ok,1,28420.0000,16.1250,18.2500,18.2500,,9.9845,120 минут,350.0000,350.0000,3205.0000
2026-05-07,ok,1,28745.5000,7.7500,44.7500,-19.0000,19.0000,-4.1290,минус на 15-й минуте,880.0000,-395.0000,-655.0000
2026-05-08,ok,1,28936.0000,13.3750,187.0000,187.0000,,18.5047,120 минут,3725.0000,3725.0000,4935.0000
2026-05-11,ok,1,29423.0000,8.8750,-80.0000,-50.7500,3.0000,-1.9437,минус на 15-й минуте,-1615.0000,-1030.0000,-360.0000
2026-05-12,ok,-1,29182.0000,10.6250,56.5000,56.5000,,-2.9176,минус на 15-й минуте,1115.0000,1115.0000,-635.0000
2026-05-13,ok,-1,29238.7500,9.6250,78.5000,-16.2500,9.0000,-8.9610,120 минут,1555.0000,-340.0000,-1740.0000
2026-05-14,ok,1,29515.5000,12.5000,74.5000,74.5000,,19.2400,120 минут,1475.0000,1475.0000,4795.0000
2026-05-15,ok,1,29247.2500,13.0000,-41.7500,-41.7500,,-7.5769,минус на 15-й минуте,-850.0000,-850.0000,-1985.0000
2026-05-18,ok,-1,29295.2500,15.2500,147.0000,72.0000,18.0000,19.9672,120 минут,2925.0000,1425.0000,6075.0000
2026-05-19,ok,1,28972.7500,20.0000,-98.7500,-43.7500,10.0000,-1.1375,минус на 15-й минуте,-1990.0000,-890.0000,-470.0000
2026-05-20,ok,1,29132.0000,8.3750,-50.5000,-77.0000,23.0000,21.7313,120 минут,-1025.0000,-1555.0000,3625.0000
2026-05-21,ok,1,29212.2500,13.7500,107.7500,0.0000,16.0000,-0.1455,120 минут,2140.0000,-15.0000,-55.0000
2026-05-22,ok,1,29641.7500,11.7500,-84.7500,-14.7500,10.0000,5.0426,120 минут,-1710.0000,-310.0000,1170.0000
2026-05-26,ok,-1,29880.7500,6.6250,-101.5000,-22.7500,9.0000,-14.1509,минус на 15-й минуте,-2045.0000,-470.0000,-1890.0000
2026-05-27,ok,-1,30145.0000,10.8750,54.5000,54.5000,,15.5402,120 минут,1075.0000,1075.0000,3365.0000
2026-05-28,ok,-1,30065.0000,12.7500,82.0000,82.0000,,-16.0000,катастрофический лимит,1625.0000,1625.0000,-4095.0000
2026-05-29,ok,1,30404.5000,7.6250,124.7500,124.7500,,-16.0000,катастрофический лимит,2480.0000,2480.0000,-2455.0000
2026-06-01,ok,1,30399.7500,21.7500,-80.2500,28.5000,17.0000,6.2759,120 минут,-1620.0000,555.0000,2715.0000
2026-06-02,ok,-1,30492.5000,11.8750,-85.7500,-85.7500,,-3.1158,минус на 15-й минуте,-1730.0000,-1730.0000,-755.0000
2026-06-03,ok,1,30792.7500,9.0000,-161.0000,-108.5000,10.0000,-16.0000,катастрофический лимит,-3235.0000,-2185.0000,-2895.0000
2026-06-04,ok,1,30297.0000,12.6250,-62.5000,-23.7500,9.0000,-2.7723,минус на 15-й минуте,-1265.0000,-490.0000,-715.0000
2026-06-05,ok,1,30080.7500,15.5000,-265.7500,-265.7500,,-12.1613,минус на 15-й минуте,-5330.0000,-5330.0000,-3785.0000
2026-06-08,ok,-1,29508.5000,14.8750,117.0000,-13.7500,10.0000,-4.7899,120 минут,2325.0000,-290.0000,-1440.0000
2026-06-09,ok,-1,29686.2500,12.6250,-8.5000,-22.0000,3.0000,-11.1089,минус на 15-й минуте,-185.0000,-455.0000,-2820.0000
2026-06-10,ok,-1,28856.5000,20.8750,-200.5000,-200.5000,,-11.5808,минус на 15-й минуте,-4025.0000,-4025.0000,-4850.0000
2026-06-11,ok,-1,28696.7500,18.0000,-319.2500,-48.7500,11.0000,-10.5417,минус на 15-й минуте,-6400.0000,-990.0000,-3810.0000
2026-06-12,ok,-1,29384.0000,19.6250,-72.2500,-29.7500,3.0000,-16.0000,катастрофический лимит,-1460.0000,-610.0000,-6295.0000
2026-06-15,ok,1,30692.0000,9.8750,31.7500,31.7500,,15.4937,120 минут,620.0000,620.0000,3045.0000
2026-06-16,ok,-1,30790.2500,10.5000,-17.7500,-17.7500,,-7.6905,минус на 15-й минуте,-370.0000,-370.0000,-1630.0000
2026-06-17,ok,-1,30461.7500,10.5000,121.2500,8.0000,3.0000,-2.0476,минус на 15-й минуте,2410.0000,145.0000,-445.0000
2026-06-18,ok,1,30573.7500,15.5000,-65.0000,-155.7500,25.0000,-8.8710,минус на 15-й минуте,-1315.0000,-3130.0000,-2765.0000
2026-06-22,ok,-1,30811.7500,13.0000,-115.5000,-33.7500,3.0000,-4.7692,минус на 15-й минуте,-2325.0000,-690.0000,-1255.0000
2026-06-23,ok,1,29749.2500,18.5000,230.5000,230.5000,,0.1081,120 минут,4595.0000,4595.0000,25.0000
2026-06-24,ok,1,29791.0000,16.7500,-122.0000,-118.5000,8.0000,-8.3881,минус на 15-й минуте,-2455.0000,-2385.0000,-2825.0000
2026-06-25,ok,-1,30070.5000,14.5000,587.0000,587.0000,,26.7414,120 минут,11725.0000,11725.0000,7740.0000
2026-06-26,ok,-1,29291.0000,21.5000,-205.7500,-27.5000,3.0000,-1.2558,минус на 15-й минуте,-4130.0000,-565.0000,-555.0000
2026-06-29,ok,1,29718.7500,11.8750,-146.5000,-32.2500,4.0000,-16.0000,катастрофический лимит,-2945.0000,-660.0000,-3815.0000
2026-06-30,ok,1,30135.0000,15.2500,207.5000,207.5000,,18.7705,120 минут,4135.0000,4135.0000,5710.0000
2026-07-01,ok,-1,30175.2500,18.2500,-82.5000,-22.0000,14.0000,-1.5479,минус на 15-й минуте,-1665.0000,-455.0000,-580.0000
2026-07-02,ok,-1,30079.2500,21.3750,-203.0000,-58.5000,10.0000,-4.0117,минус на 15-й минуте,-4075.0000,-1185.0000,-1730.0000
2026-07-06,ok,1,29907.7500,11.1250,40.2500,40.2500,,14.1348,120 минут,790.0000,790.0000,3130.0000
2026-07-07,ok,-1,29606.7500,14.3750,129.0000,12.7500,12.0000,21.1478,120 минут,2565.0000,240.0000,6065.0000
2026-07-08,ok,1,29319.7500,18.5000,3.7500,3.7500,,-13.0270,120 минут,60.0000,60.0000,-4835.0000
