date,status_local,side_local,entry_local,candle_local,d30_pts_local,prot_pts_local,c_min_local,s07_candles_local,s07_reason_local,d30_usd_local,prot_usd_local,s07_usd_local,status_source,side_source,entry_source,candle_source,d30_pts_source,prot_pts_source,c_min_source,s07_candles_source,s07_reason_source,d30_usd_source,prot_usd_source,s07_usd_source
2026-03-16,ok,1,24900.5000,8.3750,41.7500,41.7500,,5.0746,120 минут,820.0000,820.0000,835.0000,ok,1,24900.5000,8.3750,41.2500,41.2500,,5.0746,120 минут,810.0000,810.0000,835.0000
2026-03-17,ok,1,25059.0000,9.7500,4.5000,4.5000,,-5.3077,120 минут,75.0000,75.0000,-1050.0000,ok,1,25059.2500,9.7500,4.2500,4.2500,,-5.3333,120 минут,70.0000,70.0000,-1055.0000
2026-03-18,ok,1,24940.2500,13.0000,-14.2500,0.2500,19.0000,-2.6154,120 минут,-300.0000,-10.0000,-695.0000,ok,1,24940.2500,13.0000,-14.2500,0.2500,19.0000,-2.6538,120 минут,-300.0000,-10.0000,-705.0000
2026-03-19,ok,-1,24347.0000,18.1250,-173.2500,-173.2500,,-3.2414,минус на 15-й минуте,-3480.0000,-3480.0000,-1190.0000,ok,-1,24347.0000,18.1250,-173.2500,-173.2500,,-3.2414,минус на 15-й минуте,-3480.0000,-3480.0000,-1190.0000
2026-03-20,ok,-1,24414.0000,12.5000,127.2500,127.2500,,-1.5400,минус на 15-й минуте,2530.0000,2530.0000,-400.0000,ok,-1,24414.0000,12.5000,127.2500,127.2500,,-1.5400,минус на 15-й минуте,2530.0000,2530.0000,-400.0000
2026-03-23,ok,-1,24465.7500,21.0000,-143.5000,-114.7500,25.0000,-2.7143,минус на 15-й минуте,-2885.0000,-2310.0000,-1155.0000,ok,-1,24465.7500,21.0000,-143.5000,-114.7500,25.0000,-2.7143,минус на 15-й минуте,-2885.0000,-2310.0000,-1155.0000
2026-03-24,ok,1,24289.5000,17.6250,-58.0000,-125.0000,22.0000,-4.7234,минус на 15-й минуте,-1175.0000,-2515.0000,-1680.0000,ok,1,24289.5000,17.6250,-58.0000,-125.0000,22.0000,-4.7234,минус на 15-й минуте,-1175.0000,-2515.0000,-1680.0000
2026-03-25,ok,1,24460.2500,12.2500,-77.5000,13.7500,11.0000,-1.4490,минус на 15-й минуте,-1565.0000,260.0000,-370.0000,ok,1,24460.2500,12.2500,-77.5000,13.7500,11.0000,-1.4490,минус на 15-й минуте,-1565.0000,260.0000,-370.0000
2026-03-26,ok,-1,24103.0000,10.0000,-105.5000,-112.7500,27.0000,-8.3500,минус на 15-й минуте,-2125.0000,-2270.0000,-1685.0000,ok,-1,24103.0000,10.0000,-105.5000,-112.7500,27.0000,-8.3500,минус на 15-й минуте,-2125.0000,-2270.0000,-1685.0000
2026-03-27,ok,-1,23607.0000,14.7500,91.7500,-12.5000,13.0000,-1.8644,минус на 15-й минуте,1820.0000,-265.0000,-565.0000,ok,-1,23607.0000,14.7500,91.7500,-12.5000,13.0000,-1.8644,минус на 15-й минуте,1820.0000,-265.0000,-565.0000
