date,year,side,entry,candle,d30_pts,d30_close_pts,prot_pts,mae_wick_pts,mae_wick_min,mae_close_pts,mfe_wick_pts,mfe_wick_min,gap_born_min,gap_far_below_entry_pts,c_min,dep2_min,dep2_pts,dep4_min,dep4_pts,dep6_min,dep6_pts,dep8_min,dep8_pts,dep12_min,dep12_pts
2006-01-06,2006,-1,1731.5000,0.5000,6.5000,6.0000,6.5000,-3.5000,2,-2.5000,7.0000,30,5.0000,2.0000,,1.0000,-2.5000,1.0000,-2.5000,,6.5000,,6.5000,,6.5000
2006-01-18,2006,-1,1721.5000,0.5000,-4.5000,-4.0000,-2.0000,-6.5000,16,-6.0000,1.5000,6,6.0000,0.5000,11.0000,11.0000,-2.0000,12.0000,-3.5000,12.0000,-3.5000,13.0000,-5.0000,,-4.5000
2006-01-19,2006,-1,1734.0000,0.5000,1.0000,1.0000,1.0000,-3.0000,11,-2.5000,2.0000,24,14.0000,2.0000,,3.0000,-1.0000,8.0000,-2.5000,,1.0000,,1.0000,,1.0000
2006-01-27,2006,1,1713.0000,0.5000,12.0000,12.0000,12.0000,-6.5000,6,-5.0000,12.0000,30,9.0000,4.5000,,1.0000,-1.5000,3.0000,-2.0000,4.0000,-3.5000,5.0000,-5.0000,,12.0000
2006-02-01,2006,1,1708.0000,0.5000,-3.0000,-3.0000,-2.0000,-4.5000,28,-3.5000,2.0000,3,1.0000,1.0000,13.0000,13.0000,-2.0000,15.0000,-2.5000,28.0000,-3.5000,,-3.0000,,-3.0000
2006-02-03,2006,-1,1673.5000,1.0000,-4.5000,-4.0000,-3.5000,-5.5000,9,-5.0000,0.5000,2,1.0000,3.0000,5.0000,3.0000,-2.5000,7.0000,-4.5000,,-4.5000,,-4.5000,,-4.5000
2006-02-22,2006,-1,1661.5000,0.5000,-0.5000,-0.5000,-0.5000,-2.5000,7,-2.0000,3.5000,23,19.0000,-0.5000,30.0000,5.0000,-1.5000,,-0.5000,,-0.5000,,-0.5000,,-0.5000
2006-03-03,2006,-1,1685.5000,1.5000,-4.5000,-4.5000,-6.0000,-7.0000,19,-6.0000,1.0000,1,9.0000,4.0000,18.0000,4.0000,-4.5000,,-4.5000,,-4.5000,,-4.5000,,-4.5000
2006-03-07,2006,-1,1666.5000,0.5000,1.0000,1.0000,0.0000,-2.5000,3,-1.5000,5.5000,27,8.0000,-1.0000,12.0000,1.0000,-1.0000,,1.0000,,1.0000,,1.0000,,1.0000
2006-03-10,2006,-1,1664.0000,0.5000,3.5000,3.5000,3.5000,-0.5000,1,1.0000,11.5000,17,2.0000,-1.0000,,,3.5000,,3.5000,,3.5000,,3.5000,,3.5000
