ins,эпоха,вид,отметок,на сессию,"до след. отметки, б.п.",t,"до закрытия, б.п.",t 
ES,2006-2012,F,1545,0.92,0.95,1.18,4.79,1.6
ES,2006-2012,S,4296,2.55,1.76,3.74,12.0,4.07
ES,2006-2012,R,1013,0.6,-2.65,-2.23,-1.68,-0.51
ES,2006-2012,I,13240,7.87,0.09,0.36,0.28,0.17
ES,2013-2019,F,1552,0.89,-0.41,-0.87,1.52,0.9
ES,2013-2019,S,4232,2.43,0.86,2.88,3.48,2.01
ES,2013-2019,R,1017,0.58,-0.37,-0.67,-0.43,-0.24
ES,2013-2019,I,14013,8.04,0.14,1.1,-0.17,-0.23
ES,2020-2026,F,1310,0.84,2.58,2.93,7.2,2.79
ES,2020-2026,S,3925,2.52,0.64,1.73,1.58,0.74
ES,2020-2026,R,836,0.54,0.05,0.06,4.18,1.36
ES,2020-2026,I,12517,8.05,-0.08,-0.39,0.59,0.47
