ins,эпоха,вид,отметок,на сессию,"до след. отметки, б.п.",t,"до закрытия, б.п.",t 
NQ,2006-2012,F,1542,0.92,0.7,0.75,1.31,0.4
NQ,2006-2012,S,4528,2.7,0.68,1.39,5.76,1.99
NQ,2006-2012,R,997,0.59,-1.77,-1.61,-2.21,-0.59
NQ,2006-2012,I,13003,7.74,0.72,2.57,-1.56,-1.02
NQ,2013-2019,F,1416,0.81,1.09,1.74,1.89,0.88
NQ,2013-2019,S,4521,2.6,0.94,2.78,2.93,1.47
NQ,2013-2019,R,898,0.52,-0.2,-0.27,-3.61,-1.51
NQ,2013-2019,I,13955,8.02,-0.02,-0.1,-0.51,-0.58
NQ,2020-2026,F,1312,0.84,1.18,1.11,12.35,3.28
NQ,2020-2026,S,4074,2.62,1.62,3.59,4.86,1.91
NQ,2020-2026,R,809,0.52,1.71,1.42,9.87,2.14
NQ,2020-2026,I,12381,7.97,-0.09,-0.35,1.52,1.02
