величина,2020-01…2024-03,2024-04…2026-05,разность,95% низ,95% верх,ноль внутри
свежих выходов на сессию,0.868,0.793,-0.075,-0.168,0.015,True
"доля F, оставшихся за нормой на след. отметке",0.657,0.651,-0.005,-0.062,0.052,True
"доля F, вернувшихся на след. отметке",0.342,0.346,0.004,-0.053,0.059,True
"ход до след. отметки после F, б.п.",1.821,-0.319,-2.14,-6.048,1.798,True
"ход после F, если вернулись (цена ложного выхода), б.п.",-31.025,-25.495,5.53,-0.43,11.453,True
"ход после F, если остались, б.п.",16.961,13.574,-3.387,-7.124,0.408,True
"ход до след. отметки после S, б.п.",1.496,1.898,0.402,-1.478,2.497,True
"ход до закрытия после F, б.п.",12.704,11.532,-1.172,-17.545,21.781,True
"ход до закрытия после R в прежнюю сторону, б.п.",10.156,9.179,-0.977,-21.857,24.876,True
"валовое v0 на сессию, б.п.",5.52,4.679,-0.841,-6.746,5.654,True
