date,status,usd,gross,n_tr,held,open,year
2006-01-24,ok,-130.0,-100.0,1.0,30.0,1270.75,2006
2006-01-25,ok,-335.0,-275.0,2.0,90.0,1274.25,2006
2006-01-26,ok,0.0,0.0,0.0,0.0,1276.75,2006
2006-01-27,ok,195.0,225.0,1.0,359.0,1280.25,2006
2006-01-30,ok,0.0,0.0,0.0,0.0,1288.0,2006
2006-01-31,ok,-160.0,-100.0,2.0,180.0,1286.75,2006
2006-02-01,ok,-142.5,-112.5,1.0,30.0,1281.25,2006
2006-02-02,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-03,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-06,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-07,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-08,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-09,ok,-147.5,-87.5,2.0,180.0,1270.75,2006
2006-02-10,ok,-315.0,-225.0,3.0,209.0,1265.75,2006
2006-02-13,ok,-205.0,-175.0,1.0,119.0,1267.25,2006
2006-02-14,ok,202.5,262.5,2.0,299.0,1265.75,2006
2006-02-15,ok,-205.0,-175.0,1.0,30.0,1277.0,2006
2006-02-16,ok,-92.5,-62.5,1.0,60.0,1283.75,2006
2006-02-17,ok,-17.5,12.5,1.0,120.0,1291.25,2006
2006-02-21,ok,-197.5,-137.5,2.0,240.0,1291.5,2006
2006-02-22,ok,145.0,175.0,1.0,299.0,1287.5,2006
2006-02-23,ok,-130.0,-100.0,1.0,30.0,1292.25,2006
2006-02-24,ok,0.0,0.0,0.0,0.0,1290.75,2006
2006-02-27,ok,-210.0,-150.0,2.0,299.0,1293.25,2006
2006-02-28,ok,282.5,312.5,1.0,329.0,1290.75,2006
2006-03-01,ok,52.5,112.5,2.0,299.0,1284.5,2006
2006-03-02,ok,-117.5,-87.5,1.0,30.0,1287.25,2006
2006-03-03,ok,-255.0,-225.0,1.0,120.0,1284.5,2006
2006-03-06,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-07,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-08,ok,-167.5,-137.5,1.0,30.0,1274.5,2006
2006-03-09,ok,-117.5,-87.5,1.0,60.0,1290.75,2006
2006-03-10,ok,40.0,100.0,2.0,269.0,1284.5,2006
2006-03-13,ok,0.0,0.0,0.0,0.0,1295.5,2006
2006-03-14,ok,352.5,412.5,2.0,329.0,1294.0,2006
2006-03-15,ok,-122.5,-62.5,2.0,59.0,1308.25,2006
2006-03-16,ok,-80.0,-50.0,1.0,30.0,1316.5,2006
2006-03-17,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-20,ok,0.0,0.0,0.0,0.0,1318.0,2006
2006-03-21,ok,-90.0,0.0,3.0,149.0,1314.75,2006
2006-03-22,ok,-15.0,75.0,3.0,239.0,1305.75,2006
2006-03-23,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-24,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-27,ok,0.0,0.0,0.0,0.0,1310.75,2006
2006-03-28,ok,-72.5,-12.5,2.0,59.0,1309.5,2006
2006-03-29,ok,-47.5,12.5,2.0,299.0,1303.5,2006
2006-03-30,ok,-230.0,-200.0,1.0,60.0,1310.75,2006
2006-03-31,ok,-247.5,-187.5,2.0,90.0,1309.25,2006
2006-04-03,ok,-30.0,0.0,1.0,240.0,1309.75,2006
2006-04-04,ok,195.0,225.0,1.0,239.0,1306.0,2006
2006-04-05,ok,-85.0,-25.0,2.0,89.0,1314.75,2006
2006-04-06,ok,-142.5,-112.5,1.0,90.0,1316.75,2006
2006-04-07,ok,420.0,450.0,1.0,329.0,1318.75,2006
2006-04-10,ok,0.0,0.0,0.0,0.0,1304.75,2006
2006-04-11,ok,195.0,225.0,1.0,329.0,1305.75,2006
2006-04-12,ok,0.0,0.0,0.0,0.0,1294.75,2006
2006-04-13,ok,-130.0,-100.0,1.0,30.0,1292.5,2006
2006-04-17,ok,-117.5,-87.5,1.0,90.0,1294.75,2006
2006-04-18,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-04-19,ok,0.0,0.0,0.0,0.0,1313.0,2006
2006-04-20,ok,-342.5,-312.5,1.0,30.0,1315.5,2006
2006-04-21,ok,0.0,0.0,0.0,0.0,1323.25,2006
2006-04-24,ok,-235.0,-175.0,2.0,90.0,1315.0,2006
2006-04-25,ok,-165.0,-75.0,3.0,269.0,1315.75,2006
2006-04-26,ok,-67.5,-37.5,1.0,60.0,1310.0,2006
2006-04-27,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-04-28,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-01,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
