date,status,usd,gross,n_tr,held,open,year
2006-01-24,ok,-195.0,-180.0,1.0,60.0,1691.5,2006
2006-01-25,ok,-315.0,-270.0,3.0,90.0,1702.5,2006
2006-01-26,ok,0.0,0.0,0.0,0.0,1697.5,2006
2006-01-27,ok,-65.0,-50.0,1.0,210.0,1709.5,2006
2006-01-30,ok,0.0,0.0,0.0,0.0,1723.0,2006
2006-01-31,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-02-01,ok,0.0,0.0,0.0,0.0,1706.0,2006
2006-02-02,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-03,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-06,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-07,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-08,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-09,ok,45.0,60.0,1.0,29.0,1681.5,2006
2006-02-10,ok,-245.0,-200.0,3.0,179.0,1660.0,2006
2006-02-13,ok,-5.0,10.0,1.0,179.0,1661.0,2006
2006-02-14,ok,60.0,90.0,2.0,299.0,1654.0,2006
2006-02-15,ok,-280.0,-250.0,2.0,150.0,1662.5,2006
2006-02-16,ok,-35.0,-20.0,1.0,90.0,1683.5,2006
2006-02-17,ok,-5.0,10.0,1.0,60.0,1690.5,2006
2006-02-21,ok,265.0,280.0,1.0,359.0,1679.5,2006
2006-02-22,ok,45.0,60.0,1.0,269.0,1663.0,2006
2006-02-23,ok,-190.0,-160.0,2.0,60.0,1679.5,2006
2006-02-24,ok,0.0,0.0,0.0,0.0,1677.0,2006
2006-02-27,ok,-110.0,-80.0,2.0,299.0,1686.0,2006
2006-02-28,ok,-15.0,0.0,1.0,299.0,1694.0,2006
2006-03-01,ok,95.0,110.0,1.0,269.0,1678.0,2006
2006-03-02,ok,0.0,0.0,0.0,0.0,1691.5,2006
2006-03-03,ok,0.0,0.0,0.0,0.0,1687.0,2006
2006-03-06,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-07,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-08,ok,0.0,0.0,0.0,0.0,1659.0,2006
2006-03-09,ok,-45.0,-30.0,1.0,30.0,1686.5,2006
2006-03-10,ok,-245.0,-230.0,1.0,60.0,1665.5,2006
2006-03-13,ok,0.0,0.0,0.0,0.0,1676.0,2006
2006-03-14,ok,295.0,310.0,1.0,359.0,1671.0,2006
2006-03-15,ok,0.0,0.0,0.0,0.0,1707.0,2006
2006-03-16,ok,-45.0,-30.0,1.0,30.0,1720.0,2006
2006-03-17,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-20,ok,0.0,0.0,0.0,0.0,1710.0,2006
2006-03-21,ok,-285.0,-240.0,3.0,179.0,1706.5,2006
2006-03-22,ok,0.0,0.0,0.0,0.0,1680.5,2006
2006-03-23,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-24,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-27,ok,-55.0,-40.0,1.0,30.0,1696.5,2006
2006-03-28,ok,-110.0,-80.0,2.0,89.0,1699.5,2006
2006-03-29,ok,385.0,400.0,1.0,329.0,1691.5,2006
2006-03-30,ok,-15.0,0.0,1.0,30.0,1724.0,2006
2006-03-31,ok,0.0,0.0,0.0,0.0,1730.0,2006
2006-04-03,ok,0.0,0.0,0.0,0.0,1730.0,2006
2006-04-04,ok,-160.0,-130.0,2.0,90.0,1725.0,2006
2006-04-05,ok,0.0,30.0,2.0,179.0,1735.5,2006
2006-04-06,ok,-65.0,-50.0,1.0,60.0,1747.0,2006
2006-04-07,ok,215.0,230.0,1.0,329.0,1759.5,2006
2006-04-10,ok,0.0,0.0,0.0,0.0,1740.0,2006
2006-04-11,ok,185.0,200.0,1.0,359.0,1738.0,2006
2006-04-12,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-04-13,ok,-135.0,-120.0,1.0,240.0,1717.5,2006
2006-04-17,ok,125.0,140.0,1.0,179.0,1723.0,2006
2006-04-18,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-04-19,ok,0.0,0.0,0.0,0.0,1742.0,2006
2006-04-20,ok,-475.0,-430.0,3.0,90.0,1746.0,2006
2006-04-21,ok,85.0,100.0,1.0,89.0,1748.0,2006
2006-04-24,ok,-115.0,-100.0,1.0,120.0,1718.0,2006
2006-04-25,ok,-205.0,-160.0,3.0,90.0,1723.0,2006
2006-04-26,ok,0.0,0.0,0.0,0.0,1713.5,2006
2006-04-27,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-04-28,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-01,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-02,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-05-03,ok,0.0,0.0,0.0,0.0,1696.0,2006
2006-05-04,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-05,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-08,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-09,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-10,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-11,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-12,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-15,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-16,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-17,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-18,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-19,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-22,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-23,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-05-24,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-05-25,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-05-26,ok,0.0,0.0,0.0,0.0,1608.0,2006
2006-05-30,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-05-31,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-06-01,ok,375.0,405.0,2.0,329.0,1585.0,2006
2006-06-02,ok,-310.0,-280.0,2.0,150.0,1627.5,2006
2006-06-05,ok,320.0,350.0,2.0,239.0,1611.0,2006
2006-06-06,ok,-405.0,-360.0,3.0,239.0,1582.75,2006
2006-06-07,ok,-230.0,-200.0,2.0,90.0,1579.5,2006
2006-06-08,ok,-340.0,-310.0,2.0,120.0,1576.25,2006
2006-06-09,ok,-250.0,-220.0,2.0,60.0,1586.75,2006
2006-06-12,ok,300.0,330.0,2.0,299.0,1572.0,2006
2006-06-13,ok,0.0,0.0,0.0,0.0,1544.0,2006
2006-06-14,ok,-105.0,-90.0,1.0,60.0,1537.25,2006
2006-06-15,ok,530.0,545.0,1.0,359.0,1556.0,2006
2006-06-16,ok,25.0,40.0,1.0,90.0,1586.25,2006
2006-06-19,ok,-170.0,-140.0,2.0,120.0,1585.0,2006
2006-06-20,ok,-85.0,-70.0,1.0,30.0,1567.75,2006
2006-06-21,ok,290.0,305.0,1.0,359.0,1569.0,2006
2006-06-22,ok,-10.0,5.0,1.0,329.0,1588.5,2006
2006-06-23,ok,0.0,0.0,0.0,0.0,1570.5,2006
2006-06-26,ok,0.0,0.0,0.0,0.0,1569.5,2006
2006-06-27,ok,320.0,335.0,1.0,299.0,1574.25,2006
2006-06-28,ok,0.0,0.0,0.0,0.0,1547.0,2006
2006-06-29,ok,470.0,500.0,2.0,119.0,1560.0,2006
2006-06-30,ok,30.0,45.0,1.0,30.0,1608.0,2006
2006-07-03,ok,0.0,0.0,0.0,0.0,1598.5,2006
2006-07-05,ok,70.0,100.0,2.0,329.0,1587.25,2006
2006-07-06,ok,0.0,0.0,0.0,0.0,1571.25,2006
2006-07-07,ok,0.0,0.0,0.0,0.0,1554.75,2006
2006-07-10,ok,15.0,30.0,1.0,119.0,1551.25,2006
2006-07-11,ok,0.0,0.0,0.0,0.0,1530.5,2006
2006-07-12,ok,280.0,310.0,2.0,329.0,1541.5,2006
2006-07-13,ok,-135.0,-120.0,1.0,30.0,1504.25,2006
2006-07-14,ok,65.0,95.0,2.0,329.0,1489.0,2006
2006-07-17,ok,-160.0,-130.0,2.0,60.0,1474.75,2006
2006-07-18,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-07-19,ok,85.0,115.0,2.0,329.0,1479.75,2006
2006-07-20,ok,-25.0,-10.0,1.0,60.0,1505.75,2006
2006-07-21,ok,-115.0,-100.0,1.0,60.0,1470.75,2006
2006-07-24,ok,95.0,140.0,3.0,269.0,1468.5,2006
2006-07-25,ok,0.0,0.0,0.0,0.0,1494.0,2006
2006-07-26,ok,-30.0,-15.0,1.0,60.0,1494.5,2006
2006-07-27,ok,-25.0,-10.0,1.0,30.0,1504.0,2006
2006-07-28,ok,-15.0,15.0,2.0,299.0,1496.25,2006
2006-07-31,ok,-55.0,-40.0,1.0,30.0,1517.25,2006
2006-08-01,ok,-25.0,-10.0,1.0,329.0,1505.25,2006
2006-08-02,ok,-20.0,10.0,2.0,240.0,1497.75,2006
2006-08-03,ok,-75.0,-60.0,1.0,149.0,1495.0,2006
2006-08-04,ok,-150.0,-135.0,1.0,60.0,1530.75,2006
2006-08-07,ok,-125.0,-110.0,1.0,30.0,1510.25,2006
2006-08-08,ok,0.0,0.0,0.0,0.0,1505.0,2006
2006-08-09,ok,-45.0,-30.0,1.0,30.0,1512.25,2006
2006-08-10,ok,0.0,15.0,1.0,30.0,1489.5,2006
2006-08-11,ok,-90.0,-75.0,1.0,30.0,1496.75,2006
2006-08-14,ok,-60.0,-45.0,1.0,150.0,1505.75,2006
2006-08-15,ok,-130.0,-85.0,3.0,179.0,1521.0,2006
2006-08-16,ok,135.0,150.0,1.0,59.0,1552.0,2006
2006-08-17,ok,-65.0,-50.0,1.0,180.0,1570.75,2006
2006-08-18,ok,-135.0,-120.0,1.0,90.0,1577.75,2006
2006-08-21,ok,-25.0,-10.0,1.0,30.0,1571.25,2006
2006-08-22,ok,30.0,45.0,1.0,150.0,1566.0,2006
2006-08-23,ok,-180.0,-150.0,2.0,299.0,1569.25,2006
2006-08-24,ok,0.0,0.0,0.0,0.0,1560.5,2006
2006-08-25,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-08-28,ok,30.0,45.0,1.0,329.0,1561.0,2006
2006-08-29,ok,-185.0,-170.0,1.0,270.0,1573.0,2006
2006-08-30,ok,0.0,0.0,0.0,0.0,1578.75,2006
2006-08-31,ok,0.0,0.0,0.0,0.0,1586.25,2006
2006-09-01,ok,0.0,0.0,0.0,0.0,1592.0,2006
2006-09-05,ok,-165.0,-105.0,4.0,209.0,1593.25,2006
2006-09-06,ok,45.0,60.0,1.0,59.0,1591.0,2006
2006-09-07,ok,-195.0,-180.0,1.0,90.0,1588.5,2006
2006-09-08,ok,15.0,30.0,1.0,149.0,1586.75,2006
2006-09-11,ok,-105.0,-90.0,1.0,149.0,1581.25,2006
2006-09-12,ok,530.0,545.0,1.0,359.0,1603.75,2006
2006-09-13,ok,-150.0,-120.0,2.0,90.0,1634.75,2006
2006-09-14,ok,0.0,0.0,0.0,0.0,1639.5,2006
2006-09-15,ok,0.0,0.0,0.0,0.0,1661.25,2006
2006-09-18,ok,-305.0,-260.0,3.0,180.0,1651.0,2006
2006-09-19,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-09-20,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-09-21,ok,-10.0,5.0,1.0,89.0,1666.75,2006
2006-09-22,ok,70.0,85.0,1.0,359.0,1651.75,2006
2006-09-25,ok,-60.0,-15.0,3.0,179.0,1647.0,2006
2006-09-26,ok,0.0,0.0,0.0,0.0,1666.0,2006
2006-09-27,ok,0.0,0.0,0.0,0.0,1673.5,2006
2006-09-28,ok,0.0,0.0,0.0,0.0,1676.5,2006
2006-09-29,ok,0.0,0.0,0.0,0.0,1680.5,2006
2006-10-02,ok,-5.0,10.0,1.0,119.0,1668.25,2006
2006-10-03,ok,-70.0,-55.0,1.0,209.0,1645.5,2006
2006-10-04,ok,550.0,565.0,1.0,329.0,1651.25,2006
2006-10-05,ok,0.0,0.0,0.0,0.0,1695.25,2006
2006-10-06,ok,0.0,0.0,0.0,0.0,1698.25,2006
2006-10-09,ok,-115.0,-85.0,2.0,60.0,1698.0,2006
2006-10-10,ok,0.0,0.0,0.0,0.0,1708.5,2006
2006-10-11,ok,0.0,0.0,0.0,0.0,1700.75,2006
2006-10-12,ok,0.0,15.0,1.0,29.0,1713.25,2006
2006-10-13,ok,-70.0,-40.0,2.0,120.0,1731.75,2006
2006-10-16,ok,-55.0,-40.0,1.0,30.0,1740.25,2006
2006-10-17,ok,-170.0,-140.0,2.0,270.0,1729.75,2006
2006-10-18,ok,-280.0,-235.0,3.0,149.0,1731.0,2006
2006-10-19,ok,-35.0,-20.0,1.0,90.0,1709.0,2006
2006-10-20,ok,-85.0,-70.0,1.0,60.0,1723.75,2006
2006-10-23,ok,-110.0,-95.0,1.0,329.0,1717.75,2006
2006-10-24,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-10-25,ok,-70.0,-55.0,1.0,150.0,1726.25,2006
2006-10-26,ok,-50.0,-35.0,1.0,89.0,1743.0,2006
2006-10-27,ok,120.0,135.0,1.0,119.0,1749.0,2006
2006-10-30,ok,-110.0,-80.0,2.0,209.0,1726.0,2006
2006-10-31,ok,0.0,0.0,0.0,0.0,1741.75,2006
2006-11-01,ok,110.0,140.0,2.0,179.0,1748.0,2006
2006-11-02,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-11-03,ok,-100.0,-85.0,1.0,150.0,1721.25,2006
2006-11-06,ok,155.0,170.0,1.0,359.0,1720.5,2006
2006-11-07,ok,-40.0,-10.0,2.0,300.0,1738.75,2006
2006-11-08,ok,0.0,0.0,0.0,0.0,1740.5,2006
2006-11-09,ok,0.0,0.0,0.0,0.0,1767.25,2006
2006-11-10,ok,0.0,0.0,0.0,0.0,1749.5,2006
2006-11-13,ok,-20.0,-5.0,1.0,330.0,1758.75,2006
2006-11-14,ok,0.0,0.0,0.0,0.0,1776.25,2006
2006-11-15,ok,-55.0,-25.0,2.0,150.0,1795.75,2006
2006-11-16,ok,0.0,0.0,0.0,0.0,1806.25,2006
2006-11-17,ok,0.0,0.0,0.0,0.0,1798.25,2006
2006-11-20,ok,0.0,0.0,0.0,0.0,1801.75,2006
2006-11-21,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2006
2006-11-22,ok,0.0,0.0,0.0,0.0,1818.0,2006
2006-11-24,ok,0.0,0.0,0.0,0.0,1809.25,2006
2006-11-27,ok,570.0,585.0,1.0,359.0,1815.25,2006
2006-11-28,ok,0.0,0.0,0.0,0.0,1774.25,2006
2006-11-29,ok,0.0,0.0,0.0,0.0,1793.0,2006
2006-11-30,ok,-90.0,-75.0,1.0,30.0,1794.25,2006
2006-12-01,ok,165.0,180.0,1.0,359.0,1793.0,2006
2006-12-04,ok,85.0,100.0,1.0,329.0,1784.0,2006
2006-12-05,ok,0.0,0.0,0.0,0.0,1807.75,2006
2006-12-06,ok,-80.0,-65.0,1.0,30.0,1803.0,2006
2006-12-07,ok,0.0,0.0,0.0,0.0,1826.25,2006
2006-12-08,ok,-220.0,-205.0,1.0,269.0,1794.5,2006
2006-12-11,ok,100.0,115.0,1.0,300.0,1805.0,2006
2006-12-12,ok,-195.0,-180.0,1.0,120.0,1813.75,2006
2006-12-13,ok,0.0,0.0,0.0,0.0,1815.5,2006
2006-12-14,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-12-15,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-12-18,ok,-115.0,-85.0,2.0,89.0,1836.75,2006
2006-12-19,ok,0.0,0.0,0.0,0.0,1798.75,2006
2006-12-20,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-12-21,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-12-22,ok,-90.0,-60.0,2.0,270.0,1786.25,2006
2006-12-26,ok,0.0,0.0,0.0,0.0,1765.75,2006
2006-12-27,ok,0.0,0.0,0.0,0.0,1776.75,2006
2006-12-28,ok,0.0,0.0,0.0,0.0,1776.5,2006
2006-12-29,ok,-65.0,-50.0,1.0,150.0,1776.0,2006
2007-01-03,ok,-490.0,-460.0,2.0,240.0,1786.75,2007
2007-01-04,"unknown:нет цены на отметке, нормы или цены исполнения",,,,,,2007
2007-01-05,ok,-325.0,-295.0,2.0,120.0,1805.25,2007
2007-01-08,"unknown:нет open, вчерашнего close или close сессии",,,,,,2007
2007-01-09,"unknown:нет open, вчерашнего close или close сессии",,,,,,2007
2007-01-10,ok,60.0,90.0,2.0,179.0,1803.75,2007
2007-01-11,ok,195.0,210.0,1.0,359.0,1834.75,2007
2007-01-12,ok,-195.0,-180.0,1.0,30.0,1847.5,2007
2007-01-16,ok,0.0,0.0,0.0,0.0,1861.0,2007
2007-01-17,ok,0.0,0.0,0.0,0.0,1849.5,2007
2007-01-18,"unknown:нет open, вчерашнего close или close сессии",,,,,,2007
2007-01-19,"unknown:нет open, вчерашнего close или close сессии",,,,,,2007
2007-01-22,ok,255.0,270.0,1.0,359.0,1812.75,2007
2007-01-23,ok,-95.0,-80.0,1.0,30.0,1790.0,2007
2007-01-24,ok,90.0,105.0,1.0,299.0,1797.5,2007
2007-01-25,ok,140.0,170.0,2.0,239.0,1817.25,2007
2007-01-26,ok,-70.0,-55.0,1.0,60.0,1794.25,2007
2007-01-29,ok,-95.0,-80.0,1.0,30.0,1779.5,2007
2007-01-30,ok,0.0,0.0,0.0,0.0,1788.75,2007
2007-01-31,"unknown:нет open, вчерашнего close или close сессии",,,,,,2007
2007-02-01,ok,0.0,0.0,0.0,0.0,1811.0,2007
2007-02-02,"unknown:нет open, вчерашнего close или close сессии",,,,,,2007
2007-02-05,"unknown:нет open, вчерашнего close или close сессии",,,,,,2007
2007-02-06,ok,-175.0,-160.0,1.0,180.0,1808.0,2007
2007-02-07,ok,-65.0,-50.0,1.0,180.0,1811.0,2007
2007-02-08,ok,-80.0,-65.0,1.0,30.0,1815.75,2007
2007-02-09,ok,65.0,80.0,1.0,179.0,1821.5,2007
2007-02-12,ok,-130.0,-85.0,3.0,150.0,1793.5,2007
2007-02-13,ok,-180.0,-165.0,1.0,60.0,1789.25,2007
2007-02-14,ok,85.0,100.0,1.0,329.0,1799.5,2007
2007-02-15,ok,0.0,0.0,0.0,0.0,1822.25,2007
2007-02-16,ok,0.0,0.0,0.0,0.0,1824.0,2007
2007-02-20,ok,-40.0,-10.0,2.0,239.0,1822.75,2007
2007-02-21,ok,0.0,0.0,0.0,0.0,1833.0,2007
2007-02-22,ok,-115.0,-100.0,1.0,30.0,1850.25,2007
2007-02-23,ok,-55.0,-40.0,1.0,120.0,1851.5,2007
2007-02-26,ok,-30.0,0.0,2.0,299.0,1854.0,2007
2007-02-27,ok,755.0,770.0,1.0,239.0,1808.75,2007
2007-02-28,ok,-380.0,-335.0,3.0,179.0,1757.5,2007
2007-03-01,ok,0.0,0.0,0.0,0.0,1733.0,2007
2007-03-02,ok,0.0,0.0,0.0,0.0,1742.5,2007
2007-03-05,ok,0.0,0.0,0.0,0.0,1716.25,2007
2007-03-06,ok,-75.0,-60.0,1.0,29.0,1731.75,2007
2007-03-07,ok,0.0,0.0,0.0,0.0,1743.75,2007
2007-03-08,ok,0.0,0.0,0.0,0.0,1775.5,2007
2007-03-09,ok,0.0,0.0,0.0,0.0,1783.5,2007
2007-03-12,ok,0.0,0.0,0.0,0.0,1765.0,2007
2007-03-13,ok,115.0,145.0,2.0,179.0,1770.25,2007
2007-03-14,ok,50.0,65.0,1.0,29.0,1745.25,2007
2007-03-15,ok,0.0,0.0,0.0,0.0,1762.75,2007
2007-03-16,"unknown:нет open, вчерашнего close или close сессии",,,,,,2007
2007-03-19,"unknown:нет open, вчерашнего close или close сессии",,,,,,2007
2007-03-20,ok,-135.0,-120.0,1.0,90.0,1779.5,2007
2007-03-21,ok,100.0,115.0,1.0,59.0,1794.25,2007
2007-03-22,ok,-140.0,-110.0,2.0,180.0,1827.0,2007
2007-03-23,ok,0.0,0.0,0.0,0.0,1819.75,2007
2007-03-26,"unknown:нет open, вчерашнего close или close сессии",,,,,,2007
2007-03-27,ok,-195.0,-150.0,3.0,150.0,1817.75,2007
2007-03-28,ok,-30.0,-15.0,1.0,30.0,1799.75,2007
2007-03-29,ok,0.0,15.0,1.0,180.0,1800.25,2007
2007-03-30,ok,-55.0,-40.0,1.0,30.0,1789.5,2007
2007-04-02,ok,-130.0,-100.0,2.0,60.0,1793.25,2007
2007-04-03,ok,180.0,195.0,1.0,359.0,1799.25,2007
2007-04-04,ok,0.0,0.0,0.0,0.0,1813.0,2007
2007-04-05,ok,50.0,65.0,1.0,29.0,1817.5,2007
2007-04-09,ok,0.0,0.0,0.0,0.0,1834.5,2007
2007-04-10,ok,-50.0,-35.0,1.0,60.0,1823.5,2007
2007-04-11,ok,200.0,215.0,1.0,359.0,1831.25,2007
2007-04-12,ok,25.0,55.0,2.0,269.0,1810.0,2007
2007-04-13,ok,5.0,20.0,1.0,60.0,1827.25,2007
2007-04-16,ok,-170.0,-110.0,4.0,119.0,1837.75,2007
2007-04-17,ok,0.0,0.0,0.0,0.0,1850.25,2007
2007-04-18,ok,0.0,0.0,0.0,0.0,1841.0,2007
2007-04-19,ok,0.0,0.0,0.0,0.0,1835.75,2007
2007-04-20,ok,0.0,0.0,0.0,0.0,1864.5,2007
