date,status,usd,gross,n_tr,held,open,year
2006-01-24,ok,-75.0,-60.0,1.0,30.0,10731.0,2006
2006-01-25,ok,-135.0,-120.0,1.0,30.0,10760.0,2006
2006-01-26,ok,-95.0,-65.0,2.0,119.0,10792.0,2006
2006-01-27,ok,65.0,80.0,1.0,329.0,10848.0,2006
2006-01-30,ok,0.0,0.0,0.0,0.0,10932.0,2006
2006-01-31,ok,0.0,0.0,0.0,0.0,10906.0,2006
2006-02-01,ok,30.0,60.0,2.0,269.0,10878.0,2006
2006-02-02,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-03,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-06,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-07,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-08,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-02-09,ok,-60.0,-45.0,1.0,270.0,10893.0,2006
2006-02-10,ok,-235.0,-205.0,2.0,149.0,10891.0,2006
2006-02-13,ok,-140.0,-110.0,2.0,60.0,10915.0,2006
2006-02-14,ok,320.0,350.0,2.0,329.0,10933.0,2006
2006-02-15,ok,-140.0,-125.0,1.0,30.0,11033.0,2006
2006-02-16,ok,0.0,0.0,0.0,0.0,11083.0,2006
2006-02-17,ok,15.0,30.0,1.0,60.0,11125.0,2006
2006-02-21,ok,-170.0,-140.0,2.0,270.0,11136.0,2006
2006-02-22,ok,80.0,95.0,1.0,329.0,11096.0,2006
2006-02-23,ok,-215.0,-200.0,1.0,90.0,11125.0,2006
2006-02-24,ok,-100.0,-85.0,1.0,30.0,11072.0,2006
2006-02-27,ok,-255.0,-210.0,3.0,269.0,11092.0,2006
2006-02-28,ok,50.0,65.0,1.0,299.0,11073.0,2006
2006-03-01,ok,-140.0,-95.0,3.0,179.0,11028.0,2006
2006-03-02,ok,0.0,0.0,0.0,0.0,11018.0,2006
2006-03-03,ok,-50.0,-35.0,1.0,150.0,10988.0,2006
2006-03-06,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-07,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-08,ok,-215.0,-185.0,2.0,89.0,10966.0,2006
2006-03-09,ok,-45.0,-30.0,1.0,60.0,11083.0,2006
2006-03-10,ok,170.0,185.0,1.0,299.0,11068.0,2006
2006-03-13,ok,0.0,0.0,0.0,0.0,11169.0,2006
2006-03-14,ok,30.0,45.0,1.0,149.0,11149.0,2006
2006-03-15,ok,-75.0,-45.0,2.0,59.0,11237.0,2006
2006-03-16,ok,-155.0,-125.0,2.0,90.0,11312.0,2006
2006-03-17,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-20,ok,-90.0,-75.0,1.0,30.0,11357.0,2006
2006-03-21,ok,-75.0,-45.0,2.0,149.0,11362.0,2006
2006-03-22,ok,210.0,225.0,1.0,359.0,11313.0,2006
2006-03-23,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-24,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-03-27,ok,0.0,0.0,0.0,0.0,11329.0,2006
2006-03-28,ok,210.0,225.0,1.0,89.0,11311.0,2006
2006-03-29,ok,30.0,45.0,1.0,269.0,11232.0,2006
2006-03-30,ok,-300.0,-255.0,3.0,270.0,11265.0,2006
2006-03-31,ok,-160.0,-130.0,2.0,60.0,11227.0,2006
2006-04-03,ok,-70.0,-55.0,1.0,240.0,11228.0,2006
2006-04-04,ok,30.0,60.0,2.0,299.0,11198.0,2006
2006-04-05,ok,-40.0,-25.0,1.0,30.0,11257.0,2006
2006-04-06,ok,-110.0,-80.0,2.0,150.0,11285.0,2006
2006-04-07,ok,305.0,320.0,1.0,329.0,11292.0,2006
2006-04-10,ok,5.0,20.0,1.0,30.0,11197.0,2006
2006-04-11,ok,45.0,60.0,1.0,329.0,11221.0,2006
2006-04-12,ok,-25.0,-10.0,1.0,30.0,11155.0,2006
2006-04-13,ok,-70.0,-55.0,1.0,30.0,11166.0,2006
2006-04-17,ok,-25.0,5.0,2.0,179.0,11173.0,2006
2006-04-18,ok,475.0,505.0,2.0,329.0,11144.0,2006
2006-04-19,ok,0.0,0.0,0.0,0.0,11322.0,2006
2006-04-20,ok,185.0,200.0,1.0,359.0,11327.0,2006
2006-04-21,ok,0.0,0.0,0.0,0.0,11441.0,2006
2006-04-24,ok,-75.0,-60.0,1.0,30.0,11374.0,2006
2006-04-25,ok,-260.0,-215.0,3.0,239.0,11394.0,2006
2006-04-26,ok,-130.0,-85.0,3.0,180.0,11342.0,2006
2006-04-27,"unknown:нет open, вчерашнего close или close сессии",,,,,,2006
2006-04-28,ok,0.0,0.0,0.0,0.0,11436.0,2006
2006-05-01,ok,0.0,15.0,1.0,59.0,11433.0,2006
