окно,ins,эпоха,окон,неизвестных,сделок/окно,валовое б.п.,t,$ после расхода
L 03:00-09:25 ET,NQ,2006-2012,780,1185,1.44,-2.51,-1.55,-26.6
L 03:00-09:25 ET,NQ,2013-2019,1608,1185,1.38,-0.2,-0.3,-21.7
L 03:00-09:25 ET,NQ,2020-2026,1528,1185,1.39,-1.47,-1.34,-58.4
L 03:00-09:25 ET,NQ,2021+,1308,1185,1.42,-2.02,-1.73,-73.5
L 03:00-09:25 ET,ES,2006-2012,1426,421,1.52,-2.68,-2.26,-60.3
L 03:00-09:25 ET,ES,2013-2019,1710,421,1.42,-0.93,-1.65,-52.8
L 03:00-09:25 ET,ES,2020-2026,1544,421,1.36,-2.04,-2.14,-77.4
L 03:00-09:25 ET,ES,2021+,1313,421,1.38,-1.65,-1.76,-75.5
L 03:00-09:25 ET,YM,2006-2012,789,1210,1.48,-0.97,-0.59,-25.2
L 03:00-09:25 ET,YM,2013-2019,1576,1210,1.38,0.8,1.21,-12.8
L 03:00-09:25 ET,YM,2020-2026,1526,1210,1.38,-0.77,-0.95,-32.2
L 03:00-09:25 ET,YM,2021+,1304,1210,1.4,-1.14,-1.38,-37.4
A 20:00-02:25 ET,NQ,2006-2012,14,2804,1.43,7.99,1.09,13.6
A 20:00-02:25 ET,NQ,2013-2019,748,2804,1.21,0.81,0.8,-11.8
A 20:00-02:25 ET,NQ,2020-2026,1535,2804,1.26,-0.35,-0.48,-18.0
A 20:00-02:25 ET,NQ,2021+,1291,2804,1.26,-0.11,-0.15,-11.6
A 20:00-02:25 ET,ES,2006-2012,686,1485,1.34,1.08,1.12,-34.3
A 20:00-02:25 ET,ES,2013-2019,1392,1485,1.28,0.62,1.04,-33.5
A 20:00-02:25 ET,ES,2020-2026,1538,1485,1.24,-0.12,-0.2,-37.9
A 20:00-02:25 ET,ES,2021+,1289,1485,1.24,-0.16,-0.29,-38.5
A 20:00-02:25 ET,YM,2006-2012,3,3170,1.67,12.1,1.59,35.0
A 20:00-02:25 ET,YM,2013-2019,687,3170,1.26,0.5,0.58,-17.2
A 20:00-02:25 ET,YM,2020-2026,1241,3170,1.32,0.26,0.38,-14.7
A 20:00-02:25 ET,YM,2021+,1003,3170,1.33,0.14,0.25,-16.4
