ins,версия,эпоха,сессий,со сделкой,сделок/сессию,минут в позиции,средняя $,m,t,валовое б.п./сессию,t валового б.п.,итог $,лет+,просадка $,худший день $,без лучших 5% $,доля приб. сделок,ср. выигрыш $,ср. проигрыш $,net откр. до 11:30 $,net откр. позже $
NQ,v0 как у источника,2006-2012,1680,0.647,0.92,108.0,-3.1,-0.013,-0.54,2.46,1.51,-5205,4/7,15110,-1775,-61285,0.315,252.0,-121.0,1885,-7090
NQ,v0 как у источника,2013-2019,1741,0.584,0.81,102.0,27.1,0.054,2.26,3.32,3.18,47235,5/7,6600,-3600,-90890,0.358,505.0,-230.0,36075,11160
NQ,v0 как у источника,2020-2026,1555,0.594,0.84,104.0,141.6,0.08,3.17,5.25,3.57,220190,6/7,37300,-6285,-168335,0.418,1695.0,-927.0,104950,115240
NQ,v0 как у источника,после источника 2024-04+,493,0.566,0.79,101.0,163.7,0.071,1.57,4.68,1.79,80685,2/3,37300,-6285,-81930,0.407,2187.0,-1151.0,58020,22665
NQ,расход x2,2006-2012,1680,0.647,0.92,108.0,-16.9,-0.071,-2.92,2.46,1.51,-28335,2/7,32440,-1805,-82975,0.295,253.0,-132.0,-9665,-18670
NQ,расход x2,2013-2019,1741,0.584,0.81,102.0,14.9,0.03,1.24,3.32,3.18,25995,2/7,15090,-3630,-110615,0.334,525.0,-236.0,25035,960
NQ,расход x2,2020-2026,1555,0.594,0.84,104.0,128.9,0.073,2.88,5.25,3.57,200510,6/7,39250,-6315,-186680,0.412,1701.0,-934.0,94930,105580
NQ,расход x2,после источника 2024-04+,493,0.566,0.79,101.0,151.8,0.065,1.45,4.68,1.79,74820,2/3,39250,-6315,-87390,0.404,2186.0,-1161.0,54945,19875
ES,v0 как у источника,2006-2012,1682,0.63,0.92,104.0,3.4,0.01,0.42,5.37,3.68,5800,2/7,11207,-2152,-80702,0.311,368.0,-161.0,10702,-4902
ES,v0 как у источника,2013-2019,1743,0.613,0.89,99.0,-4.9,-0.012,-0.49,1.73,2.03,-8535,2/7,29952,-3210,-116987,0.303,436.0,-197.0,3875,-12410
ES,v0 как у источника,2020-2026,1556,0.592,0.84,101.0,51.3,0.054,2.12,3.78,3.44,79887,5/7,19517,-4110,-137755,0.398,955.0,-531.0,31852,48035
ES,v0 как у источника,после источника 2024-04+,492,0.585,0.83,98.0,4.6,0.004,0.09,1.13,0.67,2282,1/3,19517,-4110,-74780,0.377,1024.0,-610.0,-475,2757
YM,v0 как у источника,2006-2012,1684,0.635,0.93,110.0,8.4,0.028,1.16,4.19,2.99,14135,4/7,10500,-1425,-60600,0.338,297.0,-138.0,11425,2710
YM,v0 как у источника,2013-2019,1736,0.596,0.85,101.0,-0.1,-0.0,-0.02,1.11,1.41,-235,2/7,12395,-1850,-89315,0.314,371.0,-170.0,-4640,4405
YM,v0 как у источника,2020-2026,1565,0.619,0.9,105.0,-11.6,-0.017,-0.66,0.0,0.0,-18205,2/7,32360,-4465,-177285,0.352,710.0,-406.0,-17610,-595
YM,v0 как у источника,после источника 2024-04+,521,0.626,0.91,107.0,-18.2,-0.026,-0.59,-0.2,-0.14,-9500,0/3,16720,-1945,-62480,0.333,770.0,-414.0,-8725,-775
