date,side,k_in,k_out,gross,net,early
2006-01-24,1,31,61,-100.0,-130.0,True
2006-01-25,-1,181,211,-212.5,-242.5,False
2006-01-25,-1,301,361,-62.5,-92.5,False
2006-01-27,1,31,390,225.0,195.0,True
2006-01-31,-1,31,181,75.0,45.0,True
2006-01-31,-1,301,331,-175.0,-205.0,False
2006-02-01,1,61,91,-112.5,-142.5,True
2006-02-09,1,31,151,37.5,7.5,True
2006-02-09,1,181,241,-125.0,-155.0,False
2006-02-10,-1,61,181,-62.5,-92.5,True
2006-02-10,-1,211,271,-112.5,-142.5,False
2006-02-10,1,361,390,-50.0,-80.0,False
2006-02-13,-1,271,390,-175.0,-205.0,False
2006-02-14,1,31,61,-62.5,-92.5,True
2006-02-14,1,121,390,325.0,295.0,False
2006-02-15,1,61,91,-175.0,-205.0,True
2006-02-16,1,181,241,-62.5,-92.5,False
2006-02-17,-1,31,151,12.5,-17.5,True
2006-02-21,-1,61,91,-62.5,-92.5,True
2006-02-21,-1,151,361,-75.0,-105.0,False
2006-02-22,1,91,390,175.0,145.0,True
2006-02-23,-1,31,61,-100.0,-130.0,True
2006-02-27,1,31,61,-50.0,-80.0,True
2006-02-27,1,121,390,-100.0,-130.0,False
2006-02-28,-1,61,390,312.5,282.5,True
2006-03-01,1,31,61,-75.0,-105.0,True
2006-03-01,1,121,390,187.5,157.5,False
2006-03-02,-1,31,61,-87.5,-117.5,True
2006-03-03,1,241,361,-225.0,-255.0,False
2006-03-08,-1,151,181,-137.5,-167.5,False
2006-03-09,1,31,91,-87.5,-117.5,True
2006-03-10,1,91,331,0.0,-30.0,True
2006-03-10,1,361,390,100.0,70.0,False
2006-03-14,1,31,91,-62.5,-92.5,True
2006-03-14,1,121,390,475.0,445.0,False
2006-03-15,1,301,331,-62.5,-92.5,False
2006-03-15,1,361,390,0.0,-30.0,False
2006-03-16,1,181,211,-50.0,-80.0,False
2006-03-21,-1,61,91,12.5,-17.5,True
2006-03-21,1,151,211,-37.5,-67.5,False
2006-03-21,-1,331,390,25.0,-5.0,False
2006-03-22,1,61,91,-75.0,-105.0,True
2006-03-22,1,121,301,75.0,45.0,False
2006-03-22,1,361,390,75.0,45.0,False
2006-03-28,1,211,241,-25.0,-55.0,False
2006-03-28,-1,361,390,12.5,-17.5,False
2006-03-29,1,61,91,-87.5,-117.5,True
2006-03-29,1,121,390,100.0,70.0,False
2006-03-30,1,31,91,-200.0,-230.0,True
2006-03-31,-1,121,151,-62.5,-92.5,False
2006-03-31,-1,271,331,-125.0,-155.0,False
2006-04-03,1,61,301,0.0,-30.0,True
2006-04-04,1,151,390,225.0,195.0,False
2006-04-05,1,31,61,-25.0,-55.0,True
2006-04-05,1,331,390,0.0,-30.0,False
2006-04-06,-1,151,241,-112.5,-142.5,False
2006-04-07,-1,61,390,450.0,420.0,True
2006-04-11,-1,61,390,225.0,195.0,True
2006-04-13,-1,31,61,-100.0,-130.0,True
2006-04-17,-1,271,361,-87.5,-117.5,False
2006-04-20,1,61,91,-312.5,-342.5,True
2006-04-24,-1,31,91,-100.0,-130.0,True
2006-04-24,-1,121,151,-75.0,-105.0,False
2006-04-25,-1,61,91,-112.5,-142.5,True
2006-04-25,-1,121,301,100.0,70.0,False
2006-04-25,-1,331,390,-62.5,-92.5,False
2006-04-26,1,31,91,-37.5,-67.5,True
2006-04-27,1,61,331,-125.0,-155.0,True
2006-05-10,-1,241,271,-237.5,-267.5,False
2006-05-23,1,61,91,-50.0,-80.0,True
2006-05-24,1,31,121,-162.5,-192.5,True
2006-05-24,-1,211,271,-75.0,-105.0,False
2006-05-24,-1,301,331,-387.5,-417.5,False
2006-05-25,1,151,181,-112.5,-142.5,False
2006-05-25,1,301,331,0.0,-30.0,False
2006-05-25,1,361,390,150.0,120.0,False
