date,side,k_in,k_out,gross,net,early
2006-01-24,1,31,91,-180.0,-195.0,True
2006-01-25,-1,61,91,-60.0,-75.0,True
2006-01-25,-1,181,211,-140.0,-155.0,False
2006-01-25,-1,331,361,-70.0,-85.0,False
2006-01-27,1,31,241,-50.0,-65.0,True
2006-02-09,-1,361,390,60.0,45.0,False
2006-02-10,-1,91,181,-110.0,-125.0,True
2006-02-10,-1,211,271,-70.0,-85.0,False
2006-02-10,1,361,390,-20.0,-35.0,False
2006-02-13,-1,211,390,10.0,-5.0,False
2006-02-14,1,31,61,-80.0,-95.0,True
2006-02-14,1,121,390,170.0,155.0,False
2006-02-15,1,61,121,-230.0,-245.0,True
2006-02-15,1,271,361,-20.0,-35.0,False
2006-02-16,1,151,241,-20.0,-35.0,False
2006-02-17,-1,31,91,10.0,-5.0,True
2006-02-21,-1,31,390,280.0,265.0,True
2006-02-22,1,121,390,60.0,45.0,False
2006-02-23,1,121,151,-100.0,-115.0,False
2006-02-23,1,241,271,-60.0,-75.0,False
2006-02-27,1,31,61,-10.0,-25.0,True
2006-02-27,1,121,390,-70.0,-85.0,False
2006-02-28,-1,91,390,-0.0,-15.0,True
2006-03-01,1,121,390,110.0,95.0,False
2006-03-09,1,31,61,-30.0,-45.0,True
2006-03-10,-1,31,91,-230.0,-245.0,True
2006-03-14,1,31,390,310.0,295.0,True
2006-03-16,-1,331,361,-30.0,-45.0,False
2006-03-21,-1,61,91,-40.0,-55.0,True
2006-03-21,1,151,271,-210.0,-225.0,False
2006-03-21,-1,361,390,10.0,-5.0,False
2006-03-27,1,31,61,-40.0,-55.0,True
2006-03-28,1,181,241,-30.0,-45.0,False
2006-03-28,-1,361,390,-50.0,-65.0,False
2006-03-29,1,61,390,400.0,385.0,True
2006-03-30,1,31,61,0.0,-15.0,True
2006-04-04,1,181,241,-100.0,-115.0,False
2006-04-04,1,301,331,-30.0,-45.0,False
2006-04-05,1,31,61,-20.0,-35.0,True
2006-04-05,1,241,390,50.0,35.0,False
2006-04-06,1,271,331,-50.0,-65.0,False
2006-04-07,-1,61,390,230.0,215.0,True
2006-04-11,-1,31,390,200.0,185.0,True
2006-04-13,1,91,331,-120.0,-135.0,True
2006-04-17,-1,211,390,140.0,125.0,False
2006-04-20,-1,31,61,-200.0,-215.0,True
2006-04-20,1,61,91,-190.0,-205.0,True
2006-04-20,-1,121,151,-40.0,-55.0,False
2006-04-21,-1,301,390,100.0,85.0,False
2006-04-24,-1,31,151,-100.0,-115.0,True
2006-04-25,-1,61,91,-60.0,-75.0,True
2006-04-25,-1,151,181,-50.0,-65.0,False
2006-04-25,-1,241,271,-50.0,-65.0,False
2006-04-27,1,61,331,-40.0,-55.0,True
2006-05-23,1,61,121,-60.0,-75.0,True
2006-05-24,1,31,121,-150.0,-165.0,True
2006-05-24,1,151,181,-115.0,-130.0,False
2006-05-24,-1,241,271,-180.0,-195.0,False
2006-05-25,1,151,181,-70.0,-85.0,False
2006-05-31,1,31,61,25.0,10.0,True
2006-05-31,1,91,301,-245.0,-260.0,True
2006-06-01,1,31,61,-10.0,-25.0,True
2006-06-01,1,91,390,415.0,400.0,True
2006-06-02,-1,151,241,-185.0,-200.0,False
2006-06-02,-1,271,331,-95.0,-110.0,False
2006-06-05,-1,31,61,-60.0,-75.0,True
2006-06-05,-1,181,390,410.0,395.0,False
2006-06-06,-1,31,61,-125.0,-140.0,True
2006-06-06,-1,91,211,-110.0,-125.0,True
2006-06-06,-1,301,390,-125.0,-140.0,False
2006-06-07,1,61,91,-55.0,-70.0,True
2006-06-07,1,151,211,-145.0,-160.0,False
2006-06-08,-1,121,211,-90.0,-105.0,False
2006-06-08,-1,241,271,-220.0,-235.0,False
2006-06-09,1,61,91,-135.0,-150.0,True
2006-06-09,-1,241,271,-85.0,-100.0,False
2006-06-12,-1,61,151,-85.0,-100.0,True
2006-06-12,-1,181,390,415.0,400.0,False
2006-06-14,1,31,91,-90.0,-105.0,True
2006-06-15,1,31,390,545.0,530.0,True
2006-06-16,-1,61,151,40.0,25.0,True
2006-06-19,-1,61,91,-100.0,-115.0,True
2006-06-19,-1,271,361,-40.0,-55.0,False
2006-06-20,1,151,181,-70.0,-85.0,False
2006-06-21,1,31,390,305.0,290.0,True
2006-06-22,-1,61,390,5.0,-10.0,True
2006-06-27,-1,91,390,335.0,320.0,True
2006-06-29,1,31,61,-10.0,-25.0,True
2006-06-29,1,301,390,510.0,495.0,False
2006-06-30,-1,31,61,45.0,30.0,True
2006-07-05,-1,31,331,45.0,30.0,True
2006-07-05,-1,361,390,55.0,40.0,False
2006-07-10,-1,271,390,30.0,15.0,False
2006-07-12,-1,31,61,25.0,10.0,True
2006-07-12,-1,91,390,285.0,270.0,True
2006-07-13,-1,31,61,-120.0,-135.0,True
2006-07-14,-1,31,61,-30.0,-45.0,True
2006-07-14,-1,91,390,125.0,110.0,True
2006-07-17,1,31,61,-95.0,-110.0,True
2006-07-17,1,91,121,-35.0,-50.0,True
2006-07-19,1,31,61,-25.0,-40.0,True
2006-07-19,1,91,390,140.0,125.0,True
2006-07-20,-1,271,331,-10.0,-25.0,False
2006-07-21,-1,31,91,-100.0,-115.0,True
2006-07-24,1,61,241,35.0,20.0,True
