date,side,k_in,k_out,gross,net,early
2006-01-24,1,31,61,-60.0,-75.0,True
2006-01-25,-1,331,361,-120.0,-135.0,False
2006-01-26,1,151,211,-70.0,-85.0,False
2006-01-26,1,331,390,5.0,-10.0,False
2006-01-27,1,61,390,80.0,65.0,True
2006-02-01,1,61,271,-105.0,-120.0,True
2006-02-01,1,331,390,165.0,150.0,False
2006-02-09,1,61,331,-45.0,-60.0,True
2006-02-10,-1,91,181,-215.0,-230.0,True
2006-02-10,1,331,390,10.0,-5.0,False
2006-02-13,-1,271,301,-10.0,-25.0,False
2006-02-13,-1,331,361,-100.0,-115.0,False
2006-02-14,1,31,61,-40.0,-55.0,True
2006-02-14,1,91,390,390.0,375.0,True
2006-02-15,1,61,91,-125.0,-140.0,True
2006-02-17,-1,31,91,30.0,15.0,True
2006-02-21,-1,61,121,-110.0,-125.0,True
2006-02-21,-1,151,361,-30.0,-45.0,False
2006-02-22,1,61,390,95.0,80.0,True
2006-02-23,-1,31,121,-200.0,-215.0,True
2006-02-24,-1,91,121,-85.0,-100.0,True
2006-02-27,1,31,61,-35.0,-50.0,True
2006-02-27,1,121,331,-35.0,-50.0,False
2006-02-27,1,361,390,-140.0,-155.0,False
2006-02-28,-1,91,390,65.0,50.0,True
2006-03-01,1,151,181,-35.0,-50.0,False
2006-03-01,1,211,331,0.0,-15.0,False
2006-03-01,1,361,390,-60.0,-75.0,False
2006-03-03,1,211,361,-35.0,-50.0,False
2006-03-08,-1,151,181,-140.0,-155.0,False
2006-03-08,1,331,390,-45.0,-60.0,False
2006-03-09,1,31,91,-30.0,-45.0,True
2006-03-10,1,91,390,185.0,170.0,True
2006-03-14,1,241,390,45.0,30.0,False
2006-03-15,1,301,331,-40.0,-55.0,False
2006-03-15,1,361,390,-5.0,-20.0,False
2006-03-16,1,61,91,-55.0,-70.0,True
2006-03-16,1,181,241,-70.0,-85.0,False
2006-03-20,1,31,61,-75.0,-90.0,True
2006-03-21,1,151,241,-40.0,-55.0,False
2006-03-21,-1,331,390,-5.0,-20.0,False
2006-03-22,1,31,390,225.0,210.0,True
2006-03-28,-1,301,390,225.0,210.0,False
2006-03-29,1,121,390,45.0,30.0,False
2006-03-30,1,31,91,-205.0,-220.0,True
2006-03-30,-1,121,181,-45.0,-60.0,False
2006-03-30,-1,211,361,-5.0,-20.0,False
2006-03-31,1,31,61,-150.0,-165.0,True
2006-03-31,-1,271,301,20.0,5.0,False
2006-04-03,1,61,301,-55.0,-70.0,True
2006-04-04,1,61,121,-5.0,-20.0,True
2006-04-04,1,151,390,65.0,50.0,False
2006-04-05,1,31,61,-25.0,-40.0,True
2006-04-06,-1,61,121,-0.0,-15.0,True
2006-04-06,-1,151,241,-80.0,-95.0,False
2006-04-07,-1,61,390,320.0,305.0,True
2006-04-10,1,121,151,20.0,5.0,False
2006-04-11,-1,61,390,60.0,45.0,True
2006-04-12,1,61,91,-10.0,-25.0,True
2006-04-13,1,91,121,-55.0,-70.0,True
2006-04-17,1,31,61,0.0,-15.0,True
