date,status,usd,gross,n_tr,held,open,year
2026-05-04,ok,-1775.00,-1760.00,1.00,30.00,27854.50,2026
2026-05-05,ok,1000.00,1015.00,1.00,359.00,27988.50,2026
2026-05-06,ok,2475.00,2505.00,2.00,329.00,28389.50,2026
2026-05-07,ok,-410.00,-395.00,1.00,60.00,28750.00,2026
2026-05-08,ok,4650.00,4665.00,1.00,359.00,28878.50,2026
2026-05-11,ok,0.00,0.00,0.00,0.00,29305.00,2026
2026-05-12,ok,-920.00,-905.00,1.00,359.00,29213.00,2026
2026-05-13,ok,775.00,790.00,1.00,209.00,29286.50,2026
2026-05-14,ok,1275.00,1290.00,1.00,329.00,29476.25,2026
2026-05-15,ok,-2980.00,-2965.00,1.00,30.00,29277.75,2026
2026-05-18,ok,-345.00,-330.00,1.00,299.00,29338.50,2026
2026-05-19,ok,-1860.00,-1845.00,1.00,30.00,28850.25,2026
2026-05-20,ok,2540.00,2570.00,2.00,269.00,29073.50,2026
2026-05-21,ok,0.00,0.00,0.00,0.00,29217.25,2026
2026-05-22,ok,0.00,0.00,0.00,0.00,29580.00,2026
2026-05-26,ok,-175.00,-160.00,1.00,90.00,29902.00,2026
2026-05-27,ok,-720.00,-705.00,1.00,60.00,30187.50,2026
2026-05-28,ok,860.00,875.00,1.00,269.00,30053.00,2026
2026-05-29,ok,-2270.00,-2255.00,1.00,30.00,30383.00,2026
2026-06-01,ok,-205.00,-190.00,1.00,179.00,30343.00,2026
2026-06-02,ok,0.00,0.00,0.00,0.00,30557.00,2026
2026-06-03,ok,-3230.00,-3215.00,1.00,30.00,30754.75,2026
2026-06-04,ok,0.00,0.00,0.00,0.00,30268.25,2026
2026-06-05,ok,15150.00,15165.00,1.00,359.00,30035.75,2026
2026-06-08,ok,-940.00,-925.00,1.00,30.00,29526.00,2026
2026-06-09,ok,2505.00,2520.00,1.00,299.00,29737.00,2026
2026-06-10,ok,1630.00,1645.00,1.00,59.00,28853.00,2026
2026-06-11,ok,2370.00,2400.00,2.00,209.00,28752.50,2026
2026-06-12,ok,-6120.00,-6105.00,1.00,30.00,29494.50,2026
2026-06-15,ok,705.00,735.00,2.00,120.00,30633.25,2026
2026-06-16,ok,7430.00,7445.00,1.00,329.00,30812.50,2026
2026-06-17,ok,0.00,0.00,0.00,0.00,30526.00,2026
2026-06-18,ok,0.00,0.00,0.00,0.00,30594.50,2026
2026-06-22,ok,0.00,0.00,0.00,0.00,30822.75,2026
2026-06-23,ok,0.00,0.00,0.00,0.00,29718.25,2026
2026-06-24,ok,-5630.00,-5585.00,3.00,90.00,29711.25,2026
2026-06-25,ok,-5400.00,-5385.00,1.00,30.00,30153.25,2026
2026-06-26,ok,0.00,0.00,0.00,0.00,29362.50,2026
2026-06-29,ok,2590.00,2605.00,1.00,179.00,29645.00,2026
2026-06-30,ok,2925.00,2940.00,1.00,359.00,30047.50,2026
2026-07-01,ok,0.00,0.00,0.00,0.00,30235.75,2026
2026-07-02,ok,-445.00,-415.00,2.00,329.00,30076.25,2026
2026-07-06,ok,395.00,410.00,1.00,120.00,29835.75,2026
2026-07-07,ok,-1705.00,-1690.00,1.00,90.00,29593.00,2026
2026-07-08,ok,0.00,0.00,0.00,0.00,29202.75,2026
2026-07-09,ok,-365.00,-350.00,1.00,30.00,29746.75,2026
2026-07-10,ok,0.00,0.00,0.00,0.00,29834.75,2026
