date,status_local,usd_local,gross_local,n_tr_local,held_local,open_local,year_local,status_source,usd_source,gross_source,n_tr_source,held_source,open_source,year_source
2026-03-16,ok,0.0000,0.0000,0.0000,0.0000,24869.2500,2026,ok,0.0000,0.0000,0.0000,0.0000,24869.2500,2026
2026-03-17,ok,0.0000,0.0000,0.0000,0.0000,25000.7500,2026,ok,0.0000,0.0000,0.0000,0.0000,25000.7500,2026
2026-03-18,ok,1810.0000,1825.0000,1.0000,59.0000,24928.2500,2026,ok,1810.0000,1825.0000,1.0000,59.0000,24928.2500,2026
2026-03-19,ok,0.0000,0.0000,0.0000,0.0000,24428.2500,2026,ok,0.0000,0.0000,0.0000,0.0000,24428.2500,2026
2026-03-20,ok,3410.0000,3425.0000,1.0000,359.0000,24487.2500,2026,ok,3430.0000,3445.0000,1.0000,359.0000,24487.2500,2026
2026-03-23,ok,-4425.0000,-4395.0000,2.0000,90.0000,24493.2500,2026,ok,-4425.0000,-4395.0000,2.0000,90.0000,24493.2500,2026
2026-03-24,ok,0.0000,0.0000,0.0000,0.0000,24254.2500,2026,ok,0.0000,0.0000,0.0000,0.0000,24254.2500,2026
2026-03-25,ok,0.0000,0.0000,0.0000,0.0000,24430.7500,2026,ok,0.0000,0.0000,0.0000,0.0000,24430.7500,2026
2026-03-26,ok,4405.0000,4420.0000,1.0000,209.0000,24156.2500,2026,ok,4400.0000,4415.0000,1.0000,209.0000,24156.2500,2026
2026-03-27,ok,3270.0000,3300.0000,2.0000,329.0000,23654.5000,2026,ok,3280.0000,3310.0000,2.0000,329.0000,23654.5000,2026
2026-03-30,ok,375.0000,390.0000,1.0000,89.0000,23509.0000,2026,ok,370.0000,385.0000,1.0000,89.0000,23508.7500,2026
2026-03-31,ok,3135.0000,3180.0000,3.0000,299.0000,23381.7500,2026,ok,3025.0000,3070.0000,3.0000,299.0000,23381.7500,2026
2026-04-01,ok,-2145.0000,-2130.0000,1.0000,210.0000,24087.7500,2026,ok,-2140.0000,-2125.0000,1.0000,210.0000,24087.7500,2026
2026-04-02,ok,0.0000,0.0000,0.0000,0.0000,23763.5000,2026,ok,0.0000,0.0000,0.0000,0.0000,23763.5000,2026
2026-04-06,ok,-915.0000,-900.0000,1.0000,30.0000,24265.2500,2026,ok,-915.0000,-900.0000,1.0000,30.0000,24265.2500,2026
2026-04-07,ok,-1380.0000,-1365.0000,1.0000,150.0000,24243.5000,2026,ok,-1380.0000,-1365.0000,1.0000,150.0000,24243.5000,2026
2026-04-08,ok,0.0000,0.0000,0.0000,0.0000,25199.5000,2026,ok,0.0000,0.0000,0.0000,0.0000,25199.5000,2026
2026-04-09,ok,0.0000,0.0000,0.0000,0.0000,25081.0000,2026,ok,0.0000,0.0000,0.0000,0.0000,25081.0000,2026
2026-04-10,ok,0.0000,0.0000,0.0000,0.0000,25315.0000,2026,ok,0.0000,0.0000,0.0000,0.0000,25315.2500,2026
2026-04-13,ok,0.0000,0.0000,0.0000,0.0000,25215.7500,2026,ok,0.0000,0.0000,0.0000,0.0000,25215.7500,2026
2026-04-14,ok,3940.0000,3955.0000,1.0000,329.0000,25656.2500,2026,ok,3925.0000,3940.0000,1.0000,329.0000,25656.2500,2026
2026-04-15,ok,1335.0000,1365.0000,2.0000,179.0000,26023.5000,2026,ok,1355.0000,1385.0000,2.0000,179.0000,26023.5000,2026
2026-04-16,ok,0.0000,0.0000,0.0000,0.0000,26441.0000,2026,ok,0.0000,0.0000,0.0000,0.0000,26439.0000,2026
2026-04-17,ok,-775.0000,-760.0000,1.0000,30.0000,26692.2500,2026,ok,-775.0000,-760.0000,1.0000,30.0000,26692.5000,2026
2026-04-20,ok,-1320.0000,-1305.0000,1.0000,30.0000,26796.0000,2026,ok,-1255.0000,-1240.0000,1.0000,30.0000,26796.5000,2026
2026-04-21,ok,0.0000,0.0000,0.0000,0.0000,26808.0000,2026,ok,0.0000,0.0000,0.0000,0.0000,26808.0000,2026
2026-04-22,ok,-320.0000,-275.0000,3.0000,89.0000,26881.0000,2026,ok,-305.0000,-260.0000,3.0000,89.0000,26881.0000,2026
2026-04-23,ok,0.0000,0.0000,0.0000,0.0000,27014.2500,2026,ok,0.0000,0.0000,0.0000,0.0000,27014.2500,2026
2026-04-24,ok,2150.0000,2165.0000,1.0000,269.0000,27210.0000,2026,ok,2145.0000,2160.0000,1.0000,269.0000,27210.0000,2026
2026-04-27,ok,0.0000,0.0000,0.0000,0.0000,27411.0000,2026,ok,0.0000,0.0000,0.0000,0.0000,27410.7500,2026
2026-04-28,ok,-165.0000,-150.0000,1.0000,30.0000,27161.0000,2026,ok,-165.0000,-150.0000,1.0000,30.0000,27161.0000,2026
2026-04-29,ok,-570.0000,-555.0000,1.0000,30.0000,27206.7500,2026,ok,-570.0000,-555.0000,1.0000,30.0000,27206.7500,2026
2026-04-30,ok,-2255.0000,-2240.0000,1.0000,60.0000,27491.2500,2026,ok,-2255.0000,-2240.0000,1.0000,60.0000,27489.7500,2026
2026-05-01,ok,-740.0000,-725.0000,1.0000,359.0000,27632.0000,2026,ok,-740.0000,-725.0000,1.0000,359.0000,27632.7500,2026
