date,side,k_in,k_out,gross,net,early
2026-05-04,-1,211,241,-1760.00,-1775.00,False
2026-05-05,1,31,390,1015.00,1000.00,True
2026-05-06,1,31,61,-960.00,-975.00,True
2026-05-06,1,91,390,3465.00,3450.00,True
2026-05-07,1,61,121,-395.00,-410.00,True
2026-05-08,1,31,390,4665.00,4650.00,True
2026-05-12,-1,31,390,-905.00,-920.00,True
2026-05-13,1,181,390,790.00,775.00,False
2026-05-14,1,61,390,1290.00,1275.00,True
2026-05-15,-1,31,61,-2965.00,-2980.00,True
2026-05-18,-1,91,390,-330.00,-345.00,True
2026-05-19,-1,61,91,-1845.00,-1860.00,True
2026-05-20,1,61,181,550.00,535.00,True
2026-05-20,1,241,390,2020.00,2005.00,False
2026-05-26,1,31,121,-160.00,-175.00,True
2026-05-27,-1,61,121,-705.00,-720.00,True
2026-05-28,1,121,390,875.00,860.00,False
2026-05-29,1,31,61,-2255.00,-2270.00,True
2026-06-01,1,211,390,-190.00,-205.00,False
2026-06-03,-1,31,61,-3215.00,-3230.00,True
2026-06-05,-1,31,390,15165.00,15150.00,True
2026-06-08,1,91,121,-925.00,-940.00,True
2026-06-09,-1,91,390,2520.00,2505.00,True
2026-06-10,-1,331,390,1645.00,1630.00,False
2026-06-11,1,31,91,-5000.00,-5015.00,True
2026-06-11,1,241,390,7400.00,7385.00,False
2026-06-12,1,121,151,-6105.00,-6120.00,False
2026-06-15,1,61,91,325.00,310.00,True
2026-06-15,1,121,211,410.00,395.00,False
2026-06-16,-1,61,390,7445.00,7430.00,True
2026-06-24,1,91,121,-1810.00,-1825.00,True
2026-06-24,-1,271,301,-3015.00,-3030.00,False
2026-06-24,-1,331,361,-760.00,-775.00,False
2026-06-25,-1,31,61,-5385.00,-5400.00,True
2026-06-29,1,211,390,2605.00,2590.00,False
2026-06-30,1,31,390,2940.00,2925.00,True
2026-07-02,1,31,61,-6460.00,-6475.00,True
2026-07-02,-1,91,390,6045.00,6030.00,True
2026-07-06,1,61,181,410.00,395.00,True
2026-07-07,-1,61,151,-1690.00,-1705.00,True
2026-07-09,1,271,301,-350.00,-365.00,False
