ins,эпоха,вход,сессий,с входом,средняя $/сессию,t,валовое б.п./сессию,итог $,худший день $,без лучших 5% $,разброс средней по посевам
ES,2006-2012,R1 первый F (эталон),1682,0.63,3.6,0.53,3.87,6075,-1117.0,-74092.0,
ES,2006-2012,A1 первый S,1682,0.479,6.6,1.04,3.51,11150,-1892.0,-59845.0,
ES,2006-2012,A2 случайный S,1682,0.479,-17.5,-3.24,,-29463,,,2.0
ES,2013-2019,R1 первый F (эталон),1743,0.613,1.0,0.11,1.6,1660,-1417.0,-99152.0,
ES,2013-2019,A1 первый S,1743,0.446,9.4,1.15,1.98,16452,-1680.0,-76065.0,
ES,2013-2019,A2 случайный S,1743,0.446,-24.5,-3.73,,-42627,,,2.9
ES,2020-2026,R1 первый F (эталон),1555,0.592,20.4,0.99,1.72,31757,-3642.0,-168035.0,
ES,2020-2026,A1 первый S,1555,0.451,9.1,0.5,1.08,14227,-3555.0,-155827.0,
ES,2020-2026,A2 случайный S,1555,0.451,-72.0,-4.7,,-111972,,,7.3
ES,2024-04+,R1 первый F (эталон),492,0.585,-20.1,-0.52,-0.09,-9902,-3642.0,-73147.0,
ES,2024-04+,A1 первый S,492,0.445,-22.2,-0.66,-0.21,-10945,-3217.0,-64270.0,
ES,2024-04+,A2 случайный S,492,0.445,-104.6,-3.5,,-51443,,,15.0
