ins,эпоха,вход,сессий,с входом,средняя $/сессию,t,валовое б.п./сессию,итог $,худший день $,без лучших 5% $,разброс средней по посевам
NQ,2006-2012,R1 первый F (эталон),1680,0.647,1.1,0.23,2.51,1860,-1000.0,-51725.0,
NQ,2006-2012,A1 первый S,1680,0.485,-1.5,-0.35,1.09,-2555,-1505.0,-47630.0,
NQ,2006-2012,A2 случайный S,1680,0.485,-19.8,-5.36,,-33294,,,1.5
NQ,2013-2019,R1 первый F (эталон),1741,0.584,27.4,2.51,3.1,47655,-1415.0,-84135.0,
NQ,2013-2019,A1 первый S,1741,0.46,21.8,2.22,2.51,37950,-2020.0,-76175.0,
NQ,2013-2019,A2 случайный S,1741,0.46,-23.4,-3.07,,-40670,,,3.4
NQ,2020-2026,R1 первый F (эталон),1554,0.594,90.0,2.42,3.11,139830,-4450.0,-220880.0,
NQ,2020-2026,A1 первый S,1554,0.45,73.9,2.42,2.7,114815,-6510.0,-170930.0,
NQ,2020-2026,A2 случайный S,1554,0.45,-74.8,-2.84,,-116250,,,13.3
NQ,2024-04+,R1 первый F (эталон),493,0.566,102.7,1.28,2.66,50610,-4450.0,-87805.0,
NQ,2024-04+,A1 первый S,493,0.424,94.8,1.45,2.46,46740,-5175.0,-64650.0,
NQ,2024-04+,A2 случайный S,493,0.424,-77.2,-1.39,,-38072,,,35.1
