ins,эпоха,возраст (0 = свежий выход),отметок,"след. интервал, б.п.",t,"до закрытия, б.п.",t 
ES,2006-2012,0,1545,0.95,1.18,4.79,1.6
ES,2006-2012,1,923,1.99,1.79,9.62,2.93
ES,2006-2012,2,693,0.88,0.86,9.67,2.95
ES,2006-2012,3,540,-0.27,-0.25,12.66,3.76
ES,2006-2012,4+,2140,2.46,3.8,13.62,4.07
ES,2013-2019,0,1552,-0.41,-0.87,1.52,0.9
ES,2013-2019,1,921,0.95,1.49,3.9,2.0
ES,2013-2019,2,673,-0.45,-0.66,3.19,1.53
ES,2013-2019,3,523,1.34,1.77,3.24,1.48
ES,2013-2019,4+,2115,1.13,2.89,3.45,1.88
ES,2020-2026,0,1310,2.58,2.93,7.2,2.79
ES,2020-2026,1,827,2.09,2.42,6.31,2.45
ES,2020-2026,2,627,-1.09,-1.03,3.28,1.26
ES,2020-2026,3,507,1.86,1.56,4.53,1.68
ES,2020-2026,4+,1964,0.27,0.6,-1.72,-0.73
