ins,эпоха,возраст (0 = свежий выход),отметок,"след. интервал, б.п.",t,"до закрытия, б.п.",t 
NQ,2006-2012,0,1542,0.7,0.75,1.31,0.4
NQ,2006-2012,1,944,1.37,1.32,3.96,1.14
NQ,2006-2012,2,704,-1.14,-0.8,5.97,1.59
NQ,2006-2012,3,550,-0.66,-0.49,8.33,2.55
NQ,2006-2012,4+,2330,1.26,1.94,5.81,1.83
NQ,2013-2019,0,1416,1.09,1.74,1.89,0.88
NQ,2013-2019,1,929,1.78,2.41,2.58,1.13
NQ,2013-2019,2,705,-0.41,-0.48,2.61,1.06
NQ,2013-2019,3,553,0.41,0.49,4.18,1.7
NQ,2013-2019,4+,2334,1.14,2.64,2.87,1.37
NQ,2020-2026,0,1312,1.18,1.11,12.35,3.28
NQ,2020-2026,1,815,2.93,2.47,12.28,3.06
NQ,2020-2026,2,615,3.68,3.07,7.0,2.22
NQ,2020-2026,3,499,2.45,2.02,5.59,1.75
NQ,2020-2026,4+,2145,0.34,0.67,1.26,0.49
