ins,эпоха,положение,последний интервал,отметок,медиана x,"след. интервал, б.п.",t
ES,2006-2012,близко к границе,откатила,700,0.21,2.18,2.12
ES,2006-2012,близко к границе,продвинулась,612,0.27,0.57,0.41
ES,2006-2012,средне,откатила,449,0.7,4.53,3.13
ES,2006-2012,средне,продвинулась,904,0.74,1.63,1.66
ES,2006-2012,далеко за границей,откатила,361,1.53,2.79,2.01
ES,2006-2012,далеко за границей,продвинулась,1017,1.62,1.64,2.0
ES,2013-2019,близко к границе,откатила,721,0.23,0.56,0.9
ES,2013-2019,близко к границе,продвинулась,611,0.3,0.19,0.3
ES,2013-2019,средне,откатила,441,0.81,1.65,2.04
ES,2013-2019,средне,продвинулась,917,0.84,1.22,2.05
ES,2013-2019,далеко за границей,откатила,367,1.79,1.83,1.89
ES,2013-2019,далеко за границей,продвинулась,1009,1.98,0.65,1.06
ES,2020-2026,близко к границе,откатила,618,0.2,0.96,0.98
ES,2020-2026,близко к границе,продвинулась,663,0.27,0.83,1.18
ES,2020-2026,средне,откатила,419,0.7,0.59,0.4
ES,2020-2026,средне,продвинулась,874,0.75,2.13,2.92
ES,2020-2026,далеко за границей,откатила,327,1.65,0.02,0.01
ES,2020-2026,далеко за границей,продвинулась,970,1.69,-0.43,-0.55
