ins,эпоха,положение,последний интервал,отметок,медиана x,"след. интервал, б.п.",t
NQ,2006-2012,близко к границе,откатила,805,0.2,0.63,0.47
NQ,2006-2012,близко к границе,продвинулась,656,0.28,1.66,1.12
NQ,2006-2012,средне,откатила,543,0.69,2.32,1.83
NQ,2006-2012,средне,продвинулась,921,0.71,-0.51,-0.47
NQ,2006-2012,далеко за границей,откатила,411,1.45,1.63,1.08
NQ,2006-2012,далеко за границей,продвинулась,1059,1.5,0.17,0.2
NQ,2013-2019,близко к границе,откатила,785,0.22,0.16,0.23
NQ,2013-2019,близко к границе,продвинулась,697,0.3,-0.11,-0.16
NQ,2013-2019,средне,откатила,499,0.74,0.32,0.34
NQ,2013-2019,средне,продвинулась,979,0.8,1.92,2.7
NQ,2013-2019,далеко за границей,откатила,432,1.84,1.36,1.39
NQ,2013-2019,далеко за границей,продвинулась,1064,1.94,1.39,1.93
NQ,2020-2026,близко к границе,откатила,679,0.21,0.43,0.39
NQ,2020-2026,близко к границе,продвинулась,675,0.28,2.6,2.22
NQ,2020-2026,средне,откатила,443,0.71,2.97,2.06
NQ,2020-2026,средне,продвинулась,912,0.74,2.04,2.47
NQ,2020-2026,далеко за границей,откатила,338,1.47,2.14,1.23
NQ,2020-2026,далеко за границей,продвинулась,1019,1.62,0.55,0.66
