эпоха,возраст при входе,входов,средняя $ на вход,t (сессии),медиана $,доля прибыльных,без лучших 5% входов $
2006-2012,1,923,19.6,1.58,-68.0,0.368,-34675
2006-2012,2,693,21.3,1.51,-68.0,0.4,-24750
2006-2012,3,540,28.5,1.81,-42.0,0.409,-13847
2006-2012,4+,2140,37.8,2.12,-18.0,0.47,-32220
2013-2019,1,921,17.1,1.05,-80.0,0.362,-54157
2013-2019,2,673,16.9,0.9,-68.0,0.418,-38265
2013-2019,3,523,35.4,1.65,-42.0,0.438,-19800
2013-2019,4+,2115,23.0,1.14,-30.0,0.443,-74790
2020-2026,1,827,39.9,1.12,-130.0,0.416,-83712
2020-2026,2,627,0.5,0.01,-105.0,0.423,-83475
2020-2026,3,507,32.0,0.71,-92.0,0.452,-54530
2020-2026,4+,1964,-57.5,-1.32,-118.0,0.423,-308000
