эпоха,возраст при входе,входов,средняя $ на вход,t (сессии),медиана $,доля прибыльных,без лучших 5% входов $
2006-2012,1,944,-1.7,-0.21,-45.0,0.385,-34020
2006-2012,2,704,-4.7,-0.49,-45.0,0.385,-27180
2006-2012,3,550,1.8,0.17,-40.0,0.411,-17475
2006-2012,4+,2330,-1.7,-0.17,-25.0,0.432,-72850
2013-2019,1,929,38.3,2.02,-70.0,0.392,-47485
2013-2019,2,705,27.1,1.29,-65.0,0.413,-39805
2013-2019,3,553,51.1,2.17,-25.0,0.468,-16270
2013-2019,4+,2334,34.4,1.49,-10.0,0.482,-81080
2020-2026,1,815,232.0,3.36,-130.0,0.456,-30705
2020-2026,2,615,193.2,2.63,-15.0,0.491,-27010
2020-2026,3,499,107.7,1.39,-40.0,0.487,-53535
2020-2026,4+,2145,-45.9,-0.67,-50.0,0.478,-440690
