date,status,reason,side,level,event_pos,entry_pos,exit_pos,gross,net,trades,morning_high,morning_low,direction,event_open,event_close,entry_price,exit_price,held_minutes,mae,mfe
2020-01-02,known,first_retest_no_body_cross,H,8852.5,4208167.0,,,0.0,0.0,0,8852.5,8802.25,1.0,8851.5,8852.5,,,,,
2020-01-03,known,closed_back_inside,H,8840.75,4209394.0,4209395.0,4209473.0,-1.0,-2.0,1,8840.75,8770.5,1.0,8837.25,8841.25,8841.0,8840.0,78.0,1.75,20.75
2020-01-06,known,closed_back_inside,H,8818.5,4210680.0,4210681.0,4210702.0,-2.75,-3.75,1,8818.5,8729.0,1.0,8812.0,8821.0,8821.25,8818.5,21.0,3.25,8.75
2020-01-07,known,first_retest_no_body_cross,H,8878.0,4212061.0,,,0.0,0.0,0,8878.0,8834.5,1.0,8873.0,8876.0,,,,,
2020-01-08,known,first_retest_no_body_cross,H,8897.5,4213457.0,,,0.0,0.0,0,8897.5,8848.0,1.0,8887.0,8897.5,,,,,
2020-01-09,known,closed_back_inside,L,8992.25,4214874.0,4214875.0,4214960.0,-3.25,-4.25,1,9022.25,8992.25,-1.0,8995.0,8990.25,8990.25,8993.5,85.0,3.5,37.75
2020-01-10,known,first_retest_no_body_cross,H,9041.75,4216139.0,,,0.0,0.0,0,9041.75,9004.5,1.0,9037.5,9041.0,,,,,
2020-01-13,known,first_retest_no_body_cross,H,9037.75,4217520.0,,,0.0,0.0,0,9037.75,9003.75,1.0,9035.25,9037.5,,,,,
2020-01-14,known,first_retest_no_body_cross,H,9086.25,4218985.0,,,0.0,0.0,0,9086.25,9035.25,1.0,9083.75,9085.75,,,,,
2020-01-15,known,first_retest_no_body_cross,H,9091.25,4220230.0,,,0.0,0.0,0,9091.25,9051.25,1.0,9086.25,9091.25,,,,,
2020-01-16,known,first_retest_no_body_cross,L,9088.0,4221630.0,,,0.0,0.0,0,9119.5,9088.0,-1.0,9092.0,9088.5,,,,,
2020-01-17,known,first_retest_no_body_cross,L,9140.0,4222995.0,,,0.0,0.0,0,9180.0,9140.0,-1.0,9142.25,9140.0,,,,,
2020-01-21,known,first_retest_no_body_cross,H,9182.75,4225494.0,,,0.0,0.0,0,9182.75,9151.75,1.0,9180.5,9182.75,,,,,
2020-01-22,known,closed_back_inside,H,9245.5,4226822.0,4226823.0,4226836.0,-1.5,-2.5,1,9245.5,9211.75,1.0,9244.75,9245.75,9245.75,9244.25,13.0,1.5,8.25
2020-01-23,known,first_retest_no_body_cross,H,9208.25,4228192.0,,,0.0,0.0,0,9208.25,9151.75,1.0,9207.0,9208.25,,,,,
2020-01-24,known,first_retest_no_body_cross,L,9232.5,4229547.0,,,0.0,0.0,0,9283.25,9232.5,-1.0,9236.0,9235.75,,,,,
2020-01-27,known,closed_back_inside,H,8994.25,4231016.0,4231017.0,4231019.0,-6.0,-7.0,1,8994.25,8925.5,1.0,8993.75,9000.0,8999.75,8993.75,2.0,6.25,0.0
2020-01-28,known,session_close,H,9057.5,4232279.0,4232280.0,4232604.0,36.25,35.25,1,9057.5,9001.0,1.0,9057.0,9061.75,9062.0,9098.25,325.0,4.5,57.5
2020-01-29,known,no_first_retest,,,,,,0.0,0.0,0,9158.75,9072.25,,,,,,,,
