date,status,reason,side,level,event_pos,entry_pos,exit_pos,gross,net,trades,morning_high,morning_low,direction,event_open,event_close,entry_price,exit_price,held_minutes,mae,mfe
2020-01-02,known,first_retest_no_body_cross,L,3236.5,4639698.0,,,0.0,0.0,0,3251.0,3236.5,-1.0,3237.5,3236.75,,,,,
2020-01-03,known,closed_back_inside,H,3239.5,4641010.0,4641011.0,4641015.0,-1.5,-1.9,1,3239.5,3220.75,1.0,3238.0,3240.5,3240.25,3238.75,4.0,1.5,0.5
2020-01-06,known,closed_back_inside,H,3231.25,4642375.0,4642376.0,4642396.0,-1.0,-1.4,1,3231.25,3213.25,1.0,3230.75,3232.5,3232.25,3231.25,20.0,1.75,2.5
2020-01-07,known,closed_back_inside,H,3242.25,4643756.0,4643757.0,4643758.0,-0.75,-1.15,1,3242.25,3231.75,1.0,3241.75,3242.5,3242.75,3242.0,1.0,1.0,0.0
2020-01-08,known,closed_back_inside,H,3249.5,4645152.0,4645153.0,4645154.0,-1.25,-1.65,1,3249.5,3236.0,1.0,3246.5,3250.0,3250.0,3248.75,1.0,4.0,0.5
2020-01-09,known,first_retest_no_body_cross,H,3274.0,4646467.0,,,0.0,0.0,0,3274.0,3265.5,1.0,3273.5,3273.75,,,,,
2020-01-10,known,first_retest_no_body_cross,L,3274.75,4647885.0,,,0.0,0.0,0,3283.75,3274.75,-1.0,3275.5,3275.0,,,,,
2020-01-13,known,first_retest_no_body_cross,H,3276.0,4649207.0,,,0.0,0.0,0,3276.0,3268.0,1.0,3274.75,3276.0,,,,,
2020-01-14,known,first_retest_no_body_cross,H,3286.5,4650556.0,,,0.0,0.0,0,3286.5,3279.0,1.0,3285.75,3286.0,,,,,
2020-01-15,known,closed_back_inside,H,3297.0,4651925.0,4651926.0,4651927.0,-0.75,-1.15,1,3297.0,3281.75,1.0,3295.5,3297.5,3297.5,3296.75,1.0,1.0,0.0
2020-01-16,known,first_retest_no_body_cross,H,3308.5,4653289.0,,,0.0,0.0,0,3308.5,3302.75,1.0,3308.0,3307.0,,,,,
2020-01-17,known,closed_back_inside,L,3320.0,4654689.0,4654690.0,4654691.0,-0.75,-1.15,1,3326.5,3320.0,-1.0,3320.75,3319.25,3319.25,3320.0,1.0,1.75,0.0
2020-01-21,known,first_retest_no_body_cross,H,3323.5,4657176.0,,,0.0,0.0,0,3323.5,3316.0,1.0,3322.75,3323.5,,,,,
2020-01-22,known,first_retest_no_body_cross,H,3336.0,4658509.0,,,0.0,0.0,0,3336.0,3328.0,1.0,3335.0,3336.0,,,,,
2020-01-23,known,closed_back_inside,H,3315.75,4660040.0,4660041.0,4660042.0,-1.5,-1.9,1,3315.75,3301.25,1.0,3314.75,3316.5,3316.5,3315.0,1.0,1.75,0.5
2020-01-24,known,closed_back_inside,L,3316.75,4661240.0,4661241.0,4661242.0,-1.5,-1.9,1,3332.5,3316.75,-1.0,3317.25,3315.75,3315.75,3317.25,1.0,2.0,0.25
2020-01-27,known,closed_back_inside,H,3253.5,4662696.0,4662697.0,4662699.0,-1.5,-1.9,1,3253.5,3233.0,1.0,3252.75,3254.5,3254.25,3252.75,2.0,1.75,0.0
2020-01-28,known,first_retest_no_body_cross,H,3272.25,4663959.0,,,0.0,0.0,0,3272.25,3251.75,1.0,3271.25,3272.25,,,,,
2020-01-29,known,closed_back_inside,H,3291.25,4665533.0,4665534.0,4665535.0,-0.75,-1.15,1,3291.25,3270.25,1.0,3289.5,3291.5,3291.75,3291.0,1.0,1.5,0.5
2020-01-30,known,closed_back_inside,L,3248.5,4666694.0,4666695.0,4666726.0,-2.0,-2.4,1,3264.75,3248.5,-1.0,3249.25,3248.25,3248.0,3250.0,31.0,2.25,7.0
2020-01-31,known,first_retest_no_body_cross,L,3252.0,4668052.0,,,0.0,0.0,0,3277.5,3252.0,-1.0,3253.0,3253.25,,,,,
2020-02-03,known,no_first_retest,,,,,,0.0,0.0,0,3267.25,3237.75,,,,,,,,
2020-02-04,known,first_retest_no_body_cross,H,3296.5,4670782.0,,,0.0,0.0,0,3296.5,3282.25,1.0,3296.0,3296.25,,,,,
2020-02-05,known,first_retest_no_body_cross,L,3313.5,4672150.0,,,0.0,0.0,0,3329.25,3313.5,-1.0,3316.25,3314.75,,,,,
2020-02-06,known,first_retest_no_body_cross,H,3345.5,4673562.0,,,0.0,0.0,0,3345.5,3332.75,1.0,3344.75,3344.5,,,,,
2020-02-07,known,first_retest_no_body_cross,H,3334.75,4674880.0,,,0.0,0.0,0,3334.75,3324.0,1.0,3334.5,3334.0,,,,,
2020-02-10,known,first_retest_no_body_cross,H,3338.0,4676239.0,,,0.0,0.0,0,3338.0,3316.25,1.0,3337.0,3337.75,,,,,
2020-02-11,known,closed_back_inside,H,3373.75,4677613.0,4677614.0,4677615.0,-1.0,-1.4,1,3373.75,3359.25,1.0,3371.75,3374.25,3374.0,3373.0,1.0,1.25,0.5
2020-02-12,known,first_retest_no_body_cross,H,3377.0,4679225.0,,,0.0,0.0,0,3377.0,3368.5,1.0,3376.25,3377.0,,,,,
2020-02-13,known,first_retest_no_body_cross,H,3371.75,4680350.0,,,0.0,0.0,0,3371.75,3359.0,1.0,3371.0,3371.75,,,,,
2020-02-14,known,closed_back_inside,H,3380.0,4681745.0,4681746.0,4681747.0,-0.25,-0.65,1,3380.0,3370.25,1.0,3379.5,3380.5,3380.25,3380.0,1.0,0.5,0.5
2020-02-18,known,next_open_back_inside,L,3362.5,4684244.0,,,0.0,0.0,0,3374.5,3362.5,-1.0,3363.75,3362.25,,,,,
2020-02-19,known,closed_back_inside,H,3387.25,4685592.0,4685593.0,4685596.0,-0.5,-0.9,1,3387.25,3377.75,1.0,3387.0,3387.75,3387.75,3387.25,3.0,0.75,0.5
2020-02-20,known,first_retest_no_body_cross,H,3389.0,4686947.0,,,0.0,0.0,0,3389.0,3377.75,1.0,3388.25,3388.5,,,,,
2020-02-21,known,closed_back_inside,L,3336.25,4688308.0,4688309.0,4688317.0,-1.5,-1.9,1,3360.5,3336.25,-1.0,3337.75,3334.25,3334.5,3336.0,8.0,1.75,2.5
2020-02-24,known,first_retest_no_body_cross,L,3229.5,4689759.0,,,0.0,0.0,0,3260.0,3229.5,-1.0,3231.0,3230.0,,,,,
2020-02-25,known,closed_back_inside,L,3201.0,4691031.0,4691032.0,4691034.0,-5.25,-5.65,1,3247.25,3201.0,-1.0,3204.0,3199.5,3199.25,3204.5,2.0,6.0,3.5
2020-02-26,known,closed_back_inside,H,3175.25,4692405.0,4692406.0,4692407.0,-2.0,-2.4,1,3175.25,3138.75,1.0,3171.25,3176.75,3176.75,3174.75,1.0,3.0,1.0
2020-02-27,known,first_retest_no_body_cross,L,3021.5,4693771.0,,,0.0,0.0,0,3069.25,3021.5,-1.0,3025.5,3023.75,,,,,
2020-02-28,known,closed_back_inside,H,2931.0,4695193.0,4695194.0,4695202.0,-1.25,-1.65,1,2931.0,2853.25,1.0,2927.25,2931.75,2931.75,2930.5,8.0,4.25,27.5
