date,s07,s17,s18,s18_after_s07,s18_after_s17,A3,A2,B1,B2
2020-01-02,-575.00,-300.00,-105.00,-105.00,510.00,-980.00,-680.00,-680.00,210.00
2020-01-03,240.00,-15.00,0.00,0.00,0.00,225.00,240.00,240.00,-15.00
2020-01-06,1450.00,770.00,360.00,360.00,360.00,2580.00,1810.00,1810.00,1130.00
2020-01-07,-390.00,-60.00,0.00,0.00,0.00,-450.00,-390.00,-390.00,-60.00
2020-01-08,175.00,335.00,630.00,60.00,630.00,1140.00,805.00,235.00,965.00
2020-01-09,-310.00,-320.00,0.00,0.00,0.00,-630.00,-310.00,-310.00,-320.00
2020-01-10,225.00,-90.00,0.00,0.00,0.00,135.00,225.00,225.00,-90.00
2020-01-13,515.00,255.00,840.00,545.00,840.00,1610.00,1355.00,1060.00,1095.00
2020-01-14,155.00,340.00,-555.00,0.00,0.00,-60.00,-400.00,155.00,340.00
2020-01-15,250.00,360.00,-105.00,0.00,-105.00,505.00,145.00,250.00,255.00
2020-01-16,-300.00,195.00,0.00,0.00,0.00,-105.00,-300.00,-300.00,195.00
2020-01-17,370.00,15.00,0.00,0.00,0.00,385.00,370.00,370.00,15.00
2020-01-21,-45.00,220.00,0.00,0.00,0.00,175.00,-45.00,-45.00,220.00
2020-01-22,-330.00,-430.00,0.00,0.00,0.00,-760.00,-330.00,-330.00,-430.00
2020-01-23,-80.00,-300.00,0.00,0.00,0.00,-380.00,-80.00,-80.00,-300.00
2020-01-24,1090.00,170.00,-185.00,-185.00,-185.00,1075.00,905.00,905.00,-15.00
2020-01-27,-70.00,210.00,0.00,0.00,0.00,140.00,-70.00,-70.00,210.00
2020-01-28,-505.00,-195.00,940.00,940.00,940.00,240.00,435.00,435.00,745.00
2020-01-29,430.00,1090.00,0.00,0.00,0.00,1520.00,430.00,430.00,1090.00
2020-01-30,-105.00,325.00,-795.00,0.00,-795.00,-575.00,-900.00,-105.00,-470.00
2020-01-31,2335.00,700.00,1465.00,1515.00,1465.00,4500.00,3800.00,3850.00,2165.00
2020-02-03,1355.00,1555.00,80.00,250.00,-470.00,2990.00,1435.00,1605.00,1085.00
2020-02-04,-385.00,-460.00,700.00,700.00,700.00,-145.00,315.00,315.00,240.00
2020-02-05,1460.00,630.00,0.00,0.00,0.00,2090.00,1460.00,1460.00,630.00
2020-02-06,-1255.00,-490.00,0.00,0.00,0.00,-1745.00,-1255.00,-1255.00,-490.00
2020-02-07,-285.00,-310.00,0.00,0.00,0.00,-595.00,-285.00,-285.00,-310.00
2020-02-10,1290.00,770.00,1350.00,775.00,1080.00,3410.00,2640.00,2065.00,1850.00
2020-02-11,-695.00,-180.00,0.00,0.00,0.00,-875.00,-695.00,-695.00,-180.00
2020-02-12,-185.00,-215.00,0.00,0.00,0.00,-400.00,-185.00,-185.00,-215.00
2020-02-13,1000.00,-240.00,0.00,0.00,0.00,760.00,1000.00,1000.00,-240.00
2020-02-14,-265.00,-505.00,0.00,0.00,0.00,-770.00,-265.00,-265.00,-505.00
2020-02-18,-40.00,395.00,0.00,0.00,0.00,355.00,-40.00,-40.00,395.00
2020-02-19,615.00,135.00,0.00,0.00,0.00,750.00,615.00,615.00,135.00
2020-02-20,-325.00,-110.00,-590.00,-590.00,-590.00,-1025.00,-915.00,-915.00,-700.00
2020-02-21,-1095.00,-1780.00,1195.00,1195.00,1350.00,-1680.00,100.00,100.00,-430.00
2020-02-24,-240.00,905.00,0.00,0.00,0.00,665.00,-240.00,-240.00,905.00
2020-02-25,2975.00,130.00,4230.00,3875.00,4230.00,7335.00,7205.00,6850.00,4360.00
2020-02-26,1485.00,385.00,-665.00,-760.00,-1395.00,1205.00,820.00,725.00,-1010.00
2020-02-27,-605.00,-165.00,1425.00,3100.00,1425.00,655.00,820.00,2495.00,1260.00
2020-02-28,-50.00,-2305.00,0.00,0.00,0.00,-2355.00,-50.00,-50.00,-2305.00
2020-03-02,-145.00,-1125.00,2485.00,2485.00,2485.00,1215.00,2340.00,2340.00,1360.00
2020-03-03,2365.00,-2200.00,-1115.00,3610.00,1295.00,-950.00,1250.00,5975.00,-905.00
2020-03-04,-965.00,-1115.00,505.00,505.00,505.00,-1575.00,-460.00,-460.00,-610.00
2020-03-05,2230.00,300.00,0.00,0.00,0.00,2530.00,2230.00,2230.00,300.00
2020-03-06,-570.00,-250.00,0.00,0.00,0.00,-820.00,-570.00,-570.00,-250.00
2020-03-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-03-10,4915.00,135.00,0.00,0.00,0.00,5050.00,4915.00,4915.00,135.00
2020-03-11,-415.00,30.00,1155.00,1155.00,1155.00,770.00,740.00,740.00,1185.00
2020-03-12,0.00,0.00,-1055.00,-1055.00,-1055.00,-1055.00,-1055.00,-1055.00,-1055.00
2020-03-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-03-16,0.00,0.00,2010.00,2010.00,2010.00,2010.00,2010.00,2010.00,2010.00
2020-03-17,-3125.00,-5545.00,2475.00,2475.00,2475.00,-6195.00,-650.00,-650.00,-3070.00
2020-03-18,0.00,0.00,,,,,,,
2020-03-19,-4495.00,-2245.00,-5615.00,-5615.00,-5615.00,-12355.00,-10110.00,-10110.00,-7860.00
2020-03-20,-1890.00,-750.00,2450.00,2450.00,2450.00,-190.00,560.00,560.00,1700.00
2020-03-23,2375.00,-180.00,-1835.00,-1370.00,-1835.00,360.00,540.00,1005.00,-2015.00
2020-03-24,-110.00,-550.00,-1340.00,-1340.00,-1340.00,-2000.00,-1450.00,-1450.00,-1890.00
2020-03-25,-780.00,-2110.00,-1970.00,-665.00,-1970.00,-4860.00,-2750.00,-1445.00,-4080.00
2020-03-26,3410.00,1200.00,4805.00,2665.00,4230.00,9415.00,8215.00,6075.00,5430.00
2020-03-27,-1440.00,-460.00,0.00,0.00,0.00,-1900.00,-1440.00,-1440.00,-460.00
2020-03-30,-640.00,-85.00,1675.00,1675.00,1675.00,950.00,1035.00,1035.00,1590.00
2020-03-31,-270.00,220.00,0.00,0.00,0.00,-50.00,-270.00,-270.00,220.00
2020-04-01,-400.00,-480.00,0.00,0.00,0.00,-880.00,-400.00,-400.00,-480.00
2020-04-02,-845.00,255.00,-2145.00,-2145.00,-2145.00,-2735.00,-2990.00,-2990.00,-1890.00
