date,s07,s17,s18,s18_after_s07,s18_after_s17,A3,A2,B1,B2
2026-05-04,-1150.00,-1200.00,-1775.00,-1775.00,-1775.00,-4125.00,-2925.00,-2925.00,-2975.00
2026-05-05,2235.00,1610.00,1000.00,165.00,310.00,4845.00,3235.00,2400.00,1920.00
2026-05-06,3205.00,350.00,2475.00,2990.00,3450.00,6030.00,5680.00,6195.00,3800.00
2026-05-07,-655.00,880.00,-410.00,-410.00,-410.00,-185.00,-1065.00,-1065.00,470.00
2026-05-08,4935.00,3725.00,4650.00,2960.00,4560.00,13310.00,9585.00,7895.00,8285.00
2026-05-11,-360.00,-1615.00,0.00,0.00,0.00,-1975.00,-360.00,-360.00,-1615.00
2026-05-12,-635.00,1115.00,-920.00,-920.00,-1785.00,-440.00,-1555.00,-1555.00,-670.00
2026-05-13,-1740.00,1555.00,775.00,775.00,775.00,590.00,-965.00,-965.00,2330.00
2026-05-14,4795.00,1475.00,1275.00,-1400.00,1275.00,7545.00,6070.00,3395.00,2750.00
2026-05-15,-1985.00,-850.00,-2980.00,-2980.00,0.00,-5815.00,-4965.00,-4965.00,-850.00
2026-05-18,6075.00,2925.00,-345.00,-2065.00,-345.00,8655.00,5730.00,4010.00,2580.00
2026-05-19,-470.00,-1990.00,-1860.00,-1860.00,-1860.00,-4320.00,-2330.00,-2330.00,-3850.00
2026-05-20,3625.00,-1025.00,2540.00,85.00,2540.00,5140.00,6165.00,3710.00,1515.00
2026-05-21,-55.00,2140.00,0.00,0.00,0.00,2085.00,-55.00,-55.00,2140.00
2026-05-22,1170.00,-1710.00,0.00,0.00,0.00,-540.00,1170.00,1170.00,-1710.00
2026-05-26,-1890.00,-2045.00,-175.00,-175.00,-1385.00,-4110.00,-2065.00,-2065.00,-3430.00
2026-05-27,3365.00,1075.00,-720.00,0.00,-720.00,3720.00,2645.00,3365.00,355.00
2026-05-28,-4095.00,1625.00,860.00,860.00,860.00,-1610.00,-3235.00,-3235.00,2485.00
2026-05-29,-2455.00,2480.00,-2270.00,0.00,0.00,-2245.00,-4725.00,-2455.00,2480.00
2026-06-01,2715.00,-1620.00,-205.00,-205.00,-205.00,890.00,2510.00,2510.00,-1825.00
2026-06-02,-755.00,-1730.00,0.00,0.00,0.00,-2485.00,-755.00,-755.00,-1730.00
2026-06-03,-2895.00,-3235.00,-3230.00,-3230.00,0.00,-9360.00,-6125.00,-6125.00,-3235.00
2026-06-04,-715.00,-1265.00,0.00,0.00,0.00,-1980.00,-715.00,-715.00,-1265.00
2026-06-05,-3785.00,-5330.00,15150.00,15150.00,16160.00,6035.00,11365.00,11365.00,10830.00
2026-06-08,-1440.00,2325.00,-940.00,0.00,-940.00,-55.00,-2380.00,-1440.00,1385.00
2026-06-09,-2820.00,-185.00,2505.00,2505.00,2505.00,-500.00,-315.00,-315.00,2320.00
2026-06-10,-4850.00,-4025.00,1630.00,1630.00,1630.00,-7245.00,-3220.00,-3220.00,-2395.00
2026-06-11,-3810.00,-6400.00,2370.00,2370.00,2890.00,-7840.00,-1440.00,-1440.00,-3510.00
2026-06-12,-6295.00,-1460.00,-6120.00,-6120.00,-6120.00,-13875.00,-12415.00,-12415.00,-7580.00
2026-06-15,3045.00,620.00,705.00,-240.00,705.00,4370.00,3750.00,2805.00,1325.00
2026-06-16,-1630.00,-370.00,7430.00,7430.00,7430.00,5430.00,5800.00,5800.00,7060.00
2026-06-17,-445.00,2410.00,0.00,0.00,0.00,1965.00,-445.00,-445.00,2410.00
2026-06-18,-2765.00,-1315.00,0.00,0.00,0.00,-4080.00,-2765.00,-2765.00,-1315.00
2026-06-22,-1255.00,-2325.00,0.00,0.00,0.00,-3580.00,-1255.00,-1255.00,-2325.00
2026-06-23,25.00,4595.00,0.00,0.00,0.00,4620.00,25.00,25.00,4595.00
2026-06-24,-2825.00,-2455.00,-5630.00,-5630.00,-5630.00,-10910.00,-8455.00,-8455.00,-8085.00
2026-06-25,7740.00,11725.00,-5400.00,0.00,0.00,14065.00,2340.00,7740.00,11725.00
2026-06-26,-555.00,-4130.00,0.00,0.00,0.00,-4685.00,-555.00,-555.00,-4130.00
2026-06-29,-3815.00,-2945.00,2590.00,2590.00,2590.00,-4170.00,-1225.00,-1225.00,-355.00
2026-06-30,5710.00,4135.00,2925.00,1050.00,2045.00,12770.00,8635.00,6760.00,6180.00
2026-07-01,-580.00,-1665.00,0.00,0.00,0.00,-2245.00,-580.00,-580.00,-1665.00
2026-07-02,-1730.00,-4075.00,-445.00,-445.00,6030.00,-6250.00,-2175.00,-2175.00,1955.00
2026-07-06,3130.00,790.00,395.00,-820.00,395.00,4315.00,3525.00,2310.00,1185.00
2026-07-07,6065.00,2565.00,-1705.00,0.00,-1705.00,6925.00,4360.00,6065.00,860.00
2026-07-08,-4835.00,60.00,0.00,0.00,0.00,-4775.00,-4835.00,-4835.00,60.00
2026-07-09,-3530.00,-4085.00,-365.00,-365.00,-365.00,-7980.00,-3895.00,-3895.00,-4450.00
2026-07-10,-250.00,880.00,0.00,0.00,0.00,630.00,-250.00,-250.00,880.00
